,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00847599078587001,0,0.309471939992272,0,0.0328001383177441,0.149855246306251,0,0,0,0,0,0.0680083111829072,0.0103539124194668,0,0,0,0,0
ETH,0,0,0,0,0.187052821369692,0,0.0685420037797043,-2.16840434497101e-19,0,0.124655440542881,0.112069143625265,0,0,0,0.00104049789718458,0,0,0,0,0
BCH,0,0,0,0,0.126174040735102,0,0.168103500304087,0,0.2977119524315,0.248161804628453,0,0,0,0,0.0206934773886086,0,0,0,0,0
XRP,0,0.417008120506105,0.0348536635789527,0,0.0498082372513737,0,0.0288277671564505,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.104611505435997,0.0435525488888756,0,0.543167302555902,0.0331335228731649,0,0,0.00241440158899164,0,0,0,0,0,0
DASH,0,0,0.00559770466477753,0,0.0401854820934051,0,0.0484397542036694,0,0,0.0120043345443082,0.0319055041141926,0,0,0,0,0,0,0,0,0
NEO,0,0.331003836626899,0.11121991289292,0,0,0,0,0,0,0.039442600386123,0,0.072756959920013,0,0,0.124715963345304,0,0,0,0,0
XEM,0,0.0995211253531013,0,0,0.0585731148251248,0,0.0602378299726362,0,0,0.0301747649754007,0.155615923979438,0,0,0,0,0,0,0,0,0
XMR,0,0.0786162233729052,0,0.0178493203823397,0.055860563769718,0,0.0795368756109479,0,0,0.246879214983253,0,0,0,0.0034494417545852,0,0,0,0,0,0
ETC,0,0,0.0509437582782585,0,0.448288953492138,0,0,0,0,0,0.203935436217962,0,0,0.0237421382155695,0.0155231087020462,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.155039160596431,0,0.333490840454092,0,0.166737260574027,0,0.054410683723884,0.0806390200349741,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.112566913691276,0.178095325576428,0,0.164158116074241,0.0936243261636686,0,0,0.0866636449090445,0,0,0,0,0,0
ADA,0,0,-0.190067284047417,0,0,0,0.0553742835633514,0.100238991369959,0,0,0.18121007394765,0,0,-0.0463558698978296,-0.111591662992363,0,0,0,0,0
EOS,0,0,0,0,0.241018803537414,0,0.0965833031603871,0,0,0,0.129266775221667,0.258466599020715,0,0,0.0225648853770164,0,0,0,0,0
XLM,0,0,0,0,0.0127658559007196,0,0.148917432036548,0.318211805806415,0,0.0211127619554365,0.221818255630456,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,6.5485686706565e-05,0,0,0,-3.16172492753253e-05,0,0,0,0,0,0,0,0,-0.0284731723669116
CVIX.Index,-0.048612425141578,0,0.0196796276236171,0,0,0,1.73472347597681e-18,0.0185696158411469,0,0,0,0,0.0463210577861609,-0.03044555711526,0.0113528046052937,0,0,0,0,0
DXY.Curncy,0,0,0,0,-0.00253678346869931,-0.0180848604117435,0.00399646292083484,0,0,0,0,0,-0.00285219171263047,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,-2.63260599716424e-07,-1.05879118406788e-22,0,0,0,0,0,0,-0.0315126200204803
VIX.Index,0,0,0,0.141467196523555,0,0,-0.0601305356104603,0,0,-0.0608036343026393,0.0667834485944664,0.0935565298128879,0.023713491751667,-0.103720172992782,0.0255835708758457,0,0,0,0,0
