,BTC,ETH,XRP,BCH,EOS,LTC,XLM,TRX,BSV,ADA,MIOTA,XMR,BNB,DASH,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0545868741888768,0,0,0.0629028663491374,0,0.0171069702440869,0,0.00876556800919649,0.310462704619228,0.0604569312721664,0.0319823097790794,0.0527001104590176,0,0,0,0,0
ETH,0,0,0,0.133267932860875,0.0608659790705094,0,0,0,0.00443598421514373,0,0,0.133160840946864,0,0.200650827169613,0.101887363906752,0,0,0,0,0
XRP,0,0,0,0.0868779190070299,0.107436804749423,0.0239554476936392,0.101542025770679,0,0,0,0,0.0939658487541924,0,0,0.0786641363216679,0,0,0,0,0
BCH,0,0,0,0,0.296639848890199,0,0,0.0153453248734617,0,0.374608429731132,0.223296113846191,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0.156561381629174,0,0,0.015538770405188,0.391369798890171,0,0,0,0.173840211713921,0,0,0,0,0,0
LTC,0,0,0,0.0519672883337835,0.0597567961883025,0,0,0,0.00144601493245934,0,0.110473036751078,0,0,0.126734924723368,0.274699076798642,0,0,0,0,0
XLM,0,0,0,0.172544049351752,0.104558188748286,0,0,0,0,0,0.034091230806032,0,0.0636673017872711,0.0296153974037961,0.226961846062798,0,0,0,0,0
TRX,0,0,0,0.164074730533648,0,0,0,0,0,0.172466083242627,0,0.0740289798657207,0,0,0.152816329452745,0,0,0,0,0
BSV,0,0,0,0.608823762291425,0,0,0,0.0572559346054387,0,0,0,0,0,0,0.153385515827758,0,0,0,0,0
ADA,0,0,0,0.136174946414231,0.202337520065168,0,0,0,0,0,0,0.102874277036901,0,0,0.300446020968071,0,0,0,0,0
MIOTA,0,0.0619570391013798,0,0.220680235892871,0,0,0.0593374713804597,0,0.0391586401320121,0,0,0.204762613039649,0,0,0.0422575604640531,0,0,0,0,0
XMR,0,0,0,0.0814740638745259,0,0,0,0,0.000331401980914404,0,0,0,0,0.213426712771024,0.307105679466156,0,0,0,0,0
BNB,0,0,0,0.0355762635534434,0.120433945116667,0.0770278852779581,0,0,0.000796938719515857,0.0580795031384646,0,0,0,0,0.310318963151847,0,0,0,0,0
DASH,0,0,0,0,0.127749895196264,0,0,0,0,0,0,0.363806210799962,0,0,0.22300864779529,0,0,0,0,0
NEO,0,0.161487671277713,0,0.0041728618528326,0,0.0679863648252162,0.037432193983084,0,0.00619184403767239,0.21143578862731,0,0.228872473520123,0.076747192843429,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0207292376919524,0,0,0,-0.094296979922021,0.00187637231920926,0,0.0229240593018534,0,0.0457656865504041,0,0,0,0,0,0,-0.0997039385289165
CVIX.Index,0,0.054842972564101,0,0.0150328993526973,0,0,0,0,0.0105570526224047,0,0.0242631743443724,-0.0591515657136302,-0.104335042284621,0.0403694826002507,0,0,0,0,0,0.0825371423232129
DXY.Curncy,0,0,0,0,0,0,0,-0.0309838375058372,0.00485674585741676,0,-0.00297727503935094,0.00964091707619934,0,0.00755595774763098,0,0.0195570320432697,0,0,0,0
SPX.Index,0,0,0,-0.00201261121066505,0,0,0,0,0.00140570224512145,0,0,0,0,-0.00314847092377645,0,0.027424100449559,0,0,0,-0.125287317288584
VIX.Index,0,0,0,0,0.191826703538014,0,0,0.337256632135171,0.0531325225612106,0,0.0961489731294787,-0.557761958585823,0,-0.0234319964321914,0,-0.349480638190351,0,0,-2.90744638624955,0
