,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,TRX,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.116599904030334,0,0.10305179799363,0,0,0,0.0787019079520216,0.0496381700594959,0.151004055342609,0.0502772795175903,0.0466667104555801,0,0,0,0,0,0
ETH,0,0,0,0.179340688690472,0,0,0.10107063320101,0,0,0,0.0224251490157664,0.0613231700676225,0.0522595620590639,0,0.109253167648532,0,0,0,0,0
XRP,0,0,0,0.0466461714657173,0,0.148411692723567,0,0,0.0212777333898058,0,0.159273815886407,0.0133298787728366,0,0.0431645503702428,0.0580544842824493,0,0,0,0,0
BCH,0,0,0,0,0,0.0890216515161973,0,0.0903307411873054,0,0.160191436393354,0.00565333257864109,0,0.250610948781953,0,0,0,0,0,0,0
LTC,0.0382938133027564,0,0,0.109235964875455,0,0.0398910665812632,0.033891977160566,8.67361737988404e-19,0,0,0,0.122416179865673,0,0.0387597154372772,0.233482319943893,0,0,0,0,0
EOS,0,0,0,0,0,0,0.0788815804267071,0,0,0.0499798530959208,0,0.10457536894717,0,0.112126959587414,0.285551035730035,0,0,0,0,0
ADA,0,0,0,0,0,0.149831788119915,0,0.117988050062522,0.0688404485810169,0,0,0.0717004398231637,0,0.153887099554798,0,0,0,0,0,0
XLM,0,0,0.143962440019549,0,0,0,0.388707156343311,0,0,0,0.123642460867634,0,0,0,0.0987377162683896,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0796150503293198,0,0,0.250154723416666,0.000660181094826953,0.111771681482474,0,0,0.219185239320915,0,0,0,0,0
MIOTA,0,0,0,0.0481034041063802,0,0.0507116984969782,0,0.0599443718810137,0.132466146810135,0,0.191934383482324,0.175908380304303,0,0,0.130353212699269,0,0,0,0,0
TRX,0,0,0,0.070932465738465,0,0.184614896398995,0,0,0,0.388982072658796,0,0.00852710665807366,0.053519342396126,0.133895213756605,0,0,0,0,0,0
XMR,0,0,0,0,0,0.052678294882724,0,0,0.13948835429481,0.0353707010106096,0.0833940698397754,0,0.389161525742939,0,0,0,0,0,0,0
DASH,0,0,0,0.0428404342679833,0,0,0.0673602586598158,0.132182328335639,0.0211456595768502,0,0.143459685274472,0.106162175578901,0,0.0395497614115202,0.0222268271778366,0,0,0,0,0
XEM,0,0,0,0,0,0,0.141491541622035,0.27932350051699,0,0,0.284403916948975,0,0,0,0.0688821298663691,0,0,0,0,0
ETC,0,0,0,0,0,0.218906690999129,0,0.0182328005576172,0.174163500502398,0.136795295520419,0.120821021833554,0,0,0.0679402539687859,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199346638389839
CVIX.Index,0,0,0.0189097424193354,0,0.0124222078852603,-0.03230115943485,0.0423061299902862,0.00942609646914529,0,0.0242580762914869,0,-0.0607459498877024,0,0,0,0,0,0,0,0.0316016535883707
DXY.Curncy,0,0,0.0119679187446621,0,-0.00699114614401029,0,0,-0.00867734511754724,0,0,-0.0152063043156571,-0.0018323042974868,0,-0.00191535443979164,0.0101030743578648,0,0,0,0,0.0120489291805638
SPX.Index,0,0,0,0,0,0,0,0,0,0,-0.0126536396611703,0,0,0,0,0,0,0,0,-0.0630388644670751
VIX.Index,0,0,0,0,0,0,0.0380911084346866,0,0.043558576176884,0,0.0840765961202081,0,0,0.0670833572338621,0,-2.77555756156289e-17,0,0,-3.76955954472913,0
