,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,ETC,DASH,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0895885547898692,0,0,0,0,0.22069506945089,0,0,0.0298907342707114,0,0.0402971325481954,0.0192629480279129,0,0,0,0,0
ETH,0,0,0,0,0.203607823842055,0,0,0.0158785123651163,0,0,0.0238945404457392,0.21733862712432,0,0.125527776490492,0,0,0,0,0,0
XRP,0,0,0,0,0.188101117642631,0,0,0,0,0,0.274623578796299,0.0360902415168566,0,0.0224870587575726,0.0309186713504246,0,0,0,0,0
BCH,0,0,0,0,0.04750780033896,0,0,0.172594556763782,0.123729717824989,0.212823255177791,0.0181980685057591,0.0926416326881906,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0340800321864013,0,0,0,0.189266941551715,0,0.103463239880373,0.184717338343821,0,0,0.0908177516130211,0,0,0,0,0,0
XLM,0,0,0,0,0.00923924575791044,0,0,0.163197136958248,0.0768799187546036,0,0.157477891703409,0,0,0.180164232840139,0.0783037134050059,0,0,0,0,0
LTC,0,0,0,0.489440956669783,0.106985028513579,0,0,0,0,0,0.0656859623639358,0.0467416750834719,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.0588699641547815,0.260970642349771,0,0,0,0.334408515239737,0,0.110339394588024,0,0.0550716034915791,0,0,0,0,0,0
XMR,0,0,0,0.418446694198566,0.0221402069609069,0.0400840998696614,0,0,0,0,0.0426925901025571,0,0,0.118816812830029,0,0,0,0,0,0
TRX,0,0,0,0.115186542076868,0.258952495728246,0,0,0.0936942122420886,0,0,0.156112078664967,0,0,0.0706469357006243,0,0,0,0,0,0
MIOTA,0,0,0.203285912115981,0,0,0,0,0,0,0.103451533895608,0,0.131438767580441,0,0.591813025754018,0,0,0,0,0,0
ETC,0,0.334691571513994,0,0,0.01967977351111,0,0,0,0,0,0.367252331486692,0,0,0,0.04978562564566,0,0,0,0,0
DASH,0,0,0,0,0.088655726593584,0,0,0.21435564289155,0,0,0.129185779686455,0.0310150872098147,0,6.93889390390723e-18,0,0,0,0,0,0
NEO,0,0,0,0,0.165085064580829,0,0,0,0.0455392155806447,0.286344662247146,0.29785668028908,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0.221287737163998,0.215753928590779,0,0.0262479265261838,0,0,0.0377723900624344,0,0,0.122447424494518,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281572768289757,0,0,0,0,-0.0401773431457484
CVIX.Index,0,0,0,0,0,0,0,0,0,0.0672163372393224,0,0,0,0,0,0,0,0,0,0.064557544787119
DXY.Curncy,0,0,0,0,-5.42101086242752e-20,0.00820443053160661,0,0,0,0,-0.00518258766150539,0.0071568172267568,0,-0.00195314150751433,0,0,0.0717345773618594,0,0,-0.00526467147268008
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0548224698264982
VIX.Index,0.322664628813335,0,0,0,-0.252391125495173,-0.211914571708057,0,-0.190586176093451,-0.242209349019216,0,0.184603700583452,0,-0.0791226518283568,0,0.316947445811531,0,0.477568726123043,0,-1.59850240095012,0
