,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0922619735165576,0.154675153170876,-0.0348778752752418,0.0831451004806473,0,0,0.0888775922558878,0.0161213455816074,0,0,0,0,0.0684164403075198,0,0,0,0,0
ETH,0,0,0,0,0.165147572028423,0.11599599215937,0,0,0,0.0449822014373504,0,0.178434742396126,0.0549572822033892,0,0.0122419178938152,0,0,0,0,0
XRP,0,0,0,0,-0.070158630271308,0.280094016122014,0,0.0272691345184898,2.16840434497101e-19,0.0235728768763699,0,0,0,0.416064572554154,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.108074063925285,0,0.167911432982299,0,0,0.0179330047344477,0,0,0,0,0,0
ETC,0,0.295262857343467,0,0.22173547029495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0871860940978761,0,0,0,0.228427513696467,0,0.0790502379155347,0,0,0.0067220199455946,0.0411244260041503,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0.070828594511644,0,0.0470474195829266,0,0.214903409922787,0.198607773623309,0,0,0,0,0,0
MIOTA,0,0.311195240771209,0.0715708406938148,0.0283316738365122,0,0,0.114747124544956,0,0,0.006255740533049,0.0870274892682317,0.0609775371050342,0,0,0.0675751618253679,0,0,0,0,0
XMR,0,0,0.172196428825158,0,0,0.306321628695643,0,0,0,0.0508582234169129,0,0,0,0.0425748564675179,0.0561309388949337,0,0,0,0,0
EOS,0,0.202058466982391,0.0854078004763822,0,0,0,0,0.209710614337689,0,0,0.0355402143097981,0.0525481384621524,0,0,0.0516727451853762,0,0,0,0,0
NEO,0,0,0,0.670813217322127,0.15773851715098,0,0,0.00525843902257484,0,1.73472347597681e-18,0,0.249785859610307,0,-3.46944695195361e-18,0,0,0,0,0,0
ZEC,0,0.205328998824581,0,0,0,0,0,0.00615029317061709,0.0771764309093159,0.00338488142298648,0.0528450971843351,0,0.151891160667408,0,3.46944695195361e-18,0,0,0,0,0
DOGE,0,0,0,0,0.155089360435745,0,0.4931922430802,0,0,0,0.0195031511665349,0,0,0,0.102252210140052,0,0,0,0,0
XLM,0,0,0.58916295385936,0,0,0,0.0632370471259655,0,0.212332374140557,0,0.0708496770699894,0,0,0,0.0937749533885718,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0.124233971808402,0.0959453814126384,0.0826675190954435,0,0,0.308363626285306,0.50071609968382,0,0,0,0,0,0
BV010082.Index,0,0.0131990180076431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0.0060076317468265,0.00641962647928015,0,0.0166896594320872,0,-0.00953254493120438,0,0,0,0,0
DXY.Curncy,0.0120157883120582,0.0094471021839837,0,0,0,0,0,0,2.16840434497101e-19,0.0013669262613602,0.00117052473134831,0,-0.00280409317808308,-0.00362763790639853,-0.00720638528391669,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,-0.000664506959132579,0,0,0,0,0,0,0,0,-0.0355554821214637
VIX.Index,0,0.147195560325207,0.0593006429926598,0,0,0,0.0757963171634758,-0.117760565502173,0,0.00806807753147284,-0.00502997520194423,-0.00480578445354231,0,0,-0.0559443330030367,0,0,0,0,0
