,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,XLM,LINK,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,2.16840434497101e-19,0,0,0,0.158869153145382,0,0,0.150921491064406,0.14426936898987,0.0075587045012385,0,0,0.0446250379292164,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0.00143032654084972,0,0,0.130334757285712,0.119584280305047,0,0,0.0758237196280361,0.179507921216947,0.0101214821462886,0,0,0.179097182848393,0,0,0,0,0,0
XRP,0,0.000971041665810109,0.251463874840587,0,0,0.0756572472936604,0,0,0,0.0393543536102437,0,0,0,0.198149825080259,0,0,0,0,0,0
BCH,0,-0.00268469969117527,0.194206191557597,0,0,0.318801412363976,0,0.0996859611673932,0,0.0231142106630803,0.00623606129623038,0,0,0.15954323918682,0,0,0,0,0,0
BSV,0,-0.00373550828689961,0.280062767693279,0,0.43580677731335,0,0,0,0.0919430601658836,0,0,0,0,0,0,0,0,0,0,0
LTC,0,-0.0014451419147132,0,0,0,0.186403662971347,0,0,0.000369312845684103,0.16830219989598,0,0,0,0.240133793997257,0,0,0,0,0,0
EOS,0,-0.00220543090164129,0.0811588338306197,0,0.1200827157956,0.151894012303003,0,0,0.00644216378990434,0.135987497550405,0,0,0,0.168850591311227,0,0,0,0,0,0
BNB,0,-0.00439473136916334,0.284434604311059,0,0,0.0823167388688933,0,0,0,0.163166950584397,0,0,0,0.182424299988276,0,0,0,0,0,0
XTZ,0,0,0.36603970451982,0,0,0,0,0,0.0799649305502854,0,0,0,0.297668672656138,0,0,0,0,0,0,0
TAGZ5,0,0.00301563635700716,0.221131720647804,0,0.07717558355881,0.0848528612312281,0,0,0,0.0128811594164932,0,0,0,0,0,0,0,0,0,0
XLM,0,0.000141216734891139,0.0739328598456843,0,0.122103425274817,0.146922156941591,0,0,0.160865568379973,0.0780089219128865,0,0,0,0.0992957519664218,0,0,0,0,0,0
LINK,0,-0.00416577459049457,0,0,0,0.214088053870133,0,0,0,0.514958552876597,0,0,0,0,0,0,0,0,0,0
ADA,0,-0.00160385705006782,0.189230470874303,0,0,0.0628533814005513,0,0,0.149590300513541,0.310694693048018,0,0,0,0,0,0,0,0,0,0
XMR,0,-0.0031551837456309,0.1430978805904,0,0,0.17740515369866,0,0,0.012267457630057,0.073517063913761,0,0,0,0.190289583827614,0,0,0,0,0,0
BV010082.Index,0,0.00468863717241494,0,0,0,0,0,0,-0.267992913909481,0,0.0578073631947978,0.194780346743739,0,0,0,0,-0.123498184298361,0,0,-0.094137982104766
CVIX.Index,0,-0.00771974556740507,0,-0.511100535852879,0,0,0.520328429301146,0,-0.0668359569801106,0,-0.0435435077461683,0,0,0,0,0,0,0,-0.603111144714888,0
DXY.Curncy,0,0.000499665831322831,0,-0.040700390025005,0,0,0,0.0129492418113053,0,0,-0.00194081824434839,0.0243482102387909,-0.00438544128294091,0,0,0.025187299872433,-0.00521253306071574,0,0,-0.00917982856326367
SPX.Index,0,0.00306428652616074,0,0,0,0,0,0,0,0,-0.0104327382931167,0,0,0,0,0,-0.0186473496338746,0,0,-0.258451044363195
VIX.Index,0,0.0250834738690661,0,0,0,-0.158048202987791,0,0,0,0,-0.0293419426865402,0.076301244550782,0,0,0,0,0,0,-2.19201766836584,0
