,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,XMR,EOS,DASH,MIOTA,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.249407697238888,0,0.0203705365916782,0.131629060295222,0,0.0296582042115392,0.00768563134705373,0,0.0495976195343922,0.0130012307753068,0.00295785344536902,0,0,0,0,0,0
ETH,0,0,0,0.0543243288478239,0,0.100205116713323,0,0,0.0792029276192521,0,0,0,0,0,0.130611612042111,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.0997446715702142,0,0,0,0,0.0488725681214351,0.394606301081299,0.0726933252728092,0,0,0,0,0
BCH,0,0,0.0355451295199388,0,0,0.081128723590038,0,0,0,0.0320059638823401,0.312260321740493,0.0421761936245686,0.0554984389848376,0,0.07740634687593,0,0,0,0,0
LTC,0,0,0.0150950146935598,0.142595643757918,0,0,0,0,0.05040864751618,0.109754749921219,0,0.0289697730430711,0.0245267460366249,0.0527118028458486,0.149998639686273,0,0,0,0,0
NEO,0,0,0,0.0724831597963087,0,0,0.123364958721693,0,0.13563780369899,0,0,0.0877631794466952,0,0,0.269447545950088,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.0252833286048687,0.140562217520218,0.0314306251479862,0,0.0129122268833447,0,0.159680091801607,0.0733371666469291,0,0,0,0,0
XLM,0,0,0.0800806586181224,0,0,0,0.485873770844064,0,0,0,0,0,0,0.145306970566331,0.0711742558352999,0,0,0,0,0
XMR,0,0,0.0325436300781427,0,0,0.224905881787508,0.0523021711776876,0,0,0.151087797642898,0,0,0,0.111043279828531,0.0250156331927996,0,0,0,0,0
EOS,0,0,0,0,0,0,0.0202854379454366,0,0.111437106064993,0,0,0,0.102995378199258,0.136124348504837,0.302098900075003,0,0,0,0,0
DASH,0,0,0.0954884512518281,0.0773111540873088,0,0,0,0,0.0993150652342595,0.0812003996228137,0,0,0,0.162430882778151,0.048835839212226,0,0,0,0,0
MIOTA,0,0,0.0409455014752114,0.151218112297625,0.172558123043572,0.0149212956326738,0.0299323524381279,0,0.0615686851622173,0.17436875798249,0,0,0,0.167234694554028,0,0,0,0,0,0
XEM,0,0,0,0,0,0.0885322518912626,0.161257507025679,0.0511681551745302,0.0827063828299275,0,0,0,0,0.123560748222045,0.0444683453223743,0,0,0,0,0
TRX,0,0,0.552068338641477,0.17279849713445,0,0,0,0,0,0.00252840273049681,0.0852796437932997,0,0.167133866211683,0,0,0,0,0,0,0
ETC,0,0,0.216936852162992,0.0748015092572049,0,0.268032384894801,0,0,0,0.073117494238326,0,0,0,0.145647878046967,0,0,0,0,0,0
BV010082.Index,0,0,-0.00115305898899657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0317443735656092
CVIX.Index,0,0,0,-0.0283512978390278,0.0152166348610516,0,0.0648044007435407,0,-0.0082803047632839,0,0,0,0.0573536511464227,-0.0455192672130886,-0.0208929651335329,0,0,0,0,0.0317643892950932
DXY.Curncy,0,0,0,0,-0.00865786376524565,0,0,-0.00997381406124685,0,-0.00231790582433782,0,0,0,0,0.00607320549969745,0,0,0,0,0.00983787162109034
SPX.Index,0,0,0,0,0,0.00397623470137891,0,0,0,0.00668017588077901,0,0,0,-0.0149139094502062,0,0,0,0,0,-0.060430208668054
VIX.Index,0,0,-2.16840434497101e-19,-0.358747085615032,0,0.110373573636448,0,0,0.134161285538825,-0.081032326130648,0,0,0.0421945012398299,0.172084905907176,0,0,0,0,-2.82941110884649,0
