,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,DASH,ETC,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.18819341525678,0,0,0,0,0,0,0.201746742486339,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.214781464459762,0,0,0.0897741546783757,0.0318257874484483,0,0,0.0263849537970273,0.138418895353872,0.0933693810938731,0,0,0,0,0,0
XRP,0,0,0,0,0.168197436520823,0,0,0,0.243687313907795,0,0,0,0.0994850669405986,0.0464150549658225,0,0,0,0,0,0
BCH,0,0,0,0,0.247610629069998,0,0,0.218132211973778,0.0772047826616882,0,0.0697290122548063,0,0,0,0,0,0,0,0,0
EOS,0,0,0.0509603856094841,-1.73472347597681e-18,0,0,0,0.180953145189683,0.161779191484965,0.112286176758273,0,0.0145642089487042,0,0.111088426402257,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.379577078204936,0.111523103536275,0,0.204532537545634,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.554890335753523,0,0,0,0,0.163811734941064,0,0,0,0.0246991495382073,0,0,0,0,0,0,0
ADA,0,0,0,0,0.0158743431309563,0.168186576484332,0,0,0.101024228607365,0.26075007523667,0,0.130134684857386,0,0.0273278160085329,0,0,0,0,0,0
MIOTA,0,0,0.180137951393426,0,0,0,0,0,0,0.209932638411176,0,0.0548135094142951,0,0.468028812042573,0.101043898051175,0,0,0,0,0
TRX,0,0,0,0,0.188870648548049,0,0,0.00259179459026774,0.116489174846337,0,0,0,0,0.271009400310406,0,0,0,0,0,0
XMR,0,0,0,0.27681923044138,0,0,0,0.104701628968847,0.0986384387729457,0,0,0,0,0.108891183463499,0,0,0,0,0,0
DASH,0,0,0,0,0.0754414792586215,0,0,0.224633848370856,0.0806547271750458,0,0,0,0,0.124970730188078,0,0,0,0,0,0
ETC,0,0.316372394010669,0,0,0,0.0453657359272431,0.106436845249731,0,0.212838874473033,0.0155371775467169,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0734226643039207,0,0,0,0.346311807560432,0.269172433189641,0.103264970784913,0,0,0,0,0,0,0,0,0
BNB,0,0,0.141141666481638,0,0,0,0,0.135293121454517,0.117558234039067,0.000491141577409731,0,0.146798055087031,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0.0153314297540643,0,0,0,0,0,0,0,0,0,0,0,-0.0456700718985642
CVIX.Index,0,0,-1.0842021724855e-19,-0.0147780424506516,0,0.0254599073626383,0,0.00617881630657976,0.0522998564402289,0.00138086050354405,0,-0.0195069366201192,0,0,0.00564822992190748,-0.0236302590299038,0,0.930639459666294,0,0.0981139623247832
DXY.Curncy,0,0,0,0,0,0.00540482955119182,0,0,-0.0109884280913239,0,0.00859094663097579,0,0.000635910921287569,0,0,0,0.090564147217425,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,-0.00640671416757772,0,0,0,0,0,0,0,0,-0.065721357303766
VIX.Index,0.256574754611997,0,0,0,-0.158325635725049,0,0,0,0.126869953568019,0,0,-0.53550970661623,0,0,0.218555292208565,0,0.197936934323253,0,0,0
