,BTC,ETH,XRP,BCH,EOS,XLM,LTC,XMR,ADA,DASH,MIOTA,TRX,ETC,NEO,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,3.46944695195361e-18,0,0.0833236819886928,0.0333084619334504,0.0628930223714884,0.0976218859493286,0.0685030258495585,0,0,0,0.0813823208011944,0,0,0.0245076515962074,0,0,0,0,0
ETH,0,0,0,0.0121956506586433,0.243135834071266,0,0,0,0,0,0.132327614014205,-2.16840434497101e-19,0.100240127293775,0.100876173745341,0,0,0,0,0,0
XRP,0,0,0,0,0.328297740720205,0,0,0,0,0,0.215828294714394,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.282899235534778,0,0,0,0.120326574360647,0.0355049419051032,0.0693161210560748,0,0,-4.33680868994202e-19,0,0,0,0,0,0
EOS,0,0.157865535850571,0.0223813259163401,0,0,0,0,0,0.0722998070055184,0.0189218622082901,0.180150494657608,0,0,0.247641300165339,0,0,0,0,0,0
XLM,0,0,0,0,0.0540669597277562,0,0,0.0563192982435659,0.0818391342168915,0,0.0823031442324584,0,0,0.176479586087195,0,0,0,0,0,0
LTC,0,0.140188392283586,0,0.258245692312014,0.145497564339276,0,0,0,0,0.0336321705142089,0.14009818054937,0,0,0,0,0,0,0,0,0
XMR,0,0.0657597005836903,0,0,0.118197012655656,0,0,0,0.154299271774411,0,0.0976530584379098,0,0,0.162040558113811,0,0,0,0,0,0
ADA,0,0,0,0.253585662472997,0,0.0138243877584994,0,0.0361429078714312,0,0,0,0.340251593833638,0,0.0969565680785043,0,0,0,0,0,0
DASH,0,0,0,0,0.162626030198335,0,0,0,0.000274572340993796,0,0.115344298997392,0,0,0.276805227703073,0,0,0,0,0,0
MIOTA,0,0,0.184468267132769,0,0,0,0,0,0,0.0634037830580805,0,0.287491242027801,0,0.45639248574118,0,0,0,0,0,0
TRX,0,0,0,0,0.0791110957808729,0,0,0,0,0,0.162561736326143,0,0,0.306520677952828,0,0,0,0,0,0
ETC,0,0.12689193615706,0,0,0.273651789100895,0.0316203018450598,0,0,0,0,0.19094559079583,0,0,0,0.0704622535943957,0,0,0,0,0
NEO,0,0,0,0,0.0289247647280497,0,0,0.113421565409245,0,0,0.349494446879944,0.278720791813655,0,0,0,0,0,0,0,0
XTZ,0,0.312977418167145,0,0,0,0,0,0.0389988347896186,0,0,0,0.176376107148337,0.0435691858728185,0.0895215470740978,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0004488354494883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0571227884452645
CVIX.Index,0,-0.147888474342975,0,0,0,0,0,0,0.101313178067194,0,0,0,0.0401976690096788,0.0261839073328607,0,0,0,0,0,0.104500775817793
DXY.Curncy,0.0119823466014011,-0.0192494398800726,-0.012980264623166,0.0200835207767334,0,0,0,0,0,0.0129521026562828,-0.0106964075387113,-0.00289490502402645,0.0060192544260342,0,0,0,0.0956826777279918,0,0,-0.0114658986741257
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583905795948159
VIX.Index,0.159790189739265,0,0,0,0.0682944466401062,-0.250317545255133,0,0,0,-0.0389030467721564,0.282583258191493,0,0,-0.312145162195773,-0.131274450609524,0,0.280945908396879,0,-3.65037516548164,0
