,BTC,ETH,XRP,EOS,LTC,BCH,BNB,XLM,TRX,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.123785297233554,0,0.120633247960913,0,0.0521120779314715,0.0420044509304231,0.0142827693141141,0,0,0.0185680013582477,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.346464492021044,0,0.150503371552246,0,0,0.0107112727809184,0,0,0,0,0,0.0372952107495215,0,0,0,0,0
XRP,0,0,0,0.146561932562704,0.0283946982610634,0.0742460014459643,0,0,0,0,0.294932306769277,0,0,0,0,0,0,0,0,0
EOS,0,0.104005625026504,0,0,0.185341913674832,0.169028350815538,0.0183822425239588,0,0,0,0.329761662334822,0,0,0,0,0,0,0,0,0
LTC,0,0.0655207721197854,0,0.151864615613564,0,0.291829245070174,0.00433031173787263,0,0,0,0.217149575783876,0,0,0,0,0,0,0,0,0
BCH,0,0.107644626526185,0,0.281129787448463,0.101951562387583,0,0,0,0,0.176422845361629,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0.340549316903545,0,0,0,0.301846264490109,0,0,0.0975902696914325,0,0,0,0,0,0,0,0.0709316829712315
XLM,0,0.113823800661521,0,0.118085990965084,0.0255411153502641,0.148388890509436,0,0,0,0,0.149224413047122,0,0,0,0,0,0,0,0,0
TRX,0,0.0278936241910543,0,0.0630731244389199,0,0.203134046118989,0,0.234408344370411,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0,0.0247173345169098,0,0.0262897317804831,0,0.403925573380799,0,0,0,0,0.163006933374681,0,0,0,0.0485117306223696,0,0,0,0,0
ADA,0,0.159230487447886,0,0.174331814837561,0.157123072154774,0.195209302720003,0,0,0.0127153143832242,0,0,0,0.063666172095081,0.0497324802381987,0,0,0,0,0,0
XMR,0,0.187492322742878,0,0.106920847193734,0.0443641155767831,0,0.0733003991607209,0,0,0,0,0,0.226610677017014,0,0,0,0,0,0,0
MIOTA,0,0.115514832536081,0,0,0,0.320252669010982,0,0,0,0,0.292591354226939,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.278373977890831,0.0408171127275377,0.00339767799393721,0,0,0,0.045954668800442,0.0315318713827597,0,0.186810414330405,0,0.0286278562627056,0,0,0,0,0
MKR,0,0.467558703607223,0,0.197449986547544,0,0,0.0668944560911847,0,0,0.154941086734014,0,0,0,0,0,0.0383822469339464,0,0,0,-0.0750472475082602
BV010082.Index,0,0,0,0,-0.06081478092016,0,0,0,0.042374772683184,0,0,0,0,0.051982594165146,0.0105744871109107,0,0,0,0,-0.0268524613838515
CVIX.Index,0,0,0,0,0,0,-0.0339920621214767,0,0,0,0,-0.0465381811755844,-0.0272596772730675,0,0,0,0,0,0,-0.0607049614877768
DXY.Curncy,0,0,0,0,0,0,0.00365689708846715,0,-0.020766514680664,0.0108493160352327,0,0.00571654153678482,0,0.00360008523040915,0,0.0105954043661144,0.0276213067215593,0,0,0.00245980392227507
SPX.Index,0,0,0.00699109319476816,0,-0.0120821087329626,0,0,0,0.00595108048544119,0,0,0,0,0,0,0.0756800963562526,-0.0480316903336327,0,0,-0.0738578315393245
VIX.Index,0,0,0.217428193709847,0.137832556632804,-0.162711338352359,0,0,0,0.0457174372582893,-0.18706065510686,0,0.299723464566159,0,0,-0.229406102230726,0,-0.0394544821099349,0,-3.94079884310398,0
