,BTC,ETH,XRP,BCH,MIOTA,NEO,LTC,XEM,DASH,ETC,XMR,EOS,ZEC,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0231431912375621,0.0344682338173842,0.111605211752369,0.0805635971166467,0,0,0,0.0353490899324836,0,0.048022078055535,0,0,0,0,0,0
ETH,0,0,0,0,0.0736983566228228,0,0,0.0591480722561695,0.105980229326558,0.0237273834848153,0.0955325373484413,0.00163984350792274,0,0.141056126747631,-8.67361737988404e-19,0,0,0,0,0
XRP,0,0.387471645259852,0,0,0.0963119565153256,0,0,0,0,0.05249504391782,0,0.0294966978450886,0,0,0.0220717426217209,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.313061433728402,0,0,0,0.0751939031152121,0,0.188184578045443,0,0,0,0,0,-1.73472347597681e-18,0.0814191442615783,0,0,0,0,0
NEO,0,0.216723580110409,0,0,0,0,0,0,0.152109414842443,0,0,0.0418406592505084,0,0.122567932399428,0.137979034365935,0,0,0,0,-0.169392687564729
LTC,0,0,0,0,0.0696810454058008,0.0578258667637893,0,0,0,0.175844929748889,0,0.0909164531296792,0,0,0,0,0,0,0,0
XEM,0,0.0299770933425082,0,0,0.0339910428360571,0.0315987188382456,0,0,0,0,0,0.127488658465508,0,0.107671655456371,0.138154399299141,0,0,0,0,0
DASH,0,0.120551251979001,0,0,0.0112158472071115,0.0644432972452877,0,0,0,0,0.104289104692364,0.0522662540511223,0,0.0184504236228189,0.107644507647608,0,0,0,0,0
ETC,0,0.264855355490694,0,0,0.0182737797636475,0.00265885697869241,0,0,0,0,0,0.0243979898676178,0,0.0328980372278557,0,0,0,0,0,0
XMR,0,0.195639670239126,0,0,0.0339695873279156,0,0,0.06475046246471,0.1432573084083,0,0,0.0372926794775884,0,3.46944695195361e-18,0.104000540405171,0,0,0,0,0
EOS,0,0,0,0,0.0951627425166208,0.0462880685917004,0,0.0923634490518141,0,0,0,0,0.348114632859615,0.122984843554422,-3.46944695195361e-18,0,0,0,0,0
ZEC,0,0.20848611926791,0,0,0.102497252103906,0,0,0,0,0,0,0.0090495502253734,0,-4.33680868994202e-19,0.125848679025758,0,0,0,0,0
BAT,0,0.427278219200765,0,0,0,0,0,0.0894803665009072,0,0,0,-0.0442997420179249,0,0,0.279303081103078,0,0,0,0,0
XLM,0,0,0.122665892439062,0,0.0255730355581716,0.00714167580200395,0,0.102775932789945,0,0,0.480195665586254,0.0624762473591672,0.0630508316092991,0.0455570814762453,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0139446672113304,0,-0.00782436884799247,0,0,0,-0.0190695578704113,0,0.00462258135390644,0.0276529343700594,0,0,0,0,0,0,-8.95672897247949e-05
CVIX.Index,0,0,0,0,0.00694247561680393,0.00716353923530587,-0.0134708142876987,0,0,0,0,0.00559941507540397,0,0,-0.0276152466414137,0,0,0,0,0.0489751977757134
DXY.Curncy,0.0209204500957035,0,0,0,0,-0.00250543795934707,0,-0.00293358906616213,0,-0.00114870244121688,0,0.00278944331523892,0.00623879952197037,0.00579058515985109,-0.0171381643609185,0,-0.0197516467643265,0,0,-0.0153730669984956
SPX.Index,0,0,0,0,0,0,0,0,0,-0.00323066997661121,0,0.000564997781241591,0,0,-0.00167660455115402,0,0,0,0,-0.0440615799225203
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0.028255706409856,0,0.087810947268813,-0.148250394956655,0,0,0,0,0
