,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.349711164900438,0,0,0.0362869817623863,0.0695558982673727,0,0.0307467285492787,0.0260466338015089,0,0,0,0,0
ETH,0.133291607457167,0,0,0,-0.154360605188956,0.07159781308073,0.0456109017268804,0.0221967284943956,0,0.0325502333755104,0.100734440533034,0,-0.313719930079198,0,0,0.0524200786529748
XRP,0,0,0,0,-0.00948603102683127,0,0.0147241388758243,0,-0.0321421674524777,0.0381682570550456,0.0584043875964775,-0.150684530220807,0.126874373611656,0,0,-0.0761330316742966
LTC,0.490438496803772,0,0,0,-0.00332209455342566,0,0.0285271019113594,0,0,0,-0.000224181770698187,0,0,0,0,-0.0086859006646
ETC,0,-0.118104875708435,0,0,0,0,-0.186514277222941,0,0,0,-0.0322201255567372,0,0,0,0,0
DASH,0,0.0743983942039319,0,0,0,0,0,0,0,0.0352447213643135,0,0,0,0,0,-0.061153429482363
XMR,0.507476398199152,0,0,0,0,0,0,0,0,-0.013784938534725,0.0987002875184365,0,0,0,0,-0.0162688846188459
XEM,1.29342410714049,0.0526820348558407,0,0,0.022208830098902,0.297528080405726,0,0,0,0.332241236179352,0,0,0,0,0,0.114882233388237
DOGE,0.417694850099977,0.0260241086819154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,-0.0486330537609962,0,0.0678147381327475,0.171358830933327,0,0,0,0,0,0,0,0.0709381580340192
DGB,0,0.337788309523177,0,0,0,0,0,0.0732532269524473,0,0,0,0,0,0,0,0.0201283154299922
BV010082.Index,0,0,-0.186680315513306,0,0.0189419710764362,-0.0430382361662384,0.0177807148035072,0,0,0.0545009481674982,0,0,0,0,0,-0.0825456665719005
CVIX.Index,0,-0.0765895151704766,0,0,-0.0104326271198146,0,0,0,0,0,0.0444278597618463,0,0,0,0,0.120720259270642
DXY.Curncy,-0.0121613193042104,-0.00456749612534476,0,0,-0.000853232836219528,0,0,0,0,0,-0.00382894475920008,0,0.015056883224466,0,0,0
SPX.Index,0,0,0,0,6.7762635780344e-21,0,0,0,0,0,-0.00866961740477455,0,0,0,0,-0.0533407634948485
VIX.Index,0,0.0994732582203217,-0.395671165980346,-0.175735730417345,0.0856016603632584,0,0.0739153937113304,-0.143920348264071,-0.119562880808207,0.217511149306631,0.0701732904558024,0,1.03353081434372,0,-0.329246787286016,0
