,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0299487487209359,0.077810188495839,0,0.109752135893407,0,0,0,0.0213269122512104,0,0.0381577809151478,0,0,0,0,0
ETH,0,0,-0.0492330758482555,0.0636462845056023,0,0,0.0250862271998612,0.074715926744237,0,-0.0336680105108978,0.0902989848781977,0,0,0.0474589196356939,0,0,0,0,0
XRP,0,-8.67361737988404e-19,0,-0.117071596120511,0,0,0.305821752759981,8.67361737988404e-19,0,0.371039206847939,0,0,0.0808440864050078,0.0258070511866551,0,0,0,0,0
ETC,0,0.0634500223242447,-0.174814881861343,0,0.0399400475473981,0,0,0,0,0,0,-0.021686847540074,0,0.290210600406866,0,0,0,0,0.0531732225125978
XEM,0,0,0.0752875105379516,-0.09357202003617,0,0,0,0.103259545724163,0,0,0.339655672746687,-0.0387102300903908,0,0.119958948813288,0,0,0,0,0
LTC,0.0973747863600822,-0.101974940740099,-0.0225150293778704,0,0.0495626024378676,0,0,0.145825866450349,0,0,0.05210940467877,-0.0239780879096962,0,0.173033901672411,0,0,0,0,0
DASH,0,0,0,0.0563185494953642,0,0,0,0.253461556790428,0.244598790379121,0.040514019665409,0,-0.018555306692939,0,0,0,0,0,0,0
XMR,0,0,0,0,0.0599520024931536,0.0433201912885642,0.264133288152441,0,0,0.0624713120854222,0,0,0,0,0,0,0,0,0
ZEC,0,0.026355794648214,0,0,0.0275657278591823,0,0,0.135019818034521,0,0.0445034051976369,0.0869118514045842,0,0,0.0638955466091733,0,0,0,0,0
XLM,0,0,0.618445911984556,0,0,0,0,0.234007036498907,0,0,0,0.00644135736279458,0,0,0,0,0,0,0
DOGE,0,0.0529704877701395,0,0,0.237612956911179,0.275590574548776,0.0671509442657159,0,0,0.0758023606733365,0,0.0147036400501081,0,0.0722270859859271,0,0,0,0,0
DGB,0,0,0.147481855615582,0,0,0,0,0,0,0.265636098214128,0.0678045892162268,0,0,0,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0.264026261304243,0,0.191775080517992,0,0.214068116800805,0,0.120192333414866,0.238666409402311,0.0332774695398952,0,0.0745956597598571,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,-0.0067349091145283,0,0,0,0,0.00782697604562339,0,0,0,0.0212612832896209,0,0,0,0,-0.0644900502335025
CVIX.Index,0,0,0,0,0.0218643046736015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00685388399956932,0.001021836899668,0.00582616259102394,-0.0108560342990457,0,0,0,0,0.00398496049032829,0,-0.00834424967197083,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,-0.0021068174191389,0,0,0,0,0,0,0.00202279900219703,0,0,0,0,0,0,-0.0332724671770378
VIX.Index,0,0,0.0517083236344665,0,0,0,0.124442670378605,-0.180329571666611,0,0.0316538501535733,0.0851172818160652,-0.0716530095944223,0,-0.0632173076600633,0,0,0,0,0
