,BTC,ETH,BCH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,NEO,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.126868632371435,0.0715985131488016,0,0,0,0,0.0309096765588969,0.0245897092757297,0,0,0.127082583645485,0,0,0,0,0
ETH,0,0,0,0,0,0,0.169717020717632,0.120098560418328,0.0169943770207064,0.166857281896509,0.028422324915581,0,0.0455754968505111,0,0.127865409545206,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0431133603171285,0,0,0,0.0430842117716464,0.113839781155812,0.158701389948634,0.0671478619654581,0,0.0441022679370426,0,0,0.0484838332870846,0.167072877131964,0,0,0,0,0
LTC,0,0,0,0,0,0,0.217442166989307,0,0,0,0.0828661361540319,0.0675456176091098,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0.0449282867539079,0.109491790478309,0.120255561588573,0.0278715068437222,0,0.164392474165246,0.0468540038529395,0,0,0,0,0
ETC,0,0.221491969691803,0,0,0.0697472230528559,0,0,0.105946991102323,0.00920524574227618,0.134025743530297,0.00349430662287066,0,0,0,0,0,0,0,0,0
DASH,0,0.0458506739977837,0,0,0,0.0649540881322063,0.108331023390235,0,0,0.1577934007649,0.0525506202659117,0.075252764824173,0,0.00715697862855964,0,0,0,0,0,0
MIOTA,0,0.256481931117282,0,0,0,0.1401870227231,0.0723025855171862,0.0457375499336828,0,0,0,0.0706761815071132,0,0.0682035365077104,0.120619660277582,0,0,0,0,0
XMR,0,0,0,0,0.0241523409158863,0.0631703520041575,0.035765124820128,0.230226284637513,0.0247807304525444,0,0.0348852349748785,0,0,0.173196155904479,0.200448340166365,0,0,0,0,0
EOS,0,0.101085683883905,0,0,0,0.0958684290715694,0,0,0.146436858233874,0,0,0.0357399976657892,0.130960576903237,0,0.0748214060928885,0,0,0,0,0
NEO,0,0,0,0,0.0137769850937164,0.0468192824958114,0,0.0772412278270599,0,0.0215564808975158,0.0282637117110098,0,0.418138031556984,0.118106888688184,0,0,0,0,0,0
ZEC,0,0.105832963076134,0,0,0,0,0,0,0.120029572606507,0,0,0.0288449730692592,0,0.320613441556505,0,0,0,0,0,0
XLM,0,0,0,0.254323675866913,0,0.0774537146517987,0,0,0.0473754016713482,0.444347751370613,0.0595128098386064,0.0345396765201407,0,0,0,0,0,0,0,0
DOGE,0,0,0,0.103364339853645,0.0288932341764359,0.19458847170748,0,0,0.08011093783959,0.196266599538122,0,0.00224414883763544,0,0,0,0,0,0,0,0
BV010082.Index,0,0.0193755320571263,0,0,0.00739108192838831,0,-0.0359557374073877,0,0,0,0.00304369180828446,-0.00655960607496815,0.020375753275173,0,0.009663171570157,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0262048464418803,0.0116132324471661,0,0,0,-0.0107060434450249,-0.00625781314607487,0,-0.00264802431519529,0.00242475990663189,0.00120517977258952,0.00122116606745905,0.0114520218040579,-0.0111475758077529,-0.00967948685919405,0,0,0,0,-0.0101308597522849
SPX.Index,0,0,0,0,0,0,-0.0034768741080241,0,-0.000967457415203221,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,-0.0478720712835921
VIX.Index,0.0615209250251132,0.109122804688508,0,0,0,0,0,0,-0.0516886802500585,0,0.0131869905302507,-0.0248839820027889,0,-0.0352671690891122,0,0,0,0,0,0
