,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0804301471149575,0,0,0,0,0.225554443686324,0,0,0.0221982351565071,0,0,0.103119169357164,0,0,0,0,0
ETH,0,0,0,0,0.102710401333282,0,0,0,0,0.0812667461172552,0,0.20405384649712,0,0.12329864062404,0,0,0,0,0,0
XRP,0,0,0,0,0.204581055742093,0,0,0,0,0.279230931071499,0,0.0459780923520778,0,0.025475774583641,0,0,0,0,0,0
BCH,0,0,0,0,0.11602064051822,0,0,0.153246261291895,0.0788458472192782,0.0148299922371649,0.299523463323021,0.061779794938533,0,0,0,0,0,0,0,0
EOS,0,0,0,0.057511606420788,0,0,0,0.180600348173821,0.00840416744616225,0.163377151334309,0.11443213783573,0,0,0.103074057282288,0.0268909509427243,0,0,0,0,0
XLM,0,0,0,0,0.00364890151689092,0,0,0.0544334974774893,0.104334725354409,0.183579231548753,0.0921244767211021,0.0253350039778844,0,0,0,0,0,0,0,0
LTC,0,0,0,0.469352949952389,0.0190630286602253,0,0,0,0,0.0851724065694866,0,0.0839683621355709,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.0421148744455935,0.256994552538879,0,0,0,0,0.338256869178595,0.113497909428834,0,0.0595615358713022,0,0,0,0,0,0
XMR,0,0,0,0.448887518584999,0,0.0364792498925682,0,0,0,0.043692209919517,0,0,0,0.112299796491841,0,0,0,0,0,0
MIOTA,0,0,0.20179524192223,0,0,0,0,0,0,0,0.102635847425128,0.131987012788323,0,0.593434372644789,0,0,0,0,0,0
TRX,0,0,0,0,0.31234138331745,0,0,0,0,0.129600872987029,0,0,0,0.130892883853275,0,0,0,0,0,0
ETC,0,0.0887647067801126,0,0,0.14698927855481,0,0,0,0,0.338792246421428,0,0,0,0,0.0609892883735464,0,0,0,0,0
DASH,0,0,0,0,0.0886557265935841,0,0,0.214355642891549,0,0.129185779686455,0,0.0310150872098148,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.165085064580829,0,0,0,0.0455392155806446,0.29785668028908,0.286344662247146,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0.267634732610863,0.187629959491989,0,0.19470733641939,0,0.0390474261959731,0,0.0110781504639393,0,0.119235021672686,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297822912021418,0,0,0,0,-0.0393799378084479
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0.0681640472946942,0,0,0,0,0,0,0,0,0.0709745281870369
DXY.Curncy,0,0,0,0,1.0842021724855e-19,0.0099345595269411,0,0,0,-0.00749948356116232,0,0.00713358560350267,0,0,0,0,0.0805687809754038,0,0,-0.00465253197880219
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0555637534402432
VIX.Index,0.318997416303643,0,0,0,-0.255215108013756,-0.211683354614278,0,-0.189377373635711,-0.240060279519241,0.186481997836934,0,0,-0.0814500233051237,0,0.317885161563982,0,0.478722940324071,0,-1.58119117944593,0
