,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.123136839601012,0,0.0179252253727244,0.0212259716319839,0.123675310764598,4.33680868994202e-19,0.0825845842790996,0,0,0,0.069130863577268,0,0,0,0,0
ETH,0,0,0,0.0439732716241194,0.142587801665013,0,0,0.0270720488320732,0.142094773174209,0,0,0.0608708450543359,0.0754240106151629,0.0503402264636867,0.0451431976124395,0,0,0,0,0
XRP,0,0.0702938098513882,0,0.0217774448240646,0,0,0,0.0290771470342684,0.0177144105123959,0,0,0,0.203458597038272,0,0.0131753014750815,0,0,0,0,0
BCH,0,0,0,0,0.13756541197377,0,0.211166594131884,0,0,0.133268287466937,0.209188854373911,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.0553031758802514,0,0.652824703632418,0,0.0474372677490301,0,0,0,0,0,0,0
DASH,0,0,0,0.0313344176394149,0,0,0.0353617814995736,0.0277222155109119,0.0974706704892569,0,0,0.1473583380486,0,0.0506473373432302,0.0740798420156518,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.0374632708596187,0.101236847767263,0,0.0309301489144223,0.0741930733072674,0,0,0.0399277621001653,0,0,0,0,0
NEO,0,0,0,0,0.0656793593408536,0,0.219583211099495,0,0.0514724258455773,0,0,0,0,0.444574493724363,0,0,0,0,0,-0.0794415581968683
MIOTA,0,0,0,0,0,0,0.139230077749128,0.167945248791526,0,0,0,0.202078402420424,0,0.241666088694149,0,0,0,0,0,0
XMR,0,0,0,0.0285917178562038,0,0,0,0.0241383415150492,0.0644772144195015,0,0,0.145291104280673,0.279713914940372,0.064901791612783,0,0,0,0,0,0
ETC,0,0,0,0,0.458669315029541,0,0,0,0.0538223902361967,0,0,0.0741194908201975,0,0,0.020684928819731,0,0,0,0,0
ZEC,0,0,0,0.023792490266449,0,0.322398638367137,0,0,0.0104512665145544,0.0476338077539761,0.024032426367174,0,0.172018113774165,0.132118794976725,0,0,0,0,0,0
XLM,0,0.102518351245078,0.116010369102323,0,0,0,0,0.00857374913225549,0,0.219780414021397,0.328415086640099,0.0972979727786004,0,0.0185697823102248,0.030143717518151,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0761428552582062,0.0859809636421099,0,0.103025870069395,0.1085159149692,0.09303964449333,0,0.0476636867565243,0,0,0,0,0
BAT,0,0,0,0,0,0.0837238215237495,0,0.110747044736598,0.127330604394278,0,0.131137246554511,0,0.153731235632861,0.00757483982584774,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0.00534184246321056,-0.00855442893846984,0.0080448633832481,0,0.0253139793104429,-0.0355310260230705,0,0,0,0,0,0,-0.0508753836504971
CVIX.Index,0,0,0,0,-0.00511642908186823,0,0,0,0.0169376341779457,0,0,-0.0778830003622444,0,0,0.0266501043912147,0,0,0,0,0.0466441738011208
DXY.Curncy,0,0,0,0,0.000625421717462539,-0.0166574977806981,0,0.00456069730095871,0,0,0,0,0,0,-0.00710874627231673,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00440309303121645,0,0.000984532162648529,0,-0.00267353441192067,0.00174445699600595,0,0,0,0,0,0,0,0,-0.0379848761698531
VIX.Index,0,0,0,0,0,-0.27511422512363,0.0477202821133808,-0.0140759720060682,0.16890305261284,0,0,0,0,-0.0361409067557069,0.0391035743421992,0,0,0,0,0
