,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.206851293975748,0,0,0,0,0.255797574154203,0,0,0.0171429313075687,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.250858783931535,0,0,0.0216008983585179,0,0.100693931191901,0,0.148643906711527,0,0.0697716384522646,0,0,0,0,0,0
XRP,0,0,0,0,0.166620009205362,0,0,0,0,0.276080233846892,0,0.0656057245277278,0,0.0324915879838436,0,0,0,0,0,0
BCH,0,0,0,0,0.26090564945203,0,0,0.0883234394937456,0.117599082774448,0.060624760461862,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.343409580104634,0,0,0,0.102677103065075,0,0.160959358857756,0.0413103141781315,0,0,0.0888736803544853,0,0,0,0,0,-0.0358119969438061
XLM,0,0,0,0,0.0557484544688964,0,0,0.156714560110893,0.104462633959386,0.176769757103042,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.50592924241899,0.037437312895163,0,0,0,0,0.0878069921091918,0,0.0553675864898275,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0348070999038129,0.0471385178633196,0.202156452726288,0,0,0,0,0.281044573340352,0.144489601996446,0,0.0877293558984379,0,0,0,0,0,0
XMR,0,0,0,0.278474794325636,0,0,0,0.0190340332806334,0,0.113877689637574,0,0,0,0.103523861206428,0,0,0,0,0,0
MIOTA,0,0,0.149817828260148,0,0,0,0,0,0,0,0.182739881096508,0.100109768261178,0,0.576160870867487,0,0,0,0,0,0
TRX,0,0,0,0,0.235977909054769,0,0,0.114512484869001,0.0523774738208247,0.165082261904573,0,0,0,0.0803067221942188,0,0,0,0,0,0
ETC,0,0.179445855089738,0,0,0,0.0663953743088088,0.223208197391383,0,0,0.269071099002738,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0539397965173238,0,0,0.218162160286288,0,0.0657966820256617,0,0,0,0.212479343936483,0,0,0,0,0,0
NEO,0,0,0,0,0.0446912272286169,0,0,0.0767958930630647,0,0.447332187988399,0.255762741112401,0,0,0,0,0,0,0,0,0
BNB,0,0.242040437468761,0.208310013929989,0.00534650351432681,0,0,0,0.117917664649109,0,0,0,0.0110084593895829,0,0.025159030514663,0,0,0,0,0,-4.33680868994202e-19
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260929929669697
CVIX.Index,0,0,0,0,0,0.0259250474782963,0,0.0740322252552944,0,0,0.0235871558319351,0.0617787718144722,-0.119575882717493,0,1.73472347597681e-18,0,0,0,0,0.0615294775993566
DXY.Curncy,0,0,0,0,0,0.0101568991544018,0,0,0,-0.00711594332449213,0,0.0121426729825767,0,0,-0.00773111328408409,0,0.0811339575030448,0,0,-0.00424062306046351
SPX.Index,0,0,0,0,0,0,0,0,0,-0.00467378338337098,0,0,0,0,0,0,0,0,0,-0.0584523039942316
VIX.Index,0.999967705229704,0,0,0,-0.192644425998616,-0.0905598883648618,0,0,-0.507800952793561,0,0,0,-0.422574443376201,0,0.476128563092102,0,0.300676361879905,0,-0.584993389831945,0
