,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0610028060853569,0,0,0,0,0.0767188348168295,0.00866466043954818,0,0,0,0.181427802058302,0.0798553657718982,0,0,0,0,0
ETH,0,0,0,0.0907821704805636,0.0518698532682733,0,0,0,0.173670931303637,0.13487275204225,0,0,0,0.0966463262774079,0,0,0,0,0,0
XRP,0,0.0525342076917717,0,0.0151720816207979,0.0593886363392262,0,0.0852000182307134,0.0329145325349262,0.0539733879512052,0,0,0,0,0.378809737466548,0,0,0,0,0,0
BCH,0,0,0.143286188731651,0,0.0287934369596691,0,0,0.108650792199298,0.165956980420043,0,0.116285852172283,0,0.092319004249979,0.0831646866372297,0,0,0,0,0,0
EOS,0,0,0,0.278091414002789,0,0,0,0.138825062346906,0,0.136899629465805,0.14600180332175,0,0,0,0.0932812807625968,0,0,0,0,0
LTC,0,0,0,0.148231575572662,0.0255699164489659,0,0.133372372988089,0.00784499337930347,0.0514096103770176,0,0.0254376550630275,0,0,0.130539420048908,0,0,0,0,0,0
XLM,0,0,0,0.0841863359283085,0.186182817868824,0,0,0.120363912850017,0.068885605253725,0.0856045499923601,0,0,0,0.0626093200617087,0,0,0,0,0,0
ADA,0,0,0,0.0739236177433752,0.11187290635498,0,0,0,0.133438220186085,0.101759841465184,0.0528848892432452,0,0,0.0445291949715784,0,0,0,0,0,0
MIOTA,0,0,0,0,0.0128626543868754,0,0.427157323216793,0.0842400535993452,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.0637995362943293,0.268752112917657,0,0.280150501589269,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.143188692164578,0,0.0123134404666045,0,0.116535410273655,0,0,0,0,0.329577126102706,0,0,0,0,0,0
DASH,0,0,0,0.109864525444195,0,0,0.0864288893471687,0,0.0465475809716969,0,0.0876522938132716,0,0,0.264045584864026,0,0,0,0,0,0
XMR,0,0,0,0.15698442910814,0.00591991742993928,0,0.0849438671569233,0.0490451969756126,0,0,0,0,0,0.309640279581331,0,0,0,0,0,0
XEM,0,0.0612589263224842,0.0925375422950212,0.0708636292747529,0,0,0.223112281604296,0.0332049041299002,0.0310591414874284,0.185157617604001,0.0246165380889761,0,0,0,0,0,0,0,0,0
BNB,0,0.307483982501489,0,0,0.0891563890939406,0,0,0,0.0202498504241656,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117684344365254
CVIX.Index,0,0,0,0.0306220136407417,0,0,0,-0.109916015001673,0.0674340730946304,0,0.00578351164471328,-0.0453815025066033,0,0,0.0396846810931668,0,0,0,0,0.0425542045788588
DXY.Curncy,0,0,0.00950876026716206,0.00405407526768873,0.00192591440685588,-0.00336548150509953,0,0.00510267001732576,0,0,6.7762635780344e-21,0,0,-0.00539566453361088,0,0,0.027032617598097,0,0,0.00331473695719715
SPX.Index,0,0,0,0.00941572744376529,-0.00478398080591987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0912322485725706
VIX.Index,0,0,0,-0.157284129212207,-0.165850542431454,0,-0.170813590141021,0,0.204793396031206,0,0.384512359373738,0,0,-0.180839931782557,1.73472347597681e-18,-1.00319847838622,0,0,0,0
