,BTC,ETH,XRP,BCH,XEM,LTC,NEO,MIOTA,DASH,ETC,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.094734625947131,0.131245262677452,0.0303482723258328,-5.42101086242752e-20,0,0.00813402651023535,0.109131000856077,0.025299852900034,0,0,0,0,0,0,0,0
ETH,0,0,0.195674873174125,0,0.0298577000488941,0,0.0184660472570508,0.0667125141392058,0.00267230728184257,0.156504147758819,0.126943913842252,0.0234185377916226,0.00445529276019542,0,0.00142421933712742,0,0,0,0,0
XRP,0,0,0,0,0.03401861975804,0,0,0.0826317768618211,0.014297211794991,0,0,0.0170069802718636,0,0.0283632204193276,0.353012683809071,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.0339450821952255,0,0,0,0.0289377111055043,0.0623136834073687,0,0,0.123299455732396,0.120025360679027,0,0.0693171689236914,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0680170896487998,0,0,0.184821856498965,0.109693730795001,0.0828605863767785,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0696308953503729,0,0,0,0.0795007974300206,0,0.0321704081179575,0.0306360464297957,0.354434881992784,0.111558653993958,0,0,0,0,0,0
MIOTA,0,0.298284352932192,0.0465798542735858,0,0.265946084955628,0.0736012396488274,0.0884550954190787,0,0,0,0,8.67361737988404e-19,0,0,0.121470094181735,0,0,0,0,0
DASH,0,0,0,0,0.0418709767965064,0,0.0758713657776208,0.0198220243028698,0,0,0.156359436844327,0.0199472620519306,0,0.107006395251716,0,0,0,0,0,0
ETC,0,0.118251719081265,0,0,0,0.125781805882107,0,0,8.67361737988404e-19,0,0.164428531384195,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0.154679069793194,0,0,0.0457072182293856,0,0.342457880526311,0.0982600591729448,0,0,0,0,0
EOS,0,0.105891747355187,0,0,0,0,0.0396261405412325,0.2044413578564,0,0,0,0,0.134688824734046,0,0.26885762150276,0,0,0,0,0
ZEC,0,0.166639991265118,0,0,0,0,0.0149677803234759,0.0852286857729417,0,0,0.285790900886359,0.0401062652528194,0,0.0574870913163055,0,0,0,0,0,0
XLM,0,0,0,0,0.133453949121935,0,0.0275188540128594,0.0176691543017311,0,0,0.492290173572767,0.0680913044158501,0.035028173510213,0,0.0903483513919739,0,0,0,0,0
DOGE,0,0,0.0463436283114129,0,0.127990869894273,0,0,0.111839812119288,0,0.108047387120652,0.115195096764637,0,0,0.141184105471867,0,0,0,0,0,0
BV010082.Index,0,0.022375851820577,0,0.0148797735803366,0,0,-0.00774331453589911,0,0,-0.0238326895282032,0,0,0.0171636945496735,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,-0.0210688143527496,0.00852223697289218,0,0,0,0,0.00636728703458471,0,-0.020629401916359,0,0,0,0,0,0
DXY.Curncy,0.0149035712576885,0,0,0,0,0,0,0,0,0,0,0.00210910613621182,0.00571433494693741,-0.0172210089470841,0,0,0,0,0,0
SPX.Index,0,0,0,-3.3881317890172e-21,0,0,0,0,0,-0.00305190226467899,0,0.000665863899730519,0,-0.00211253907963532,0,0,0,0,0,-0.0487575641977363
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310457750567596,0,0,0,0,0,0
