,BTC,ETH,XRP,BCH,EOS,LTC,XLM,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.10565088265837,0,0,0,0.015769733330749,0,0,0,0.29956975227405,0.0246835066263151,0,0,0,0,0,0,0
ETH,0,0,0,0.11456251876263,0.0935696691442989,0,0,0.00399896852356722,0,0,0,0.247005518424339,0.0336146171246402,0.170738923559958,0,0,0,0,0,0
XRP,0,0,0,0.0886560540831409,0.139656362583595,0,0.161855795656495,0,0,0.0150005595991059,0,0.0665438265091486,0,0.0152532624591075,0,0,0,0,0,0
BCH,0,0,0,0,0.205102022536804,0,0,0,0,0.44719189719981,0.228644342548307,0,0,0,0.00311865173488436,0,0,0,0,0
EOS,0,0,0,0,0,0.146623336106943,0.165067760615268,0.0190537174696111,0,0.340269682196325,0,0,0,0.127375337732273,0,0,0,0,0,0
LTC,0,0.268337026929547,0,0.0285803866195533,0.101445927347476,0,0,0.0100021260269617,0,0.0182136889481699,0.111566852683392,0,0,0.112460583996207,0,0,0,0,0,0
XLM,0,0,0,0.207060669019865,0.19455659928359,0,0,0,0,0,0.0273633995081549,-1.73472347597681e-18,0.077682202450478,0.0528930324514928,0,0,0,0,0,0
BSV,0,0,0,0.462383469899496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0.106436798571647,0,0.115605798516724,0,0,0,0,0,0.329645653834182,0,0.0630237232336789,0,0,0,0,0,0,0,0
ADA,0,0.167634418813727,0,0.141388273642317,0.204344032771141,0,0.0761368278526595,0,0,0,0.0122946055462985,0.200869154962185,0,0,0,0,0,0,0,0
MIOTA,0,0.100515867967922,0,0.182560007937564,0.141416065569198,0,0.0346179699845325,0.0402110927799663,0,0,0,0.263626910977121,0,3.46944695195361e-18,0,0,0,0,0,0
XMR,0,0.140372864405724,0,0.0345652710818715,0,0,0,0,0,0.215624402699311,0,0,0,0.263210818718101,0,0,0,0,0,0
BNB,0,0.0553657715673971,0,0.0277820781266669,0.0397472163741577,0.0960361901534633,0.0691530574109049,0.00746980067351602,0,0.245133015435618,0,0,0,4.33680868994202e-19,0,0,0,0,0,0
DASH,0,0.246905559787633,0,0,0.0532493326732327,0,0,0.0087922954961024,0,0,0,0.33253230467247,0.11234224772358,0,0,0,0,0,0,0
XEM,0,0,0,0.124622137401955,0,0,0.0484933547589978,0,0.0271283373124198,0.196483796982948,0,0.184340957268921,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.040543242488825,0,0.0762293610245149,0,0.00611100710600278,-0.0575658761782533,0,0.0231233109327038,0,0,0,0.0372791433126831,0,0,0,0,-0.0750590183483008
CVIX.Index,0,0.0614565955039038,0,0.0140422709852857,-0.0175002053148236,0,0,0.0104559537291988,0,0,0.020366617772876,-0.070519082431092,-0.0909477284781323,0.0504639362108114,0,0,0,0,0,0.0743776518821746
DXY.Curncy,0,0,0,-2.71050543121376e-20,0,0,0,0.00466889066124323,-0.0201154224052605,0,0,0,0,0.00679402025909544,0.00363858036532231,0.0248287856630345,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121248265382169
VIX.Index,0,0,0.287633467992632,0,0.0965609821009047,0,0,0.0540030418420106,0.134315291557027,0,0.0761931747950242,-0.512416509206632,0,-0.0288076426957415,0,-0.547129237437038,0,0,-3.17755462529601,0
