,BTC,ETH,XRP,INNBCL,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LEO,XMR,XLM,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0.195662785190384,0.0754669414991529,0.0779875190113202,0,0,0.0400246637144835,0,0.0660478961604775,0,0,0,0,0
ETH,0,0,0,0.00484019975689464,0.25941154962696,0,0.178850793223399,0,0,0.218289582110233,0,0,0,0,0.0546054051117348,0,0,0,0,0
XRP,0,0.147964229826477,0,0.000215371995298107,0.118534878180054,0,0,0.0788700258716429,0,0.0787427214835094,0,0,0,0,0.294805987787766,0,0,0,0,0
INNBCL,0,15.0313299674068,0,0,-1.12584346506142,0,-4.29916036397,0,0,-0.980177299450459,0,0,-8.17592884140473,0,-5.23398311091842,-3.01253993188159,-3.97442287476091,0,3.51177823813988,-2.28270086200824
BCH,0,0.0415440984670573,0,0,0,0.0887989999025892,0,0.393880969027895,0,0.0372448357881906,0.00652893272309695,0,0,0,0,0,0,0,0,0
BSV,0,0,0,-0.0016588666711575,0.661469433933911,0,0,0.255212975141624,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.171772324229936,0,0,0.180869478167663,0.00711743688303208,0,0.0275004976399475,0,0.0878197989788594,0,0,0,0,0.158292497606232,0,0,0,0,0
EOS,0,0.0280300862195101,0,0.000982574359662127,0.28401243295294,0.16963666373327,0.0884280874075772,0,0,-3.46944695195361e-18,0,0,0,0,0.185316986050183,0,0,0,0,0
BNB,0,0.0661254675811272,0,-0.00164104983941949,0.267212939086586,0,0,0.0297561346995582,0,0.222005165918178,0,0,0,0,0.0599847224158151,0,0,0,0,0
XTZ,0,0.219072879699464,0,-0.00810017191762318,0,0,0,0,0.445315656296165,0,0,0,0.0637521709895371,0,0,0,0,0,0,0
TAGZ5,0,0.195685683971254,0,-0.00116326847664036,0.15116567639204,0,0,0,0,0.0443321818337006,0,0,0,0,0,0,0,0,0,0
LEO,0,0,0,-0.000584022366646448,0,0.045090781499444,-0.159060771340451,0,0.125904479824687,0.0310410704818217,-0.0633706570428089,0,0,0,0,0,0,0,0,0
XMR,0,0.283212318638929,0,-0.00215404479225449,0,0,0,0.225715368401304,0,0.189568027099844,0,0,0,0,0,0,0,0,0,0
XLM,0,0.0841420577287069,0,0.00184673513777746,0.190812851578895,0,0,0,0,0.154380998354281,0,0,0.140488515630332,0,0,0,0,0,0,0
ADA,0,0.206695460992092,0,-0.00556198565391664,0.155884598907228,0,0,0.248860050560519,0,0.140788138374723,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0.00223427063841195,0,0,0.0778576068348333,0,-0.184810638732643,0,0.0963075013407714,0,0,0,0,0,-0.110723312550444,0,0,-0.118680169911801
CVIX.Index,0,0,0,0.0012197037406302,0,0.127120063460365,0,0,-0.0925132937839449,0,-0.142127200195536,0,0,0,0.010167622685341,0.259895195565825,0,0,-0.774172942451208,0.150442941216223
DXY.Curncy,0,0,0,0.000447216950582511,0,0,0,0,0,0,0,0,0,0,0,0.0144399396723089,0,0,0,-0.0153453527609744
SPX.Index,0,0,0,-0.000299353021428183,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236455740590974,0,0,-0.25164541903368
VIX.Index,0,0,0,-0.00179248710059143,-0.0702300163180342,0,0,0,0,0,0.13717630518586,0,0,0,0,0,0.0332038327229364,0,-2.77101739263145,0
