,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,BAT,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.10495214340922,0,0.043692330185904,0.0200679418430409,0.118545939686102,0,0.109012683912961,0,0,0.0596553254598688,0,0,0,0,0,0
ETH,0,0,0,0.0394344406845641,0.161501908658233,0,0.0342544078085384,0.0184668643742805,0.133503102278624,0.0309299757912526,0,0,0.0386566952181587,0.0478720263534245,0,0,0,0,0,0
XRP,0,0,0,0.00638072105862221,0.155596333143886,0,0.0223878033186937,0.00436306111371161,0.0389058706039251,0.0656027895072805,0,0,0,0.0593287041818148,0,0,0,0,0,0
BCH,0,0,0,0,1.38777878078145e-17,0,0.25932819414609,0,0,0.0568322600055867,0.357868390860299,0,0,0,0,0,0,0,0,0
LTC,0,0.212527735474498,0.0148295640843643,0,0,0,0,0,0,0,0.702017162480622,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0251046321836771,0.0528067268715115,0,0.0617004240159973,0.0339158902729728,0.0915585458982383,0,0,0,0.176239126595408,0.0782868321990122,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.0465053617417362,0.116374600934679,0,0.0565079757293575,0,0,0.0250340700066024,0,0,0,0,0,0
NEO,0,0,0,0,0.123491853239449,0,0.332718214772757,0,0.113672003834676,0,0,0,0,0,0,0,0,0,0,-0.0927466023765827
MIOTA,0,0,0,0,0,0,0.131178537763349,0.167441514436561,0,0,0,0,0.143427606161839,0,0.3336587278853,0,0,0,0,0
XMR,0,0,0.0836904983775664,0.0164947804793749,0,0,0.0546908890285581,0,0.0700718809736146,0,0.0486713629446299,0,0.216182315055503,0,0,0,0,0,0,0
ETC,0,0,0,0,0.481808404104169,0,0.0218583233646436,0,0.0752144075515702,0,0,0,0.0704829588556589,0.0254323500394518,0.0331074412044243,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.347357229128576,0.045383139966642,0,0,0.102922580630645,0.0565015937937719,0,0,0,0.206777573017624,0,0,0,0,0
BAT,0,0,0,-0.0393137843170869,0.209422195450673,0.138608245462227,0,0.19334860250255,0.0382262886283628,0,2.77555756156289e-17,0,0,0,0.223581827484148,0,0,0,0,0
EOS,0,0.172176135579576,0.0852294533090055,0,0.180985136689015,0,0,0.0946478075772535,0.0769580893459989,0,0,0,0.171071988459518,0.0357973421365706,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,-0.0115642321022578,0,-0.00841142449103214,0,0.00689139416361526,0,0.0406896448469697,0,0,0,0,-0.0452699793532352
CVIX.Index,0,0,0,0,0,0,0.00515917427911753,0,0.0195448084635238,0,0,0,-0.0759848085560443,0.0311836707436794,-0.0253018184789221,0,0,0,0,0.0455752560568783
DXY.Curncy,0,0,0,0,0,-0.0178566089544041,0,0.00404639764137501,0,0,0,0,0,-0.00794539662689017,0.0115201211445945,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.004201933067982,0,0.000828710875791521,0,-0.000754836305202669,0.000777258537238398,0,0,0,0,0,0,0,0,-0.0385593681743974
VIX.Index,0,0.0666232863317682,0,0,0,-0.261433340198851,0.00524560929036234,0,0.164322074479662,0,0,0,0,0.0496527774617673,-0.0893098605308138,0,0,0,0,0
