,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0609426087429534,0,0.0981956672727685,0.0674485071673165,0.0795767799257218,-0.0439661617797743,0,0.0211926974692034,0.0637483150800642,0,0,0,0,0,0
ETH,0,0,-0.0233803675544691,0.139721072869489,0,0.334138306821984,0.0143834543092983,0,0,0,0.100663568455267,0.0406992667791187,0,0,0,0,0,0
XRP,0,0.0494849992420485,0,0,0,0,0,0,0.0145325912838661,0,0.394210819211896,-0.0550158005363712,0,0,0,0,0,0
DASH,0,0,-0.137810196231983,0,0,0,0,0.059347656320658,0.0626207507767642,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.085665092218472,0.0617514207183454,-0.0620294849828721,0.0279601527263377,0.114795840418242,0.084282678003567,-0.0395747623913686,0,0,0,0,0,0
XMR,0,0.281408229822922,-0.0193974020045623,0,0,0,0,0.163579513813458,0,0,0,0,0,0,0,0,0,0
ETC,0,0.332762918183286,0,0.111487558598362,0.0815187065246732,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,-0.00286381642777677,0.103827664236018,0,0,0.135179398629541,-0.141905543055475,0,0.2263603849202,0,0,0,0,0,0
ZEC,0,0,0,0.239194696457921,0,0.0249946905812711,0,0,0,0.171207617839141,0,0,0.0792247352210206,0,0,0,0,0
DOGE,0.114813911423627,0.0619892384950448,0.100571885220906,0,0.131585612509988,0,0,0,0.212962549095688,0,0.299191994243266,0.160930624056253,0,0,0,0,0,0.119376012121041
XLM,0,0.123535790824406,0.42587830543551,0,0.155462984644086,0,0,0,-0.117099504022969,0.125923357038258,0,0.132920807054008,0,0,0,0,0,-0.0779143205545742
DGB,0,0.0861151230101539,-0.06606107582135,0,0,0,0,0.101969450970109,0,0,0,0,0,0,0,0,0,0
NEO,0,0,-0.0314692686676656,0,0,0,0,0,0,0.160559278696269,0,0,0,0,0,0,0,0
BV010082.Index,0.0618911528423426,0,0.00496570162498174,0,-0.00495124161521969,0,-0.0497563283385666,0,0,0,0,0.0355025781115516,0,0,0,0,0,-0.061187451260928
CVIX.Index,0,0,0,0,0.0200115724049642,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0249246846375788,-0.00478963150992448,0.000210351779182105,-0.00229644698485363,0,0,0,-2.16840434497101e-19,-0.00825507377068291,0,0,0,-0.0107393497568576,0.0604346217861094,0.0193582307167746,0,0,0
SPX.Index,0.00780939079480585,0,0.000604338052311066,-0.00106562407972775,0.00370444398277024,0.00396480399006317,0,0,0,0,0,-5.42101086242752e-20,-0.00460793386784348,0,0,0,0,-0.0225593841371535
VIX.Index,0.00993176408176706,0,0,-0.0591681437052252,0,-0.17280660693804,0,0,-0.0238726122947975,0.0908467211013115,-0.099516056755119,0,0,0,0.255984502098353,0,0,0
