,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.211732529502828,0,0.0266260083022228,0.0969551076392912,0,0.0709873236026743,0.0286802984955592,0.0419252249398337,0,0,0.060957098331917,0.027630011969984,0,0,0,0,0
ETH,0,0,0,0.0567803042590441,0,0.0439687079252604,0,0,0,0,0,0,0.212816894486745,0.0648772258809287,0.18262374961429,0,0,0,0,0
XRP,0,0,0,0.00632898976950654,0,0,0,0.238056533259825,0,0,0.0588423655524761,0,0.132179923862217,0.151738957994158,0.0890355395369698,0,0,0,0,0
BCH,0,0,0.0246656470374792,0,0,0.0809450993944618,0,0.00736289141562838,0,0,0.0779215045109453,0.203859057529312,0.156815622100726,0,0.0780020937242058,0,0,0,0,0
LTC,0,0,2.71050543121376e-20,0.17041378279832,0,0,0,0.0581058834806352,0.136170466243151,0.0785966147078911,0.00717273427344144,0,0,0.036475537473756,0.0876134420381941,0,0,0,0,0
NEO,0,0,0,0.110206950507568,0,0,0,0.0181566870411275,0.0947684448048726,0,0.0248844735249366,0,0.143277253309058,0,0.305411001474798,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.105884250339443,0.0863904013636286,0.0751230107086455,0.0333224174847352,0,0.0501473348313766,0.116095787138857,0.0556485453703393,0,0,0,0,0
XLM,0,0,0.0166767305897089,0,0,0,0.534005514423362,0,0,0.0622480949415387,0,0,5.42101086242752e-20,0,0.0932130613582959,0,0,0,0,0
XMR,0,0,0,0.0267974729283793,0,0.0844799289428384,0,0,0,0.0897676405485041,0.0803863655134923,0.135279602414455,0.0686782168348908,0,0.138554797439728,0,0,0,0,0
EOS,0,0,0,0,0,0,0.0866814815741152,0,0.021231104741139,0,0,0,0,0.155166847297284,0.371391321513053,0,0,0,0,0
MIOTA,0,0,0.0479410739051081,0.185733299368371,0,0,0,0,0.0802964272010968,0.0625734181000789,0,0,0.17147910791167,0.0690476330259933,0,0,0,0,0,0
DASH,0,0,0.067372489982751,0.0525512821981974,0,0,0,0,0.193253894969734,0.1157816414604,0,0,0.0229217210032423,0.0919757194350967,0.0820090744322175,0,0,0,0,0
XEM,0,0,0,0.0298013728483063,0,0,0.0945889007182008,0.147148539727175,0.118313877309449,0,0.0343753949806061,0,0,0,0.0731216076684917,0,0,0,0,0
TRX,0,0,0.568187587751088,0.144263330559173,0,0,0,0,0,0,0,0,0.259493590374217,0,0,0,0,0,0,0
ETC,0,0,0.239264369400416,0.136490680151526,0,0.273422680977734,0,0,0,0.0457079349578614,0,0,0,0.119034400435858,0,0,0,0,0,0
BV010082.Index,0,0,0,0.000916327729853754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335291365828384
CVIX.Index,0,0,0,-0.0216091500970427,0,0,0.080671450444141,0,-0.0452950090236177,0,0,0,0.078943370356416,-0.017494918299679,-0.0661691636359244,0,0,0,0,0.0201936225696225
DXY.Curncy,0,0,0.00774106844474849,0,-0.016581405616542,0,0,-0.0195466376737351,0,0,0,0.0217955000446199,-0.00654924254056841,-0.0050906204938591,0.0103511296532768,0,0,0,0,0.00905792920217113
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0541713066252217
VIX.Index,0,0,0,0,0,0.00883084381817862,0,0,0.0781968640260592,-0.0938521114385207,0,0,0.101338813447179,-0.0152107183947503,-0.0144328876266255,-1.27727799988138,0,0,-2.57605793895778,0
