,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0424288133765611,0.0805691208210937,0.0295363085378327,0.101024861519419,0,0.0963651215401766,0,0,0,0,0,0.0923635360997428,0,0,0,0,0
ETH,0,0,0.0109100947834439,0.0933735773026746,0,0,0,0,0.124157166238268,0.0821758876967683,0,0.12328869388703,0,0.0363176048174849,0.124940139352908,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0.0748216882387032,0,0.127712085396383,0,0,0,0,0,0
XRP,0,0.332091155944951,0,0,0,0,0,0,0.0061671923520158,0,0,0,0.0539710879961387,0.0330924393140983,0.037939828756844,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.110340648002479,0.197397842107578,0,0,0,0.156239043390326,0,0,0,0,0,0
DASH,0,0,0.0196744212127069,0,0,0,0.0237939828632691,0,0.0720749842809639,0,0,0.146874132522072,0,0.120960652708284,0.0523173816652865,0,0,0,0,0
XEM,0,0,0,0.103598497382286,0,0.160053020546795,0,0,0.0270901754744053,0,0,0,0.122168754978446,0,0.169008306173927,0,0,0,0,0.0316995330386483
XMR,0,0,0.0123250439546048,0.160775098192742,0,0,0,0,0.0945932047416533,0,0,0.0843891665916157,0.138424946989718,0.111779591384046,0,0,0,0,0,0
MIOTA,0,0.0369375550930321,0,0,0,0,0.103581371965593,0.0349012405342132,0,0,0.11072798734869,0.353334622527717,0,0.234984702676191,0,0,0,0,0,0
ETC,0,0.2529936105708,0,0,0.176399086214657,0,0,0,0.0125946974984542,0,0,0,0,0.136985375367942,0.0560200231550516,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75270197620795,0,0,0,0,0,-0.0588904856695401
ZEC,0,0.180941804686577,0.00358374711361229,0,0,0.22196761825071,0,0.0217815758339506,0.031883763736998,0,0,0,0.162891944995604,0.115406859041938,0,0,0,0,0,0
XLM,0,0,0,0.365767935890094,0,0,0,0.248121219880768,0,0,0,0.0895250219192436,0,0.0964899273230064,0.104766773002133,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.121713597916487,0.114209697887986,0.0679321431997679,0.120292296723962,0.0724896407230704,0,0.0762004036740762,0,0,0,0,0
BAT,0,0.117356748125023,0,0,0,0,0,0,0,0.162894680738629,0.00454078495830955,0.0397690055001702,0.255975879822776,0.0908629404092375,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0289489202560873,0,0,0.0152026672788763,-0.00434665634836619,-0.0130242672794466,0,0.0323229919197938,-0.0400446652031534,0,0.0167198772995255,0,0,0,0,-0.02645484671438
CVIX.Index,0,0,0,0.0195553723166851,0,0,0,0,0.00218217781155442,0.0173877701552479,0,0,-0.0253143757235602,0,0,0,0,0,0,0.0174419084992568
DXY.Curncy,0,0,0,0.00736536971670174,0.0127095702126927,-0.00629956212711195,0,0,0.00332888862136698,0,0.00261951970396823,0,-0.0132862419987932,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00215592128141112,0,-0.0023996631768634,0,0,0.000896761673197501,0,0,0,0,0,0,0,0,-0.038199729136468
VIX.Index,0,0.126270287111479,-0.0352896754215015,0,0,-0.264872799947873,0,0,0.156411273344059,-0.0679119783755563,-0.0557889726691619,-8.67361737988404e-19,-0.0377086996253262,0,0.0858412869410091,0,0.205704476450326,0,0,0
