,BTC,ETH,BCH,XRP,LTC,MIOTA,XEM,DASH,NEO,XMR,ETC,ZEC,EOS,BNB,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,4.33680868994202e-19,0,0,0,0.0848641137208974,0.0666541686069973,0.0565403325354575,0.0194657729137415,0.0227184749513806,0.00242164491809844,0,0.0402208934803907,0.0382475598609902,0,0,0,0,0,0
ETH,0,0,0,0.0529242690477267,0,0.0269962309082647,0.087158775165648,0,0.0345089602747556,3.46944695195361e-18,0.0167069552415282,0.192916530080108,0.0154921619995779,0,0.0681907202842417,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,-0.12324894166928,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.316891067717428,0,0,0,0.0186726650604463,0,0,0,0,0,0,0.0260749739394342,0.0140295402619443,0.0609864954047341,0,0,0,0,0
LTC,0,0.163249086778817,0,0,0,0,0,0,0,0,0.174931039969673,0,0.0814926332840259,0.0417702993828353,0.00789805559060701,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.149833665779947,0,0.0488877794063739,0,0,0.568814678323563,-0.0198122324575172,0.129141759784946,0,0,0,0,0,0
XEM,0,0,0,0,0,0.0293249271698824,0,0.330631673477965,0.0951233262103609,0,0,0,0.102554766616355,-0.00765208886713075,0.116271736756925,0,0,0,0,0.0118597419992633
DASH,0,0.188394830083559,0,0,0,0.0662068769640992,0.0764181336958,0,0,0,0,0,0.0483894083527802,0,0.0694513058245295,0,0,0,0,0
NEO,0,0,0,0,0,0.186996447663152,0.21165380164573,0.0872094772676555,0,0,0,0,0.0516317790165992,0,0.0168145836791879,0,0,0,0,-0.138420048995603
XMR,0,0.114938007895103,0.00525800251363264,0.165103732007176,0,0.013334345072304,0.0247022626789679,0.084839665018289,0,0,0,0,0.0381474024101737,0,0.225328236104418,0,0,0,0,0
ETC,0,0.307424014829056,0,0,0,0,0,0,0,0.0729830041950648,0,0,0.0103758871462494,0,0.0079285032991006,0,0,0,0,0
ZEC,0,0.353367365743145,0,0,0,0.0883622718446444,0,0,0,3.46944695195361e-18,0,0,0.050360299597562,0,0.0866017636529299,0,0,0,0,0
EOS,0,0.0804344221967469,0,0,0,0.16430980407093,0,0,0.0966202413850574,0,0,0.153748760423313,0,0,0.161817629849394,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.0456723000865557,0,0.0566244755226486,0,0,0.186710137401198,0,0,0.456098539865467,0,0.145215145492882,0.0495619830103415,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.00759873293480489,0,0.0321914715397727,-0.000558575702675831,0.0201790159854992,0,-0.0167658413942492,0.0204076835556973,0,0.0324433187372435,0.000107165552902237,-0.00305848811806388,-0.0469467431028761,0,-0.0241014545343406,0,0,-0.0262942731974378
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.00354205316811697,0,0.0259613397238348,0,0,0,-0.00110091095171658,0.00682435248407659,-0.00260202044526328,0,0,0.00219429944167516,-0.0119166332670355,0,0,0,0,-0.00554276937815063
SPX.Index,0,0,0,0,0,0,0,0,0.00115992224423328,-0.00213844650750535,0,0,0,0,-0.00175119446210664,0,0,0,0,-0.0448902971227535
VIX.Index,0,0.298300869991528,-0.0726591447634177,-0.0989747536415205,0,-0.0618157953671884,0.170886665881396,-0.219297838559842,-0.0705835132222617,0.0237784563478055,0,0,0.010252333325806,0.0757456087197127,-0.0815097653835796,0,0.414658193987259,0,0,0
