,BTC,ETH,BCH,XRP,MIOTA,LTC,XEM,NEO,DASH,ETC,XMR,EOS,ZEC,BAT,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0124561460809706,0.152060769159332,0.0878863899622628,0.0198978392865046,0.0863815942664446,0,0,0.0201939974192184,0,0.0161509160978201,0.0355297605693439,0,0,0,0,0
ETH,0,0,0,0.0986288889264715,0.0546129483270369,0,0.0471490776515688,0.0123342298429772,0.1590406022033,0.0516172637277395,0,0.00159310861640228,0.0779742509503285,0.111017274510945,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,-1.54466161428942e-05,0,0,0,0,0,0,-0.0917034606661134,0,0,0,0,0
XRP,0,0.313916988447198,0,0,0.0363875949934433,0,0,0.00936582476744298,0,0.152555460285869,0,0.0289531976381982,0,0.0271093083193548,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.143456762475617,0.0650116661747833,0,0,0,0,0.27943460686607,0.0618578744980126,0.0888898420307834,0,0,0,0,0
LTC,0,0.0711397946958632,0,0,0.0888259791902992,0,0,0.0199452674981272,0,0.165791578954558,0,0.0832689185321264,0,0,0.0159004365260531,0,0,0,0,0.0514068313044253
XEM,0,0,0,0.0985709706658792,0.120996192701721,0,0,0.0210178596750331,0,0,0.0869494606301533,0.129926803590695,0,0.0706971872797622,-0.0282245204788274,0,0,0,0,0
NEO,0,0.246845024691482,-0.0500430574990874,0,0.00196235440023875,0,0.302288187594627,0,0,0,0.167906590324521,0.0173748699530167,0,0,0,0,0,0,0,-0.107204211475767
DASH,0,0.185697012773682,0,0,0.023183362514456,0,0.0293215820782174,0.0612145467357266,0,0,0.131937608358821,0.0506406151745325,0,0,0,0,0,0,0,0
ETC,0,0.197330172432583,0,0,0.00726826161828925,0.113208933742747,0,0,0,0,0,0.0184913786519182,0,0.0539618693843514,0,0,0,0,0,0
XMR,0,0.104819960953088,0,0,0.0728790747749945,0,0.0832176118349026,0,0.0262550610840615,0,0,0.0481063272066837,0.152359094589059,0,0,0,0,0,0,0
EOS,0,0,0,0,0.137023306850593,0,0.151769277225529,0.054283710938449,0,0,0,0,0.358451816394802,0.0630972889084074,0,0,0,0,0,0
ZEC,0,0.231772676449879,0,0,0.115972514957558,0,0,0,0,0,0.183935675426489,0.0093754201129661,0,0.0141112940599094,-0.00262403117823453,0,0,0,0,0
BAT,0,0.551914897058622,0,0,0.0922148033470485,0,0.123441832481515,0,0,0,0,-0.0448346030062939,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,-0.00863741150241782,0,-0.017335193449709,0,0,0.0305886688175242,0.0107818483289781,0,0,0,0,0,0
CVIX.Index,0,0,0.0100893500934972,0,0.0203872389817829,-0.0477395593019666,-0.0277155976404571,0.00619296074617293,0,0.0382073175915296,0,0.00851853197718303,0,0,-0.00229764691997146,0,0,0,0,0.0459130705462976
DXY.Curncy,0.0272667199853625,0,-0.00184911922812466,0,0.00292397756006339,0.00102466015526969,-0.0182547404193135,0,0,-0.0055969995164819,0.0103731420171896,0.00327553392810175,0.000750107112721088,0,0,0,-0.0100392858401702,0,0,-0.00237703394366614
SPX.Index,0,0,0.0012631700459166,0,0,-0.00168008184398895,0,0,0,-0.003814550620232,0,0.000718109789458991,0,0,0.000775490130215021,0,0,0,0,-0.0459107126840801
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
