,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,XMR,EOS,DASH,MIOTA,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.209954779882885,0,0.0478619943479233,0,0.096571400906605,0.0381102545147954,0.0500549127793945,0,0.0375179399767993,0,0.0427825301427236,0.0248001721630074,0,0,0,0,0
ETH,0,0,0.0435167721032228,0.043851898419065,0,0.096642340448598,0,0,0.138785276629983,0,0,0,0,0,0.155773890859689,0,0,0,0,0
XRP,0,0,0,0,0,0,0.102492141935542,0,0,0,0,0,0.0501454929384541,0.382006340826734,0.0783774412250817,0,0,0,0,0
BCH,0,0,0.0383405779632571,0,0,0.0858050342281023,0,0,0,0.0425437124455289,0.304347151139079,0.038812068815878,0.0579762195646616,0,0.0747242519086666,0,0,0,0,0
LTC,0,0,0.0305830482724043,0.140894738469846,0,0,0.0173739468727864,0,0.0947173586718198,0.123662359367867,0,0.0196390859966292,0,0.0201408677515868,0.13159830927875,0,0,0,0,0
NEO,0,0.0689959395313946,0,0.0647102323590442,0,0,0,0.100315432956003,0.13636080136561,0,0,0.0967674318311992,0,0,0.260767841891202,0,0,0,0,0
XLM,0,0,0.0194633934745128,0,0,0,0,0.552978377649093,0,0.0250613903497199,0,0,0,0.0535710899706546,0.11170595241053,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0.137016127482049,0.0180648171424604,0,0.00999080547377616,0,0.171789822834995,0.0826364498453629,0,0,0,0,0
XMR,0,0,0,0.00832090641813376,0,0.124151053584067,0,0,0,0.0375492141615642,0.450794429350576,0.112231126560607,0,0.000494645219001272,0,0,0,0,0,0
EOS,0,0,0,0.0174858586002725,0,0,0.0736689608462827,0.0329331293044988,0.101527749511424,0,0,0,0.0865011351043485,0.051134296522058,0.327423761564466,0,0,0,0,0
DASH,0,0,0.0248978196227233,0.0548889121056255,0,0,0,0,0,0.109547120938071,0,0,0.0400951374562265,0.189034720646417,0.0925332383227798,0,0,0,0,0
MIOTA,0,0,0.0170657390317813,0.125569643976873,0,0.0303436620614465,0,0.0207703463807052,0.0959434905552397,0.188122387775509,0,0,0,0.220884287693784,0.00487857887401525,0,0,0,0,0
XEM,0,0,0,0,0,0.0658686013974281,0,0.158289022550833,0.0654423212282358,0,0,0,0,0.129300377931467,0.0814695308410822,0,0,0,0,0
TRX,0,0,0.504548218291497,0.189995843666595,0,0,0,0,0,0,0,0,0.211711839449676,0,0,0,0,0,0,0
ETC,0,0,0.272305723498261,0.143603317285186,0,0.287456757853366,0,0,0,0.00906092611785288,0,0,0.013441060335572,0.103332867084062,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00538506606916865,0,0,0,0,0,-0.0203157012375171
CVIX.Index,0,0,0,-0.0352215803729389,0,0,0,0.0895797751327449,-0.0398065613404258,0,0,0,0.0555773895987567,0,-0.0543955087783508,0,0,0,0,0.027657339631563
DXY.Curncy,0,0,0,0,-0.00772543538543769,0,-0.00990976572827839,0,0,0,0,0,0,0,0.00375482400602964,0,0,0,0,0.00940485094750482
SPX.Index,0,0,0,0,0,0.00501211237610442,0,0,0,0.00703155105779177,0,0,0,-0.0150833438317989,0,0,0,0,0,-0.0602172396212015
VIX.Index,0,0,-0.0132119246575665,-0.293032527337838,0,0.103264650234522,0,0.0686423819061859,0.075456298530935,-0.107004231511383,0,0,0.0220428077251607,0.11902412554097,0,0,0,0,-2.42155864972923,0
