,BTC,ETH,XRP,DASH,LTC,XEM,XMR,ETC,ZEC,DOGE,XLM,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0936685868777645,0,0.0618674731390401,0.138741528843686,0.0849129856250641,-0.0755270996645252,0,0.061808694005903,0.0910143725172648,0,0,0,0,0,0
ETH,0,0,-0.0344136455814164,0.137990132290522,0,0,0.431468711507303,0,0,0,0.138697093149521,0,0,0,0,0,0,0
XRP,0,0.0524352810403842,0,0,0,0,0.0294270017352583,0,0.0254757529578229,0,0.534018136299221,-0.127393444803613,0,0,0,0,0,0
DASH,0,0,-0.137810196231983,0,0,0.059347656320658,0,0,0.0626207507767642,0,0,0,0,0,0,0,0,0
LTC,0,0.0101906231251774,0,0,0,-0.0618951833951852,0.0715167006415244,0.0439734214703379,0.0310461865928777,0.116459056835721,0.108843062410144,-0.0322968786524978,0,0,0,0,0,0
XEM,0,0,0,0,-0.00228966601533243,0,0.102874697966184,0,0.135095085103042,-0.144943190154888,0,0.227110621596883,0,0,0,0,0,0
XMR,0,0.373639858268211,-0.00680028791066828,0,0,0.134284011177863,0,-0.0807561781545044,0.0337799253287169,-0.0338401148744165,0,0,-0.114359301033214,0,0,0,0,0
ETC,0,0.332757704875346,0,0.111496684020156,0.0815489914645067,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0.0068488633188323,0.235567425662657,-0.168472758456279,0,0.0690759981845583,0.160553815202577,0,0.228397359673806,0,0,0.0602509284076691,0,0,0,0,0
DOGE,0.144607611876924,0.0484944407399279,0.118983805889482,0,0.128015321872296,0,0,0,0.182157376968658,0,0.259090772768206,0.136745070407197,0,0,0,0,0,0.0894949215551773
XLM,0,0.138293697185671,0.415167901108698,0,0.153102213958974,0,0,0,-0.121466920798664,0.103078354024678,0,0.0791750691200822,0,0,0,0,0,0
DGB,0.308269428337548,0,-0.16360241065912,0.016429518111199,-0.0887385948198399,0.120378423093367,0,0,0,0.0422106241445078,0.369134345454207,0,0.0671543525396815,0,0,0,0,-0.00635740950425099
NEO,0,-0.115243149323957,-0.0693384166866632,0.0766197025119319,-0.0471247012186719,0.0539996216879036,0,0,0.14911061766011,0.07687678029483,0.199074276675609,0,0,0,0,0,0,0
BV010082.Index,0.025477917009301,0.0276567228200241,0.00414434753933822,0,-0.0050103558285693,0,0,-0.0625130887719718,0,0,0,0.0276213933407371,0,0,0,0,0,-0.0600354928755717
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0250700031976255,0,0.00121166864325796,0,0,0,0,0,-0.00801768117121593,0,0,0,-0.00595507541549755,0.0687438562454558,0.0256898754446784,0,0,0
SPX.Index,0.0120080426916577,0,0.000569688986366145,-0.000965575325612016,0.00561543307652041,0,0.00658310799901052,-0.00324856864133745,0,0,0,0,-0.00259425625731506,0,0,0,0,-0.0235074425484649
VIX.Index,0,0,0,-0.0324418646937225,0,0,-0.175541963698419,0,0,8.67361737988404e-19,0,0,0,0,0.206787117961118,0,0,0
