,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0725640380391527,0,0,0.00611679533064927,0,0.0368996907222685,0.0875852347772155,0,0,0,0.211316539779846,0,0,0,0,0,0
ETH,0,0,0.111381283092824,0.0486255793878864,0,0.0958564730053502,0,0,-3.46944695195361e-18,0.105243859270742,0,0,0,0.234708269180505,0,0,0,0,0,0
XRP,0,0,0,0.0212841839699615,0,0,0.0496434742828588,0.044394977677567,0.0346439427379125,0.0895473343141728,0,0,0,0.387037308788192,0,0,0,0,0,0
BCH,0,0,0,0,0.0338874641191717,0,0,0.173329159241229,0,0.165769205668146,0,0,0,0.224514975065662,0,0,0,0,0,0
EOS,0,0,0,0.230240971699486,0,0,0,0.0439247204014734,0.0530929638163816,0,0.235459164563967,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.194186280811194,0,0,0.0362245384610178,0.0408823734845225,0,0.0114285481977133,0.0915471434345263,0,0,0.159072910733302,0,0,0,0,0,0
XLM,0,0,0,0,0.0447941175646658,0,0,0.116888151398295,0,0.0792119885853845,0,0,0,0.361370247835587,0,0,0,0,0,0
ADA,0,0,0,0.0605229229207538,0.0577873752238879,0,0.30828258464037,0,0,0.214822800602737,0.069881080451947,0,0,0.0192361223976662,0,0,0,0,0,0
TRX,0,0,0,0.193535403375062,0.0580708221758436,0,0.411516762458773,0,0,0,0,0.0405148485537246,0,0,0,0,0,0,0,0
MIOTA,0,0,0.309129422999481,0.240942738919364,0,0,0,0.0817676534371127,0,0,0.0541364611086231,0,0,0.161329136791617,0.0220675104744624,0,0,0,0,0
NEO,0,0,0,0,0.0804765399274594,0,0.114110498549448,0,0,0.13271388237878,0,0,0,0.287053875595931,0,0,0,0,0,0
XMR,0,0,0.289640684208689,0.0854170639075183,0,0,0.0218936283949603,0.0708464170800013,0,0,0,0,0,0.233089229512814,0,0,0,0,0,0
DASH,0,0,0,0.112492208579379,0,0,0.155628077432195,0,0.0352840813180662,0.0662991469251998,0.0176679733376774,0,0,0.263837016414256,0,0,0,0,0,0
XEM,0,0.150476824510887,0,0.0428427171475862,0,0,0.243585878724583,0.021983824347333,0.0562901151421802,0.0704773646823586,0.061718445689795,0,0,0,0.169983038175601,0,0,0,0,0
ETC,0,0,0.113288023125763,0.0383672951643018,0,0,0.0372137791614197,0.0187749157524757,0.117000627345369,0.145765883576064,0.0512788554384255,0,0,0.0750093205942405,0,0,0,0,0,0
BV010082.Index,0,-0.0241838496979135,0,0.00265884241164172,0,0,0,0.00562392027405099,-0.00570778737413523,0,0,0,0.0234501382646832,0,0,0,0,0,0,-0.0811167500412534
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,-0.00164247030661428,0.00538300680486858,0.00255165312616031,0,0,0,0,0,0.0034466584783086,0,0.0310859010121903,0,0,0
SPX.Index,0,0,0,0,0,0,0,-0.0115871943832729,-0.00204073707748492,0,0,0,0,0,0,0,0,0,0,-0.117976440479353
VIX.Index,0,0,0,0,-0.0470850751036905,0,-0.183399598286465,-0.0970945678194933,0.0120665944304609,0,0.122021799941086,0,0.0928844273969025,0,0,0,0,0,-4.59699859655527,0
