,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.192244655678372,0,0,0,0.00735916341175129,0.0785765997130238,0.0300482146131493,0,0,0.00202784910621649,0.0347045335862602,0.0216075354362811,0,0,0,0,0
ETH,0,0,0,0,0.129093851971068,0.0873923667349307,0.00608295271815957,0,0,0.0244973417037505,0.183173365049058,0.00931611564923485,0.0276468703981791,0,0,0,0,0,0,0
XRP,0,-0.1449453374548,0,0,-0.134028693905581,0.20780483573164,0,0,0,0,0,0.0473248532999498,0,0.4619199408659,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0281398921624707,0,0.112650217745114,0,0,0.165129930834472,-5.42101086242752e-20,0,0,0,0,0,0,0
ETC,0,0.236462071676602,-0.132805341663668,0.0280311320912432,0,0.164477168632579,0.133166352773622,0,0.00144154591757877,0,0.0303784886802693,0.0607414244619954,0,0,0,0,0,0,0,0
DASH,0,0.0740001591838085,0,0,0.101298033213599,0,0,0,0.28633583290196,0,0,0.0764251100542256,0,0.0560841267321231,0,0,0,0,0,0
XEM,0,0,0,0.0600371286631258,0,0,0,0,0.0529468214053281,0,0,0.0300448691637212,0.243405206614248,0.014128036692145,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.058982469117679,0,0.24193672270414,0.0607636236474831,0,0,0,0,0,-4.33680868994202e-19,0.0756417909078748,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.103231690266062,0,0,0,0,0,0,0.114091969548888,0,0,0.0367589843318146,0.121814457165139,0.106480283336737,0.00807503471093183,0,0,0,0,0
NEO,0,0,0,0.168615055007889,0,0.0297145168682301,0.0128574586033358,0,0,0,0.278354803821042,0,0,0.143994730790885,0,0,0,0,0,0
DOGE,0,0,0,0.0952596648821636,0.0712287559251955,0.0787963981239197,0.242574726864022,0,0.0265854893114618,0,0,0.0426256462615656,0,0.0664384663768806,0.00355171279876886,0,0,0,0,0
XLM,0,0,0.67511724697733,0,0,0,0.0423331068448369,0,0.236464141742759,0.0726535928554813,0,0.07760492724384,0,0,0,0,0,0,0,0
BAT,0,0.381044632259169,0.192165566154177,-0.0700339045061446,-0.184110386401846,0,0.12222199152511,0.129894704446489,0,-0.0190688096807046,0,-0.0284299342371988,0.0238235356671892,0,0,0,0,0,0,0
BV010082.Index,0,0,0.0275559249625285,0,0.00423195528971981,0,-0.0272446962188734,0,0,0,0.00914333157760498,0.00168794472295016,0.00943327444564622,0,0,0,0,0,0,-0.0285930338465297
CVIX.Index,0,0,0,-0.0229452979816165,0,0,0.0172453413533626,-0.0205211190869936,0,0.00441606922047436,0,0.00918176990288791,0.00476097352038458,0,0,0,0,0,0,0.0159617650586683
DXY.Curncy,0,0.00785118109467596,-0.00935564561390929,-0.00291331541407462,0,0.00254924694540771,0,0,-0.00242991364160116,0.000216616779123394,0.00500266845298052,0.001898638187666,-0.0181315793788101,0.0119750859502129,0.0015659573829561,0,0,0,0,-0.0034073636307357
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0442920601729159
VIX.Index,0,0,0.07530361288518,-0.132638098027219,0,0,0.196586990280975,-0.140855760703267,-0.0233644616470491,0,0,0,0.00239540821480457,0,0,0,0,0,0,0
