,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.134965718510984,0.143269420968078,0.224854779347764,0,0,0.0100055842663864,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0703355945857549,0,0.0732499953438163,0.241884412541483,0,0,0,0,0,0.175130047674056,0.16820086153813,0,0,0,0,0
XRP,0.0131633252802229,0.0907476317948945,0,0,0,0.056020590963847,0,0.0221417524417047,0.0236002159309157,0,0.0592438879716941,0.0162411083289091,0,0,0,0,0,0
LTC,0.449628059261596,0,0,0,0.0112700904105929,0,0.0194081024578835,0,0.0427224659798734,0,0.0261792092739533,0,0,0,0,0,0,0
XMR,0.578812775459867,0,0,0.0730553928512551,0,0.124419161839278,0.0568837137899858,0,0,0,0,0,-0.0604414825296738,0,0,0,0,0.0897708406604123
DASH,0.580923565260046,0.0199911705879286,0,0,0.0634527613313349,0,0.208981631599703,0.181526931945877,0,0,0.0925381977610879,0,0,0,0,0,0,0
ETC,0,0.123970447063454,0,0,0.224802654123113,0.076695281357493,0,0.19606251985232,-0.0118925821874698,0,0,0.128950579079009,0.140529800401176,0,0,0,0,0.217960317078088
XEM,0,0,0,0.0289152885206921,-0.165338399664954,0.286183790043248,0.029569851263057,0,0.225612567684576,0,0,0,-0.08298332805104,0,0,0,0,0.127428992256529
ZEC,0.23889481645881,0.153587399905651,0,0.449504493394198,0,0,0,0.052890222544919,0,0,-0.0514948044146817,0,0.0989492490114562,0,0,0,0,0
DOGE,0.154639801124945,0,0,0,0,0.0868705362704375,0.0670390445473414,0.0920597144015481,0,0,0.0124973547879162,0.0204031277740682,0.0189608062124815,0,0,0,0,-0.00757551988022704
XLM,0,0.0144273237922102,0,0,0,0,0.149297300644228,0,0.0696694813357392,0,0,0.0607562037863163,0,0,0,0,0,0
NEO,0,0,0.26850396344343,0,0,0.0127199434576113,0,0,-0.0475119282250611,0.307945498398063,0.004148254091306,0,0.223151905702075,-0.70004658742151,0,0,0,-0.065682983111464
DGB,0.336029114268157,0,0,0,0,0,0.090160577861165,0,0,0,-2.16840434497101e-19,0.213885261489404,0,0.422361508724648,0,0,0,0.0832406965288721
BV010082.Index,0,-0.0824617371133698,0,0,0.0733020603968686,0,-0.0267252667878025,0.0263418300193973,-0.0440206383417312,0.111018604335398,0.0468925150621334,0,0.0078935235021143,0,-0.155505787826882,0,0,0
CVIX.Index,0,0,0,0.118741392239061,0.049613256641682,0.0361221286413919,0.0466761497764883,0,-0.0544824320563816,0,-0.0253878309769248,0.0175696994108703,0,0,0,0,0,0.0823956970662265
DXY.Curncy,0,0,-0.04003821765389,0.0130702138242281,0.00236721178660605,0.0271306626755397,0,0,-0.00303761863577917,0,-0.00785802038041396,0,0,0.0413571895038356,0,0,0,-0.000604063681739608
SPX.Index,0,0,0,0,0,0.00872804491991678,-0.00351162281306668,0.000181331052314373,0,0,-0.00275089675835882,0.00600235480768179,0,0,0,0,0,-0.0500755713532288
VIX.Index,0,-0.163202791503698,0.231534723780607,0.072219448700902,0.0341371237263438,0,0.0987954915659117,-0.13459468433593,0,0,-0.176989298223995,0,0,0,0.321110695064814,0,0,0
