,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.092839421160537,0.019534822851151,0.0821910032891814,0,0,0,0.101455486741701,0.00257824773088224,0.0336687482826291,0,0,0,0,0
ETH,0,0,0.0243988931972917,0,0,0,0.08797990629472,0.0277465435874505,0.0937239149195923,0,0.0756456531439102,0.0566246242639869,0.105635815917879,0,0.0579019297040626,0,0,0,0,0
BCH,0,0,0,0,0.155138897230787,0.133263908486267,0.0548236961500232,0.00660068923145849,0,-0.058601667940829,0.280256421713402,0,0,0,0,0,0,0,0,0
XRP,0,0.11956096924607,0.0228836172871408,0,0,0,0.0107456284360082,0,0.051153541325854,0.0186806467164217,0,0,0.047046261483672,0,0.157928407345283,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0,0.665124175813076,0,0,0,0,0,0,0,0,0
DASH,0,0,0.00558115139092793,0,0,0,0.0560890239104984,0,0.0392089485107805,0,0,0,0.116715787798846,0.102092414025154,0.0967516706075932,0,0,0,0,0
XEM,0,0.0538620496792948,0,0,0,0.0967431198582481,0,0,0.0219417938031163,0,0,0,0.121566744405396,0.023574494906699,0.129440908469132,0,0,0,0,0
XMR,0,0,0.0138044672688683,0,0,0,0,0,0.013512523584439,0.0144821542717046,0,0,0,0.115546320906552,0.382644186355572,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.0924027319412014,0.0228489678063167,0,0.0994801590478203,0,0.414704375889122,-3.46944695195361e-18,0.222713507353469,0,0,0,0,0,0
NEO,0,0,0,0,0.0589351738982651,0,0.206125940632605,0,0,0,0,0,0,0.545812534672058,0,0,0,0,0,-0.0537789043912179
ETC,0,0.170297100199571,0.00916143851091833,0,0.284828105217862,0,0.0375339905041884,0.0128220241530927,0.0177410567574529,0,0,0,0.0259190051238841,0,0,0,0,0,0,0
ZEC,0,0.0738355017828364,0.0430182301636482,0,0,0,0.0250149642764689,0.019386891596365,0.0939341824995835,0,0.0517434481454664,0,0,0.108696251784869,0.220959465775958,0,0,0,0,0
BAT,0,0.121655485419326,0,0,0,0,0.0650829021910105,0,0.0525049129670026,0.0133305768064894,0,0.0995621710896226,0,0.0502822347875429,0.240941752005949,0,0,0,0,0
EOS,0,0,0,0,0.0475955553737226,0,0,0,0.0586038189144776,0.05301915355299,0,0.0734780560429672,0.109335664633982,0,0.214496490193423,0,0,0,0,0
XLM,0,0,0,0.177994828689688,0,0,0.0266868675372257,0.327861266382471,0,0,0.242381067448947,0,0.0751305836059478,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0.0103073021106416,0,0,-0.00332359556257003,0.0138598332591549,0.00846124774401643,0.0056907172563946,-0.0239907415782792,0,0,0,0,-0.0500346859119417
CVIX.Index,0,0,0,0,0,0,0,0,0.0180932458888086,0,0,-0.0599873308554642,0.00917340515199374,0,0,0,0,0,0,0.0343719981107624
DXY.Curncy,0,0.00124669524238864,-0.00109469431597207,0.00821104755661379,0.00327180601341979,-0.0163913821356528,0,0,0.00656354384871057,0,0,0,-0.00137513928811424,0,-0.0142242675535392,0.0508999586856201,-0.0276281472406238,0,0,4.33680868994202e-19
SPX.Index,0,0,-2.71050543121376e-20,0,0,0,0,-0.00400767580256631,0,0.000862985182526574,0,0,0,0,0,0,0,0,0,-0.0381663376278251
VIX.Index,0,0,0,0,0,-0.207921156641689,0.0408547969167469,0,0.132822084323253,-0.0213353570952886,0,0,0.0142583122975086,-0.0404437957491345,0,0,0,0,0,0
