,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0760107308702531,0,0,0,0,0.0122533408954766,0,0.00495603582529224,0.0195614332114251,0.315101776223286,0.0286073203799434,0.102398698670075,0,0,0,0,0
XRP,0,0,0,0.0887627642099458,0.123661816468458,0.039700962812847,0,0,0,0.0077933500735228,0.0207619478944633,0,0.0911420662823987,0,0.127245149378245,0,0,0,0,0
ETH,0,0,0,0.123021659488833,0.077083695047463,0,0,0,0,0,0.0763985323899321,0,0,0.182241765194774,0.13974298494048,0,0,0,0,0
BCH,0,0,0.050656370959035,0,0.236365376745714,-4.33680868994202e-19,0,0,0.0188168578069752,0.363397795034277,0.177456861687957,0,0,0,0,0,0,0,0,0
EOS,0,0,0,8.67361737988404e-19,0,0,0.158560359540142,0,0.0134584551366476,0.397445519159438,0,0,0,0.173128341935444,0,0,0,0,0,0
XLM,0,0,0,0.171894730283717,0.136534826004344,0,0,0,0,0,0,0.0396894531219702,0,0.0323598705927362,0.208720711670348,0,0,0,0,0
LTC,0,0,0,0.057855022792247,0.0617214441517133,0,0,0,0,0,0.119851230748944,0,0.0236859095459772,0.0960705954483929,0.297703255423802,0,0,0,0,0
TRX,0,0,0,0.169684129430097,0,0,0,0,0,0.170571190697085,0,0,0.0632511647498044,0,0.146820003737579,0,0,0,0,0
BSV,0,0,0,0.60882821606654,0,0,0,0.0572620360175732,0,0,0,0,0,0,0.153381193608498,0,0,0,0,0
ADA,0,0,0,0.168417160848907,0.196666082906738,0,0,0,0,0,0.0421326003027405,0,0.0405794970952164,0,0.300592310156015,0,0,0,0,0
MIOTA,0,0,0.0850888048574557,0.229134451345565,0.0994962161985451,0,0,0,0.0344193553161336,0,0,0,0.194510108002621,0.114739200989753,0,0,0,0,0,0
BNB,0,0,0,0.0394321593957677,0.130574559385878,0,0.0760688199365526,0,0,0.0734205106328598,0,0,0,0,0.310345562195356,0,0,0,0,0
XMR,0,0,0.0319264235834974,0.0847796472810089,0.0107885980909215,0,0,0,0,0.0429295022366165,0,0,0,0.184657905959641,0.303428840042586,0,0,0,0,0
DASH,0,0,0.259240334442999,0.0315365726355446,0.0468590794056392,0,0,0,0,0,0.0179773583700938,0,0.311514382852481,0,0.119684903530862,0,0,0,0,0
NEO,0,0,0.125835263582384,0,0,0,0,0,0,0.385896853679138,0,0.0411344831994138,0.1944280121982,0.0152749218771311,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0575256761749928,0,0,0.0881880887494483,-0.0189844173033377,0.0130956816776383,0,0.0240457477684294,0,0,0,0,0,0,0,0,-0.065129749687737
CVIX.Index,0,0,0,0.028969193977296,0,0,0,2.71050543121376e-20,0.00883856241036106,0,0.0330947328217314,-0.0851562237926878,-0.00535599060245407,0,0,0,0,0,0,0.0910706146463603
DXY.Curncy,0,0,0.00316085261501368,0,0,0,0,-0.0329558109791974,0.00436944654326132,0.0111325959889047,0,0.000769731813230924,0,0.00584787531454624,0,0.0148219254427566,0,0,0,-0.00421046710678336
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120969902714641
VIX.Index,0,0,0,0,0.131303561439125,0.085556827086971,0,0.155937013137966,0.0396737355924177,0,0.0965411703923266,0.0178390988172496,-0.528848636917484,0,0,-0.483890324626658,0,0,-3.06560847518136,0
