,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.195098708245214,0,0,0,0,0.0969563462314632,0,0.0127817840349996,0.116790393082382,0,0,4.33680868994202e-19,0,0,0,0,0
ETH,0,0,0,0,0.14022094618769,0,0,0.0374092006399272,0.184415109057719,0.147044833867562,0,0,0,0.0406828879780198,0.0528890241195934,0,0,0,0,0
XRP,0,0,0,0.21545410046504,0.106511269960927,0,0,0,0.125530846998168,0.0740750374149897,0,0,0,0,0.0702312118271569,0,0,0,0,0
BCH,0,0,0,0,0.448321636289957,0,0,0.0494098337989403,0.143491265172825,0,0,0,0,0.0431416901882012,0,0,0,0,0,0
EOS,0,0,0,0.205108022335935,0,0,0,0.243267863117377,0.135828981772986,0.120424418910455,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.372967945456787,0.0488673846621375,0,0,0,0.107407308712138,0.00254314828451691,0,0.0349473220951496,0,0.0406494428162908,0,0,0,0,0,0
XLM,0,0,0,0,0.0940602361087842,0,0,0.101771241613594,0.350059735327587,0.0139879458306717,0,0,0,0,0.0500342815084706,0,0,0,0,0
ADA,0,0,0,0.220134732688697,0.104265256777555,0,0,0,0,0.137465795583806,0,0.0204235135212846,0,0.00795260441000186,0.251645879361334,0,0,0,0,0
MIOTA,0,0,0,0.179241098663876,0.156815148315455,0.0318563518368802,0,0,0,0,0.556164017888856,0,0,0,0,0,0,0,0,0
TRX,0,0.0729001348094059,0,0.321404345067952,0.151535247366152,0,0.163752326942477,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.143869114712159,0,0,0,0.194720787693018,0.0521265720908762,0,0,0,0,0.375361594547738,0,0,0,0,0
XMR,0,0,0,0.0901033700352292,0.196309475762069,0,0,0.161909998319985,0.00892220089046145,0,0.0837944522708872,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0433593000987252,0.0759795789497619,0,0,0,0.0135045403639826,0,0,0,0,0.078626658812553,0.226213383774804,0,0,0,0,0
ETC,0,0.124867850070368,0,0.239712266651019,0.11134985037513,0,0,0.0380184414728022,0.0965417503320935,0,0,0,0,0,0.0291932974809911,0,0,0,0,0
XEM,0,0.0468804355838267,0,0.0807655253025004,0.172650918175263,0,0,0.0664315831613417,0.000982743593684272,0.0275502624370712,0.296900381341841,0,0,0.0595949551098242,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06176617098955
CVIX.Index,0,0.0670696061164188,0,0,-0.0245919783810747,0,0,0,0.0714896903205437,0,0,0,-0.157229130531053,-0.0381514479376541,0,0,0,0,0,0.0150949590329163
DXY.Curncy,0,0,0,0,0.00934639402032564,0,0,0,-0.0109372097192716,0.00135681736701866,0,0,-0.0129125613137526,0,0,0,0.0303433958469693,0,0,0
SPX.Index,0,0,0,0.00672180773187345,0,0,0,0,-0.00402618256628307,0,0,0,0,0,0,0,0,0,0,-0.0559337030317044
VIX.Index,0,0,0,0,-0.335615250068728,0,-0.376322093983151,0,0.0584497193576426,0.0731488032766187,0.186991656620072,0,0,0.00895742903431615,0.128120991857395,-0.580132671612134,0.261021989401641,0,-2.77300825451233,0
