,BTC,ETH,XRP,ETC,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0382276282694806,0,0.0114787978486258,0.564839255462991,0.0188797757656685,0,0,0.01003587858622,0,0,0,0,0,0,0
ETH,0.805898450546633,0,0,-0.0867153810167108,-0.490842873180641,-0.021904023942412,0,0.149309215931309,-0.286563133628256,0,0.192454598519102,0,-0.235715396179456,0,0,0.0172429106155264
XRP,0,0,0,-0.016357262956442,0,-0.00883354115422309,0,0,0,0.055481330863885,-0.00675972848543865,0,0.139484507798138,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.540364505313979,0,0,-0.00268982475133118,0,0,0,0,0,0,0,0,0,0,0,-0.00723143718026521
XEM,0.91344857442561,0,0,0.0403557695300763,0.305233501701528,0,0,0,-0.00702863336034349,0.519369904594956,0.302820915365053,0,0.381597453700325,0,0,0.126569074822059
DASH,0,0.0423900499858708,0,0,0.0519165318503031,-0.0208037166761344,0,-6.93889390390723e-18,0.0338957714414407,0.0508811993545238,0.0342175229294962,0,0.0961574969712125,0,0,-0.0253882978268021
DOGE,0.25813994492657,0.0579906350945412,0,0.00420047152820593,0.181586115469059,0,0,0,0,0,0,0,0,0,0,0
XMR,0.508320536918958,0,0,0.00463295370622608,0,-0.011695971593478,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0271178765541518
XLM,0.135572364841835,0,0,-0.0486664028204306,0,0.142488238484088,0,0,0.0738193342723874,0,-0.0142101289304881,0,0,0,0,0.0745726477719929
DGB,0,0.194632698235026,0,0,0,0.0723130978518163,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.0133419336339561,0,0.0195687407969653,-0.0233957620382699,0,0,-0.055551401785718,0,0.035628088326738,0,0,0,0,0,-0.0775405170565514
CVIX.Index,0,-0.0590430197775395,0,-0.0150765136629193,-0.12109844100234,0,0,0,0,0,0,0,0,0,0,0.191721344597502
DXY.Curncy,0,0,0,-0.000366108426845287,0.00261745772311458,0.00167398189385623,0,-0.0113530648977432,-0.00914052614240363,0,0,0,0.0314242208278658,0,0,-0.0024047151571652
SPX.Index,0,0,0,0,-3.03350875392415e-06,-7.6446142665365e-07,0,0,0,0,0,0,0,0,0,-0.0609541199097323
VIX.Index,0,0.0778276726210323,0,0.0866422637327816,-0.149764995071778,-0.0327483256202645,0,0,0,0.165855221188602,0,0,0.610718146517973,0,0,0
