,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0300052737732949,0,0.065604737750727,0.0686448634501001,0.0801692780619061,0,0,0.0303077162075954,0,0,0.0445567691416534,0,0.108094963493026,0,0,0,0,0,0
ETH,0,0,0,0.425249871368413,0,0.0977442456660203,0,0,0.0210410390419649,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.067894582334136,0,0.127697154097734,0.0377412896057425,0.0900759857057832,0.041585440679445,0,0,0.123076000760158,0,0.0202770848230173,0,0.10260200885598,0,0,0,0,0,0
EOS,0,0,0,0,0.201551231206055,0.216523467938768,0,0,0.0183352610513733,0.0974331706577823,0,0.125623468878888,0,0.159845773379912,0,0,0,0,0,0
LTC,0,0.0931542727240693,0,0.23707452264295,0,0.165790595858704,0,0,0,0,0,0.110032848671202,0.159562719071631,0,0,0,0,0,0,0
BCH,0,0,0,0.320906191158303,0.0884499184629422,0,0,0.0678108327515407,0,0,0.203252075696931,0,0,0,0,0,0,0,0,0
XLM,0,0.296156179889473,0,0.139094965713624,0.0738727710862408,0.0374326639124679,0,0,0,0,0,0,0,0.0448645878775404,0,0,0,0,0,0
TRX,0,0.0453689449054892,0,0,0,0.341878444176391,0.0765750592781628,0,0,0.0258304139085333,0,0,0,0,0,0,0,0,0,0
BNB,0,0.072209867727653,0,0.0693411953156201,0.214738586290899,0,0,0.0328915695848814,0,0.168275969457035,0,0,0,0.0663202237448792,0,0,0,0,0,0
ADA,0,0.354994848447129,0,0.237897623975986,0.14040850624901,0.0327676549009663,0,0.0460806916363472,0,0,0,0.00829328682333014,0,0,0,0,0,0,0,0
BSV,0,0,0,0.0703535834707634,0,0.431210176795196,0,0,0.0219990591907403,0.0245795192277762,0,0.0418670733616043,0,0.0760970951813496,0,0,0,0,0,0
XMR,0,0.159647021753387,0,0.188651505534857,0.0986199710113961,0,0,0,0,0,0,0,0,0.107233195835241,0,0,0,0,0,0
MIOTA,0,0.0893400021948162,0,0.456740029892901,0.0164585083542412,0,0,0,0,0,0,0,0,0.122618754491836,0,0,0,0,0,0
DASH,0,0.0614908286684896,0,0.476602419972038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKR,0,0.18917049910599,0,0.390463265820553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,-0.0675640961169181,0,0,0.0436384850636887,0,0,0,0,0,0.0290592321269772,0.0183372544687978,0,0,0,0,-0.0383114123858485
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,-0.0225182107970633,0,0,0,0,0,0.0249837129683692,0,0.0120361414822733,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0.00491413184313837,0,0,0,0,0,0,0.109777366157544,-0.018357889032969,0,0,-0.0873754089709472
VIX.Index,0,0,0.0323783012485519,0.0526692263652381,0,0,0,0.0507683203581755,0.125425380629794,0,-0.405108518937656,0,0.115651996706363,0,0.0477733903680602,0,0,0,-3.30892971330373,0
