,BTC,ETH,XRP,BCH,LTC,DASH,XEM,MIOTA,NEO,XMR,ETC,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.124358515749427,0,0.0212048159854928,0.132004035584427,0.0211076268161862,0,0.077308268215128,0,0,0.0647219988206472,0,0,0,0,0,0
ETH,0,0,0,0.0433193854250674,0.183740715175736,0,0,0.148445304390534,0.032914692165885,0,0,0.0558712925924806,0,0.0381443297553098,0.0824360185270828,0,0,0,0,0
XRP,0,0.0735354405423149,0,0.0245048019564476,0,0,0,0,0.0333163836146122,0,0,0,0,0.00609389270086106,0.178952213257505,0,0,0,0,0
BCH,0,0,0,0,0,0,0.275036732609842,0,0,0,0.32394435269777,0.120700357937523,0.0190103615741473,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.0396855146204696,0,0,0.712757616282668,0,0,0,0.0419496821913295,0,0,0,0,0
DASH,0,0,0,0.036197818534012,0,0,0.0376342473799048,0.0812463736264147,0.036797821385422,0,0,-3.46944695195361e-18,0,0.0950243976723359,0.1764254727546,0,0,0,0,0
XEM,0,0,0,0.0375813154743649,0,0,0,0.0828795024623793,0.0474710841226101,0,0,0.0685050201611433,0,0.0335867023105327,0.121262713918066,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.0931331953737843,0,0.116696247938543,0,0,0.147496920115877,0.347267539967668,0.100487073564481,0,0,0,0,0,0
NEO,0,0,0,0,0.123839299882337,0,0.332727491132825,0.113143858162358,0,0,0,0,0,0,0,0,0,0,0,-0.0905412035050888
XMR,0,0,0,0.0449690461807434,0.020359212533607,0,0,0.0448632193056496,0.0633051705893735,0,0,0.120451340759791,0,0,0.320646171098565,0,0,0,0,0
ETC,0,0,0,0,0.461847451407762,0,0,0.0813262066308389,0,0,0,0.0282681614141827,0,0.0207567938008187,0.0402370065361328,0,0,0,0,0
ZEC,0,0,0,0.0155437597892656,0,0.33335842219476,0.0144874131331688,0,0,0.0595063073762675,0,0,0.177721266216866,0,0.156742724163748,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.100469904334136,0.0753709767721972,0,0.0764149221246265,0.115127815978592,0,0.0521038519363581,0.110333543399637,0,0,0,0,0
BAT,0,0,0,0,0,0.0411764868572375,0.00725501772971545,0.184124912200804,0.0425941280260652,0,0.250596904621517,0,0.0865502643726882,0,0,0,0,0,0,0
XLM,0,0,0.212238918568764,0,0,0,0.0209929025074846,0,0,0.214814070845003,0.329563422325138,0.103910222481222,0.004272999193508,0.0416236688465901,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,-0.0190800057288913,0,0,-0.00797401738455587,0.0142220568971261,0.0392445195933541,0,-0.00969528994135129,0,0,0,0,-0.0435628890026845
CVIX.Index,0,0,0,0,0,0,0.00516199481168418,0.0195418667706274,0,0,0,-0.0759849260847671,-0.0253020115120228,0.0311876884645866,0,0,0,0,0,0.04557487271409
DXY.Curncy,0,-0.0031782358138769,0,0,0,-0.0173808800210522,0,0,0.00258168491775551,0,0,0,0.0186776144355102,-0.00724375903386562,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00420687207965269,0,0,0.000863355757131247,-0.00116492595232583,0.000967973191101449,0,0,0,0,0,0,0,0,-0.0384457473041726
VIX.Index,0,0,0,0,0,-0.27452739473549,0.0318446861372729,0.17324371288648,0,0,0,0,-0.0919418655584721,0.0313874824353759,0.0468190299349528,0,0,0,0,0
