,BTC,ETH,XRP,BCH,LTC,XEM,ETC,DASH,MIOTA,XMR,NEO,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.126868632371435,0.0715985131488016,0,0,0,0,0.0245897092757297,0.0309096765588969,0,0,0.127082583645485,0,0,0,0,0
ETH,0,0,0,0,0,0.0235587282770702,0.0343988839230912,0.100469509680968,0.0426293796246568,0.0669015606652064,0,0.0218388980047482,0.0514162329329961,0.0941324463856192,0.028586075335484,0,0,0,0,0
XRP,0,0,0,0,0,0.0559752615688851,0,0.195370764010116,0.0902529068024572,0,0,0.0418593293553644,0,0.0491663981400366,0.10125711861711,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.20380904011888,0,0,0.0530166006969114,0.0678272261727454,0.0792377968199682,0,0,0,0,0,0,0,0
XEM,0,0,0.0692718434358116,0,0,0,0,0,0.0388939748661564,0.161254712938235,0.0281987183478614,0.117287107644699,0,0.0911829356526826,0,0,0,0,0,0
ETC,0,0.105483012464976,0,0,0.11427589406518,0,0,0.129067379194098,0,0.141477293084136,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0.0554181825798661,0,0,0.00511339455135411,0.132376547551185,0.0743501109338067,0.0530120792908882,0,0.123868574922136,0,0,0,0,0,0
MIOTA,0,0.199660227422446,0,0,0,0.129743246353742,0.0718021226536696,0,0,0,0.0673722258852414,0,0,0.135183888580914,0.0754909449872521,0,0,0,0,0
XMR,0,0,0,0,0.108163999534645,0.0558327243138249,0,0.169215393961157,0,0,0,0.0118994366132186,0,0.250435292492758,0.205585137505612,0,0,0,0,0
NEO,0,0,0,0,0.0119812964315925,0.0651461236757285,0,0.0821162713443251,0,0.00827397401465505,0,0.027603715888399,0.421600671250995,0.114382595081821,0,0,0,0,0,0
EOS,0,0.114819286819237,0,0,0,0.0151596776976498,0,0,0.156522223480269,0,0.0314747934121472,0,0.136396697286321,0.0671123595659589,0.0991978952952485,0,0,0,0,0
ZEC,0,0.140840616642928,0,0,0,0,0,0,0.0727929273207349,0.191254133783882,0.0323532285690847,0,0,0.10778019532867,0,0,0,0,0,0
XLM,0,0,0.0391639486468225,0,0,0.169477073708331,0,0,0.03137757054149,0.502465801518099,0.0466057993801098,0.0581085168059895,0,0,0.0328373274691497,0,0,0,0,0
DOGE,0,0,0.145922073213181,0,0.0367686359962587,0.190063463873568,0.0719760906333711,0,0.0633266891692729,0.175200255906128,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0.0228581222625659,0,0.0167279393092693,0,-0.00107639375102517,-0.0371738354593413,0,0,0,-0.00677184884419725,0.00331776043733349,0.0249338906179698,0,0.0078748129791279,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0243814372794972,0.0105775175362822,0,-0.00121265246958369,0,-0.00204038072332571,-0.00411713225106043,0,-0.00227134527890274,0.00319523011612836,0,0.000313515623842679,0.0122885122249093,-0.0143307399291576,-0.0156689957320021,0,0,0,0,-0.00882889697413822
SPX.Index,0,0,0,0.000667538204380442,0,0,-0.00236154831768984,0,-0.00180194673948905,0,0,0,0,0,0,0,0,0,0,-0.050381952732226
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
