,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0455990872091919,0.0484190852950534,0.0771294116886276,0.107734266448293,0,0,0.02095950038792,0,0.0391802422613886,0,0,0,0,0
ETH,0,0,-0.0321399780954123,0,0.0984167424389653,0,0,0.515483383909297,0,0,0.131612714921104,0,0,0,0,0,0,0
XRP,0,0.0603012912570149,0,0,0,0,0,0,0.0236608252084823,0,0.41108705803299,0,-0.0916463434406203,0,0,0,0,0
LTC,0,0,0,0,0,0.0707401499695395,-0.085557493181663,0.0680237486027254,0.0225188536529963,0.0950349258177435,0.0265163367134879,0,0,0,0,0,0,0
DASH,0,0,-0.0988407333507842,0,0,0,0.0532536532503482,0,0.160629536186408,0,0,0,0,0,0,0,0,0
ETC,0,0.310443950960211,-0.0379365913874149,0.116556654367302,0.100200630240817,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,-0.00818048174552838,0,0,0,0,0.114586385982726,-0.173287374540172,0,0,0.218973726214776,0,0,0,0,0
XMR,0,0.397044284944196,-0.00085398505172247,0,0,0,0.0410584503515791,0,0.0933520293498821,-0.0650653447196606,0,0,0,0,0,0,0,0
ZEC,0,0,0,-0.0735303847498707,0.290903117860517,0,0.044387062441185,0.0780388280138017,0,0.228343359885641,0,0.0142696684588604,0,0,0,0,0,0
DOGE,0,0.125658350740242,0.117026070538314,0.137673955503021,-0.0189416388904607,0,0,0,0.167244992327542,0,0.163691450018938,0,0.0568066133636477,0,0,0,0,0
XLM,0,0.0861995948957127,0.420508126327112,0.138648836002876,0,0,0,0,0,0.145301161110767,0,0,0.11786514189892,0,0,0,0,0
NEO,0,0,-0.0220022620032087,0,0.0762599464342951,0,0,0,0.166918071499455,0,0.0721908138784262,0,0,0,0,0,0,0
DGB,0.349295911270191,0,-0.142643559480988,-0.0746871271379128,0.0142100097963816,0,0.0584448233163329,0,0,-0.000993599769284731,0.307480609088209,0.0881604841101808,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.00882191403082105,0,-0.020790327950861,0,0,-0.0246058942195521,0,0,0,0.014254283380563,0,0,0,0,-0.0909803334721807
CVIX.Index,0,0,0,0,0,0,-0.0256410870607133,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0193748672667784,0,0.000385579066626383,0.00498660198080247,0,0.000864416386240162,-0.00495807598970352,0,0,0,0,-0.0157443241885468,0.00786686389051518,0.0663333782047296,0.00419137159654661,0,0,0.0285907599146536
SPX.Index,0,0,0.00130296560576432,0.00373720525849863,-0.00108198305609934,0,0,0.00905257166352762,0,0,0,0,0,0,0,0,0,-0.0267577959029278
VIX.Index,0,0,0,0,-0.04991303008003,0,0,-0.134172800705294,0,0.00814802282357753,0,0,0,0,0,0,0,0
