,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,XMR,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.049544208838574,0.0384663884191079,0.0993675884091533,0.0393203812924167,0.0708912993834583,0.00086109627959564,0,0.00140094082869301,0,0,0,0.0914508951749799,0,0,0,0,0
ETH,0,0,0,0.0633063539660539,0,0,0,0.0831030242565374,0.0247504482616277,0.0789393999950951,0,0.0998770693087103,0,0.0740768434551285,0.121705306543,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0.0959148980949172,0,0,0,0,0,0,0,0
XRP,0,0.167006284090759,0,0,0,0,0,0.0989997323256869,0,0,0,0,0.0776781434225625,0,0.0484817218985747,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.160925729885435,0,0.232677756395503,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.096069876633183,0.035561205345701,0,0,0.0256374112171062,0,0.111548628168918,0,0.253705482646443,0,0,0,0,0
DASH,0,0,0.0239665415377648,0,0,-2.16840434497101e-19,0,0.124560769247076,0,0,0,0.0474899157854875,0.0257331931550353,0.116764745178754,0.0532785162087747,0,0,0,0,0
MIOTA,0,0.0199305029989841,0,0,0,0.041401206606874,0,0,0,0,0.221443123135465,0.484352631501089,0,0.0806281808676137,0,0,0,0,0,0
XMR,0,0,0.0261286063847809,0.0976380890849657,0,0,0,0.0865554923692479,0,0,0.0184280004718619,0.113502065787728,0.207382966409148,0.0620930558309868,0,0,0,0,0,0
ETC,0,0.145212272095818,0.00300523384319027,0,0,0,0,0,0.0340779401896868,0,0,0,0,0.133992379027622,0.0432829015122957,0,0,0,0,0
NEO,0,0,0,0,0,0.232766899731022,0,0.10784014566024,0,0,0,0,0,0.329402928028343,0,0,0,0,0,-0.104357239943275
ZEC,0,0.0495079130344951,0,0,0,0,0,0.143872721092601,0.0879290383333719,0,0,0,0.0786838534421347,0.195043359096498,0.0124604940401926,0,0,0,0,0
XLM,0,0,0,0.200739690820231,0,0,0,0,0.349288097349981,0,0,0,0,0.106428030980989,0.123690392994945,0,0,0,0,0
EOS,0,0.0851271880861303,0,0,0,0,0,0.1511649596159,0,0,0.082366509832934,0.0943361731017381,0.170578190988296,0,0.0397009107445622,0,0,0,0,0
BAT,0,0.050788760201311,0,0,0,0.104079840351818,0,0.0779004593425325,0,0,0.00828756927789074,0.211922203671375,0.114153023282201,-8.67361737988404e-19,0,0,0,0,0,0
BV010082.Index,0,0,-0.00470661585637187,0,0.0211673154146022,0.0224984095955054,0,0,0.0159833512486673,-0.00554491877312721,-0.0155885071973266,0.022235922008084,-0.0518552385934887,0,0.0165690422538659,0,0,0,0,-0.050935597422018
CVIX.Index,0,0,0,0,0,0,0,0,0,0.0170130003653898,0,0,-0.0164249191874663,0.0151157509869196,0,0,0,0,0,0.0233147422199583
DXY.Curncy,0,0,-0.00169875366161446,0.0089614666151297,0.0103114819538775,0,-0.00596160351492928,0.00818200277502791,0.00344834202484615,0,0,0,-0.0199292506700773,0,0,0,-0.00761955699135168,0,0,-0.0117278228960204
SPX.Index,0.00105530848528255,0,0,0,0,0,-0.00223836637848709,0,-0.00266369935699697,0,0.000739206911518537,0,0,0,0,0,0,0,0,-0.0405888716493744
VIX.Index,0,0.195577039356123,-0.0329760654559465,-0.0450562855100016,-0.0992135882846902,0,-0.262717100331831,0.105175600082069,0,0,-0.0796643654639519,0,-0.146864785980109,0.11337797636105,0.0465932074875372,0,0,0,0,0
