,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,XMR,MIOTA,TRX,DASH,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.125988105280125,0,0,0,0,0.0911451303963672,0.0482470262904667,0.0336760182850974,0.0193378269124602,0.201782848401767,0,0.101323206191612,0,0,0,0,0
ETH,0,0,0,0.132414272589027,0.0981536334249523,0,0.0648339655486621,0,0.135742530798716,0.0717546209920347,0,0.044081636557557,0,0.0375132175408305,0.0378679063694028,0,0,0,0,0
XRP,0,0,0,0,0.15585898269219,0,0,0,0.217805801623295,0.0704877479067918,0,0.0625588394340335,0,0.110206724191062,0,0,0,0,0,0
BCH,0,0.0665400214766388,0,0,0.143629000593568,0,0,0,0.0913453534719933,0,0.10756493864155,0.0421298050615988,0.231446617005556,0,0.0383632114665885,0,0,0,0,0
LTC,0,0,0,0.280217553326782,0,0,0,0.152655806016791,0.129779287955367,0,0,0,0,0.0492111372103001,-5.42101086242752e-20,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.351424075256569,0.0308458399271507,-8.67361737988404e-19,0,0.0495659345807431,0.0662427218693912,0.15208591786088,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.180373504054076,0.136948639660443,0.0521347221845342,0,0,0,0.202002389408248,0,0,0,0,0,0
XLM,0,0,0.288190055716346,0,0,0,0,0,0.179977360234804,0.0779524270422514,0,0,0,0.139268495968957,0,0,0,0,0,0
NEO,0,0,0,0,0.0715887070049248,0,0,0.0560519983709342,0,0.152194813348878,0,0,0,0,0.108781975471525,0,0,0,0,0
XMR,0,0,0,0,0.181024139950671,0,0,0,0.163186580490746,0,0.0637963723180829,0.0734379708896163,0.37476667270343,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0.216226981399901,0.14991171300149,0,0.0675881855030895,0.134478622588453,0.0413146714384153,0.0756654978325528,0,0,0,0,0
TRX,0,0,0,0.252131076619492,0,0.184632444564985,0,0,0,0,0.257079204748454,0,0.111332297958477,0.083458820403371,0,0,0,0,0,0.0325745352931648
DASH,0,0,0,0,0,0,0.108770524784077,0,0.193345066313353,0.0844189307805221,0,0.121491830715574,0,0,0.042388021523908,0,0,0,0,0
XEM,0,0,0,0,0,0,0.142838971938978,0.142585540220083,0.342760514472833,0,0,0.143893355580335,0,0,0,0,0,0,0,0
BNB,0,0.0600885099400628,0,0.0285489717998717,0,0,0,0,0.47952130623204,0.0497147085086093,0,0.100739201088401,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.00631427122400016,0,0,0,0,0,0,0,0,0,-0.0128847869858874,0.0180490970076911,0,0,0,0,0,0,-0.04174090595629
CVIX.Index,0,0,0,0,0,-0.0556497085580016,0.0604833901156146,0,0,-0.0656506994215888,0,-8.67361737988404e-19,0.0828021421783593,-0.0138055071966068,-0.012479650446585,0,0,0,0,0.0283721196545322
DXY.Curncy,0,0.0524555378053706,0,-0.0170532463541577,-0.0238201092067363,0.0177764443481973,0,-0.0219648250560315,-0.00268595478230005,-0.0131673193004745,0,-0.0130759031795767,0.045965484631634,-0.0113594070016257,-0.0118643284500944,0,0,0,0,0.00803087814383896
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,-0.0139894711653785,0,0,0,0,0,0,0,-0.0732350677230929
VIX.Index,0,-0.0630362191596691,0,-0.135908919187265,0,0,0,0,0,0.175702222074211,0,0,0,0.143651084833228,0,0,0,0,-4.84284811408388,0
