,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-4.33680868994202e-19,0.140543669908187,0.0291947797451114,0,0.0051616083917821,0,0,-0.0100177810100933,0,0.00288565954753087,-0.00627683680371132,0,0,0,0,0
ETH,0,0,0,0,0.0845055656680801,0.0733292042747749,0.00976200146233439,0.0474133487600853,0,0.12074958093121,0,0,0,0,0,0,0,0.110903786899775
XRP,0,0,0,0,0,0,0,0.0474382405336555,0,0.408751864775846,-0.0509069941155283,0,0,0,0,0,0,0
LTC,0.371694657840922,0,0,0,0.0470196184911504,0,0,0.000344079233809661,0,0,0,0,-0.00176516032830403,0,0,0,0,0
ETC,0,0,0.0634422333359394,0,0,0,0,0,0,0,-0.0224738084326424,1.0842021724855e-19,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.0592940632217791,0,0,0,-0.0546679672651036,-0.00943536511027603,0,0,0,0,0,0
XMR,0,0.424066358073721,-0.0824209976800984,0,-0.0330160683982844,0,0,0.180281412971935,-0.559630420313312,0,-0.12183655562997,-0.0171781320675929,-0.186366679300279,0,0,0,0,-0.118640343215228
XEM,0,0,0.217844280317186,0,0.0712265576216123,0.277289730500399,0.0502450183974986,0,0,-0.0222199367192255,0.029926562073867,-0.0333103999343684,-0.0113095897497838,0,-0.853562366609337,0,0,0
DOGE,0,0,0.0662974784153648,0,0,0,-0.045652180819672,0,0,0,0.010147399855804,-0.00861280854464032,0,0,0,0,0,0
XLM,0,0,0.538195026772399,-0.152795841504201,0.127948085089324,0,0.0771317050843374,-0.124559044025909,0,0,0.023926412400244,0,0.203780201980339,0,0.192245921260155,0,0,0
NEO,0,0,0,0,0.104731454146286,-0.793005863665797,-0.375068690721363,0,0.386054597631164,0,0,0.0887091345245285,0,0,0,0,0,0.226966916408493
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0,0,-0.0177300241253559,0,0,0,0,0,0
BV010082.Index,0,0,-0.0858015826146624,0,0,0.00456802959538588,0,0,-0.251906001337936,0.0455154529570982,-0.00215924018850314,0.00746131381914119,0.040749602459248,0,0.0539918932084068,0,0,0
CVIX.Index,0,0,0,0,0,0,0,-0.0300944894406447,0,0.0646577734341999,0.0069124718599816,0,0,0,0,0,0,0.102744934013231
DXY.Curncy,0,0,-0.00754237552864992,0,0,0,-0.00495211295843312,0,0,0,0,0.000624684082389733,0.00583866371133394,0.0346812721254646,0,0,0,0
SPX.Index,0,0,0.00464892766257023,0,0,0,0,0.0133891148371621,0,0,-1.0842021724855e-19,0,0,0,0,0,0,-0.0688544717452416
VIX.Index,0,0,0.062487362104021,0,0,0,0,0.290444700227831,0,-0.214371236458915,0.00732044285908171,-0.0059442289699479,0,0,1.19142951655016,0,-4.34852822328361,0
