,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.187625928711776,0.00584286628194096,0,0,0.00411765519400632,0.0840667860007338,0,0.11627726200371,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.203426569611063,0.0331206261663727,0,0,0,0.139506659780704,0.161803216427097,0,0,0,0.00379828295331122,0.0603361778527496,0,0,0,0,0
XRP,0,0,0,0.0355529026772012,0.142416334042528,0,0,0,0.18958104254637,0.104511059532789,0,0,0,0.00484080239419232,0.0463806389970289,0,0,0,0,0
BCH,0,0,0,0,0.294044268976151,0,0,0.0534528314697556,0.0149551327639296,0.32661796295645,0.0446384607195932,0,0,0.00115450465149346,0.00125663405606838,0,0,0,0,0
EOS,0,0,0,0.228063015536165,0,0,0,0.111423610136818,0.133101615635973,0,0,0.0341718556954614,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.177611074013641,0,0,0.215208566894912,0.0754113219761894,0.187494505221792,0,0,0,0,0.012402535469848,0,0,0,0,0
LTC,0,0,0,0.388633591547909,0.0338900971073127,0,0,0,0.094423480475317,0.0187758240844895,0.0533772841791896,0,0,0.0345144191180648,0,0,0,0,0,0
ADA,0,0,0,0.235871395586826,0.0460375562824148,0.224598296689322,0,0,0.0355925549788011,0.0499773194266471,0,0,0,0,0.193414320397789,0,0,0,0,0
MIOTA,0,0,0,0,0.220570163817373,0,0,0.109862667069887,0,0.130853843007756,0,0.43947877415072,0,0,0,0,0,0,0,0
TRX,0,0,0,0.363863412301015,0.163204323180013,0.120557794480306,0,0,0.0185219223829845,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.323622431697332,0.10916319096884,0,0,0.0412171202606213,0,0,0,0.118239352487678,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.395563836190861,0,0.0154161536915244,0,0,0,0.289766536962436,0,0,0,0,0
DASH,0,0,0,0.0921542301874108,0.107671332071553,0,0,0,0.0677363117602988,0,0,0.0422577213014592,0,0.0894165812899952,0,0,0,0,0,0
ETC,0,0,0,0.366006485157711,0,0,0,0,0.148474172219959,0,0,0,0,0,0.117066724928773,0,0,0,0,0
XEM,0,0,0,0,0.214075187377888,0.216261851384371,0,0.0853409743513866,0.0127497525927091,0,0,0.108624648438253,0,0.0639369298732923,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0593143168276857
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406168710002848,0,0,0,0,0,0.024672239951108
DXY.Curncy,0,-0.00826187735019091,0,0.0107037301205949,0.00156390316016223,0,0,0.00745414248178679,-0.0170345470739873,0,0.00312087617722632,-2.16840434497101e-19,-0.00974319380121179,0.00228550605098366,0,-0.0222115325806067,0.0375508501739733,0,0,0
SPX.Index,0,0,0,0,0,0,0,0.00858668641531276,-0.0102046072787272,0,0,0,0,0,0,0,0,0,0,-0.0582238008895958
VIX.Index,0,0,0,0,-0.141279080743941,-0.110681823499744,0,0,0.143882392180662,0,0,0,-0.0812650595204,0,0,-2.20762625919798,0.457810432825668,0,-0.518100286486233,0
