,BTC,ETH,XRP,XEM,ETC,LTC,DASH,MIOTA,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0299487487209359,0,0.0778101884958389,0,0,0.109752135893407,0,0,0,0.0213269122512104,0,0.0381577809151479,0,0,0,0,0
ETH,0,0,-0.0139254402177911,0,0.145655758384126,0,0.0135280272024862,0,0.0884569125329138,0,-0.0414361277586021,0.0716050390554437,0,0,0.01355903170108,0,0,0,0,0.0594352303779373
XRP,0,0,0,0,0,0,0,0,0,0,0.433451663147413,0,0,0,0,0,0,0,0,0
XEM,0.207754764347799,0,0.140590043471085,0,-0.0903305758786254,0,0,0,0.0790456008828411,0,0,0.363443624566568,-0.0523968311738114,0.0923791922623515,0.100950292532605,0,0,0,0,0
ETC,0,0.0363928831833793,-0.138374299804568,0.0907903623519654,0,0,0,0,0,0,0,0,0,0,0.250733575190627,0,0,0,0,0.0485710914113372
LTC,0.0823269706401173,-0.0978173678824118,-0.0240588934741785,0.0447388938645476,0,0,0,0,0.146620895749204,0,8.67361737988404e-19,0.0567885083849608,-0.0248833406724367,0,0.160665001572951,0,0,0,0,0
DASH,0,0,0,0,0.0952243660761896,0,0,0,0.26401929790404,0.134045000421955,0.0419978557218529,0,0,0,0.029557763062344,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0599048718715831,0,0.0592189556713792,0.365048299903239,0,0,0,0.0569259930056187,0.00227472167750861,0,0,0,0,0,0,0,0
ZEC,0,0.169298325456697,0.0585594988196425,9.88501541169702e-05,0,0,0,0,0.230479832678426,0,0.0278172326215896,0.0972191198529252,0,0,0.0937580265646172,0,0,0,0,0
XLM,0,0,0.608386886802204,0.00388310581200557,0,0,0,0,0.220381354839585,0,0,0.0843169146818862,0.0228108384314288,0,0.0547648578729666,0,0,0,0,0
DOGE,0,0.0306725906645631,0,0.260580308068854,0,0.219104128824395,0,0,0,0,0.0923225644928921,0,0.00926600561600052,0,0.092583799892616,0,0,0,0,0
DGB,0,0,0.158526265012883,-0.118888067158795,-0.0245626342595106,0,0,0,0.156121665216091,-0.196739700517331,0.219817667554828,0.318108012688984,0,0.170623733580943,0,0,0,0,0,-0.0458423418451838
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0.170584026944648,0,0,0.010478128436078,0.47151597571266,0,0,1.38777878078145e-17,0.263657334532509,0,0,0.0531355996006204,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.00296960495762823,0.00630201137926176,0,0,0.0171142465214911,-0.00559433347070991,0,0.00549327733025421,0,-0.00234958827551227,0,0.0239794308506326,0,0,0,0,-0.0780933513844808
CVIX.Index,0,0,0,0.0218642279046365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00867009097668402,0.00205987009735169,-0.0108236027739044,0.00800859351363002,0,0,0,0,0,0.00385806208866218,0,-0.00678302451839108,0,0,0,0,0,0,0.00075191187158644
SPX.Index,0,0,0,-0.0023114381399961,0,0,0,0,0,0,0,0,0.00167670868521131,0,0,0,0,0,0,-0.032496118446238
VIX.Index,0,0,0.0614427825965336,0,-0.00238623547899456,-0.0967895236482714,0.232027992113536,0,-0.135802596085066,-0.0150504132217514,0.0134975414107078,0.0553607176055718,-0.00927013755027874,0.0631647939982268,-0.0150776618754063,-0.0635676879822477,0,0,-2.82542800792458,0
