,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,XEM,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.17934968911002,0,0,0,0,0,0.0554483297948632,0.17192203501345,0.0612768686501345,0.0478845392048294,0.0306572099044861,0,0,0,0,0,0
ETH,0,0,0.0340211589304388,0.079872590276578,0.024604019837357,0,0.000296337784105103,0.0516546907480542,0.286911784311853,0,0.0446716505472045,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0206706432060188,0.0162128969802457,0.0791180784692661,0.0626985964562992,0.190588664512279,0.181067568556152,0.0349543702640528,0.0371112768033936,0,0,0,0.017469578769211,0,0,0,0,0
BCH,0,0,0,0,0,0.0816674175282303,0,0.0543161151834523,0,0.307425481777517,0,0,0.0705138854900226,0.0523686550226694,0,0,0,0,0,0
LTC,0,0,0,0.253148871194182,0,0,0.0702677929696498,0.117312545605063,0.0761604287535198,0.0633726402473902,0,0.00278321349321111,0,0,0,0,0,0,0,0
EOS,0,0,0,0.00754366250083443,0.0275881974695631,0,0,0,0.273571591665824,0,0,0.0432763813490891,0,0,0.119840090756425,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.236678438458582,0.304739412878199,0,0.0382304768596722,0.137551829757059,0,0,0,0,0,0,0,0
XLM,0,0,0,0.0109948294775266,0,0,0.131608387826443,0,0.168745539168165,0,0.196977452212203,0.1714585223818,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0918899581651247,0,0,0.179592531319114,0,0.171197410469136,0.0454707947058797,0,0,0,0.0865805734572805,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.144252522824344,0,0.182031891803967,0,0.0979344504781145,0.084903036799402,0.288606067580591,0.0814352909781371,0,0,0,0,0,0
XMR,0,0,0,0,0.121806320278015,0,0.0247002288109314,0.128169400551508,0.0739026250709025,0.207243050409432,0,0,0.150248696737057,0,0,0,0,0,0,0
XEM,0,0.121936656172783,0,0,0,0,0.124641277837193,0.29695219868587,0.188974138604519,0,0,0,0,0.118277850766928,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.211510762638337,0.0947605852977717,0,0.117078256608683,0.0468310753631011,0,0.12927259799484,0,0,0,0,0,0
TRX,0,0,0,0.28572792419861,0,0,0,0,0,0.246629374122451,0,0.0894010679029168,0.168363893430333,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0.157709752817435,0.0672569155676697,0.183724470185835,0.125417696724012,0.0943866469277221,0,0.0214161256657078,0,0.0620224487220648,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121677965196994,0,0,0,0,0,-0.0264584942931621
CVIX.Index,0,0,0,0,0,-0.0403806261474962,0.0340275320784262,0,0,0,-0.0441892522424574,0,0.0393956241417016,0,0,0,0,0,0,0.0178833204873307
DXY.Curncy,0,0,0,-0.0187121623201592,-0.00278204070337655,-0.00397811590525341,0,-0.019702163295767,0,0.0126392773121563,-0.0079189430423258,0,0.0366567479931793,-0.0131091669320777,0.00799849253378787,0,0,0,0,0.0058749924654827
SPX.Index,0,0,0,0,0,0,0,0,0,-0.0122715259275678,0,0,0,-0.00477287230449982,0,0,0,0,0,-0.081187924724924
VIX.Index,0,-0.114425604503985,0,0,0,0,0.0278339387095746,0,0.31526530713403,-0.193146958553145,0,0.0299310957256063,0,0.0158422006370283,0,0,0,0,-4.74148841867974,0
