,BTC,ETH,XRP,LTC,DASH,ETC,XMR,XEM,ZEC,DOGE,XLM,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0936685868777646,0.0849129856250642,0.138741528843686,0.06186747313904,-0.0755270996645253,0,0.0618086940059032,0.0910143725172648,0,0,0,0,0,0
ETH,0,0,-0.0240155001466424,0,0.147977421549856,0,0.381488062403989,0,0,0,0.10908015004234,0.0166284160628813,0,0,0,0,0,0
XRP,0,0.0521333166890916,0,0,0,0,0,0,0.0166453661333515,0,0.401129633092415,-0.0695081244064184,0,0,0,0,0,0
LTC,0,0.0342376081975974,0,0,0,0.0451187145950948,0.062338115739931,-0.0737587174748806,0.0190854552756995,0.0987054907760817,0.102076584201678,-0.0332217898516741,0,0,0,0,0,0
DASH,0,0,-0.137810196231983,0,0,0,0,0.059347656320658,0.0626207507767642,0,0,0,0,0,0,0,0,0
ETC,0,0.332162167269064,-0.000808221829616332,0.0869075996973782,0.110895842468136,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.357614881920739,0,0,0,0,0,0.0380419607118021,0.0405263876868433,-0.0684683271860579,0,0,0,0,0,0,0,0
XEM,0,-0.0299583187649771,1.0842021724855e-19,0,0,0,0.14940568890337,0,0.138641083827369,-0.14825878337039,0,0.250137609440496,0,0,0,0,0,-0.0117187852652021
ZEC,0,0.00577185724310371,0,0,0.243436023798956,0,0,0,0,0.183182436667773,0,0,0,0,0,0,0,0
DOGE,0.144596133140504,0.0484985361043006,0.118983641570331,0.128016811466278,0,0,0,0,0.182158397825982,0,0.259089201382658,0.136746501995092,0,0,0,0,0,0.0894936005010791
XLM,0,0,0.405070774193396,0.163063867705425,0,0,0,0.0646963749628076,-0.0916501802619006,0.181262507365477,0,0.198016944357356,0,0,0,0,0,-0.118756321517326
DGB,0.268854912565038,0.00592634559284041,-0.138058367282505,-0.0620149067235348,0.0515739640055685,0,0,0.118801263582045,0,0,0.293266185910624,0,0,0,0,0,0,-0.0168218205254322
NEO,0,0,-0.0457135733057315,0,0.00808612742891248,0,0,0,0,0.14687121033564,0.0431086515434035,0,0,0,0,0,0,0
BV010082.Index,0.0254779170093009,0.0276567228200242,0.00414434753933821,-0.00501035582856926,2.16840434497101e-19,-0.0625130887719718,0,0,0,0,0,0.0276213933407371,0,0,0,0,0,-0.0600354928755717
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0279018531742986,0,0,0.000211217806320695,-0.0047996394603753,0.00151322881543889,0,0,-0.00718160436452474,0,0,0,-0.0113627594513672,0.0821628535637821,0.0171573526756919,0,0,0.00583344457573816
SPX.Index,0.0090044347701179,0,0.00051471997660119,0.00504855375938795,-0.0015602842011634,-0.00269524940537726,0.0066148725032093,0,0,0,0,0,-0.00351527246014097,0,0,0,0,-0.0248186608484885
VIX.Index,0,0,0,0,-0.0323698758178805,0,-0.175556841138019,0,0,0,0,0,0,0,0.206633463347686,0,0,0
