,BTC,XRP,ETH,XEM,LTC,DASH,ETC,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0403194000945497,0,0,0,0.00632082587932068,0,0,0,0.0060943080603253,0.0287135283108321,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.41242619304077,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,-0.0659598664315452,-0.138065672895227,0,0,0,0,0.0511920754309582,0.518213279244654,0,0,0,0.085829535853502,0,0,0,0,-0.129991660914431
LTC,0,-0.0246494473606667,0,0,0,0.124574327232008,0.083371294652366,0.0401953908428717,0.194360927785641,0.343826047354742,-0.265996827870433,-0.0705931365272101,0,0,0,0,0,0
DASH,0,-0.105358838190636,0,0.0586376721779236,0,0,0,0.0573573563990965,0,0,0.249281964134444,0,0,0,0,0,0,0
ETC,0,-0.0367344407551722,0.153100637122505,0.0524191256152727,0.0723758911240568,3.46944695195361e-18,0,0.00659330356434336,0,0,0.205338904414954,-0.04463959056928,0,0,0,0,0,0.117721335867208
XLM,0,0.389993123472431,0,0,0,0,0.128169053220422,0,0,0.158799333453667,0,0.0708584696729291,0,0,0,0,0,0
XMR,0,-0.0500720215477804,0,0.0204849047563416,0,0.126931552545539,0,0.0678644774688057,0,0,0,-0.01737348163867,0.109166387663935,0,0,0,0,0
DOGE,0,0.0724601028049966,0,0,0.18852633295918,0,0,0.171512796172822,0.154102545833207,0,0.343857283840232,0,0.122601082238143,0,0,0,0,0.212910012272852
ZEC,0,0.0351071649891835,0,0.0427827913193412,-0.0787125961536776,0.248631681206226,0,-0.0317961915830826,0,0.139590874417374,0,0.00839580131988155,0.144912573487576,0,0,0,0,0
DGB,0,0,0,0,-0.090095286032744,0,0,0.0641986066070086,0,0,0,0,0.163939844559307,0,0,0,0,0
NEO,0,0,0.0210618486358607,1.73472347597681e-18,-1.73472347597681e-18,0.0887898244673867,0.015758444401172,0,0,0.0677636484009633,0.339158218972504,0.0331825690980272,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0.00901248444048537,0,-0.0204740761487202,0,0.00703020804514501,0,0,0,0,0,-0.0633523557689806
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0.00615999685098624,-0.0104348241347162,0,-0.00755984977083191,0.00821829908289575,0.00404179696801389,0,-0.00539433197980847,-0.00976596085194875,-0.00344304160217043,-0.00167861430057988,0,-0.00195432634077527,0,0,0.00555805072353056
SPX.Index,0,0.000447792172500085,0,-0.00225695647286629,0,0,0,0.000764162489803193,0,0,0,0.00386782670660518,0,0,0,0,0,-0.027412782086585
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
