,BTC,ETH,XRP,BCH,EOS,XLM,LTC,XMR,ADA,DASH,MIOTA,TRX,NEO,ETC,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.148015313796022,0.0805387823543817,0,0,0.109568893569802,0,1.73472347597681e-18,0,0.0771931766929128,0,0,0,0,0,0,0,0
ETH,0,0,0,0.036600588209837,0.271176923801434,0,0,0,0,0,0.110537497817066,0.0342706098823849,0.0682114704704476,0.11327632980459,0,0,0,0,0,0
XRP,0,0,0,0,0.331984874419173,0,0,0,0,0,0.199832590243375,0,0.0276161506288916,0,0,0,0,0,0,0
BCH,0,0,0,0,0.320304353678614,0,0,0,0.214463002669964,0,0.0462835152459171,0,0,0,0,0,0,0,0,0
EOS,0,0.276261281389048,0.0463400140543416,0,0,0,0,0,0.0776023541559837,0.0646313909268244,0.136133248807623,0.0140093733945297,0.153652895840829,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.0993829535593375,0.126137525568353,0,0.0367169757795617,0,0.277747769373379,0,0,0,0,0,0,0
LTC,0,0.143556728413122,0,0.257743776279357,0.106171021222145,0,0,0,0,0.0356311611125101,0.153602509786662,0,0,0,0,0,0,0,0,0
XMR,0,0.155659703016739,0,0.111835416316958,0.103420042737501,0,0,0,0.0952071160345536,0.132613208154676,0.0572888434383005,0,0.0937590648156477,0,0,0,0,0,0,0
ADA,0,0,0.0899316853799948,0.14122944477756,0.0518999311022107,0.148764981930122,0,0,0,0.0711298780231755,0,0.285405994395592,0.114696542608236,0,0,0,0,0,0,0
DASH,0,0,0,0,0.187759375886192,0,0,0,0.0514469581203869,0,0.101438997069518,0,0.226248469926794,0,0,0,0,0,0,0
MIOTA,0,0,0.361455760783277,0,0,0,0,0,0,0.0505561312340212,0,0.2351665925803,0.346267599017193,0,0,0,0,0,0,0
TRX,0,0,0,0,0.0641143684719536,0,0,0,0,0,0.147313288811132,0,0.3227228666299,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0314419851108818,0,0,0.0967985081173322,0,0.00945461821471503,0.348014635259546,0.28248194739363,0,0,0,0,0,0,0,0
ETC,0,0.186275945305423,0,0,0.158691732538909,0.0579216769491218,0.0720258511603936,0,0,0,0.271065520518215,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0,0.0986989644782234,0.114035020450966,0.124947497584382,0,0.190632686858542,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0565382168514207
CVIX.Index,0,-0.159839249271046,0.0450059555513754,0,0,0,0,0,0.1160274501564,0.00434920807898704,0,0,0,0.0324843193844807,0,0,0,0,0,0.0970233910758344
DXY.Curncy,0.00323736880280031,-0.00305175796431099,0,0,0,0,0,0,0,0.00853531953171723,-0.012730440465219,0,0.0101916570469309,0,-0.00694839073816089,0,0.0855148582768068,0,0,0
SPX.Index,0,0,0,0,2.16840434497101e-19,0,0,0,0.00772772049761074,0,0,0,0,0,-0.00797006668366049,0,0,0,0,-0.0497513798746973
VIX.Index,0.330037089519982,-0.318599126775612,-0.109828266172258,0,0,-0.112669892822661,0.423952445929591,0,0,-0.104528803127437,0,0,-0.430293730445525,0,0.635440198418605,-0.122758105980623,0.394890038043451,0,0,0
