,BTC,ETH,XRP,BCH,LTC,ADA,EOS,NEO,XLM,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.11567903157392,0,0,0.0929184290461145,0,0,0.0661934085851944,0.133326919100954,0.0575068813341459,0.0353613284314096,0.0969771945277283,0,0,0,0,0,0
ETH,0,0,0,0.119079630004078,0,0,0.0410471028590095,0,0,0,0.0954825099229249,0,0,0.131836586516316,0.107526876485492,0,0,0,0,0
XRP,0,0,0,0,0,0.0542290272199358,0.0739336308200382,0,0,0,0.0123125341789755,0,0.0302852319686457,0.222428137066199,0.0946008285879371,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0624411354681343,0,0,0.10263989218917,0.0207449260221975,0.276384704214874,0,0.0879931312424227,0.0658787340383378,0,0,0,0,0
LTC,0,0,0,0.094188367639153,0,0.0381539446741993,0,0,0,0,0.122029141335206,0,0.048968049765281,0.120384305930163,0.201336064926764,0,0,0,0,0
ADA,0,0,0,0,0,0,0.285451899083087,0.0176608871220786,0.107624301029278,0,0.0230955396767946,0,0.108438417119612,0.0868779040215716,0,0,0,0,0,0
EOS,0,0,0,0,0,0.062784895596342,0,0.0479626881158156,0.0286734803853787,0,0.10239638097352,0,0.111331353635945,0.0290362635335802,0.300068778071739,0,0,0,0,0
NEO,0,0,0,0,0,0.00403066883219411,0.066646614394124,0,0.0898322134942412,0.170846581700628,0.0395614451124509,0,0,0,0.158334293032695,0,0,0,0,0
XLM,0,0,0.131122943964778,0,0,0.392621761221021,0,0,0,0,0,0,0,0.155850827040516,0.105593741375708,0,0,0,0,0
MIOTA,0,0,0,0.143386836055645,0,0,0,0.200232557798608,0,0,0.102131293460248,0.190044791842826,0,0.127714807991145,0.0291960879113157,0,0,0,0,0
XMR,0,0,0,0,0,0,0.0257689462543041,0.134993881773772,0,0.0917588576128194,0,0.488797631643162,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0160977735796536,0,0.080266526127693,0,-2.71050543121376e-20,0.0567261689616269,0,0.233994856367664,0,0.0554562755377883,0.124489937750403,0.0507588612294957,0,0,0,0,0
XEM,0,0,0,0,0,0.183054453314961,0,0,0.165041715669698,0,0,0,0,0.296768602284043,0.113853971133964,0,0,0,0,0
TRX,0,0,0,0.0389559265430168,0,0,0.04366365840895,0.213727172500802,0,0.319294666638308,0.00722093837486384,0,0.178028892355057,0,0,0,0,0,0,0
ETC,0,0,0,0.0934220260206668,0,0,0.234551578538749,0.212457553229342,0,0,0,0,0.0360653099563424,0.198821956733203,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033435018663754
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320917930369384
DXY.Curncy,0,0,0.0124409267727637,0,-0.0126206813473547,0,0.00902172956326836,0,-0.0148887432585705,0,0,0,-0.00737727950502466,-0.00392017943084717,0.00405197246694957,0,0,0,0,0.00882097440166835
SPX.Index,0,0,0,0,0,0,0,0.0175078979066499,0,0,0,0,0.000553522268925512,-0.0280893699082496,0,0,0,0,0,-0.0623859969846152
VIX.Index,0,-0.25485926864016,0,-0.368152290783262,0,-3.46944695195361e-18,-0.00118787683185689,0,0,0,0.179691288860921,0,0.113124751366679,0.479876786943612,-0.128605324330382,-0.196676656668147,0,0,-2.93835739314383,0
