,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.13652712172404,0,0,0,0,0.103783683494386,0.11383457921239,0.108847744736131,0.0639448868737185,0.0298794220602097,0.0513682000382202,0.00535308941465894,0,0,0,0,0
ETH,0,0,0.0400135790373893,0.089802603434956,0.0376019269983182,0,-2.16840434497101e-19,0,0.323591781245533,0,0.0260593800172051,0,0.0212257674656333,0.00455518121807302,0,0,0,0,0,0
XRP,0,0,0,0.00943915079486713,0.0429264826576578,0,0,0,0.246175634140824,0,0.0875423971988129,0,0.0590123346562808,0.0606919933828279,0.0227509937970478,0,0,0,0,0
BCH,0,0,0,0,0.0745291352281328,0.0351997821315973,0,0,0.132732143439886,0.216007344816163,0,0.10818207401826,0.0120310105642622,0,0,0,0,0,0,0
LTC,0,0,0,0.10404500397721,0,0,0,0,0.12314108264961,0,0.13111391907267,0,0,0.0259396445169629,0.201003192084163,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.29427323217178,0,0.0131383739989749,0,0,0.0542975035036998,0.164145440948358,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.31088174602936,0.0996073221903517,0,0.041628490945255,0,0,0.198039175687195,0,0,0,0,0,0
XLM,0,0,0.423089852369192,0.0267819243855116,0,0,0,0,0.087270948700435,0,0.112060640999467,0,0,0.167805500999383,0,0,0,0,0,0
NEO,0,0,0,0.0399925312524714,0,0,0,0.0462654280777625,0,0.0547857158765784,0.18051799262927,0,0.0275758321418699,0,0.173383563724067,0,0,0,0,0
MIOTA,0,0,0,1.73472347597681e-18,0,0,0,0,0.335272159468553,0,0.160443389496139,0,0.0585649925610127,0,0.0834186782678242,0,0,0,0,0
XMR,0.19875731857461,0,0,0.0218843907573301,0.184409657363254,0,0,0,0.190673583119444,0.00115701833881661,0,0.0467385604995917,0.148656610304882,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.0109200600336485,0.0587861088022967,0.231173011318623,0,0.0975310099439034,0,0.101224744536911,0,0,0,0,0,0,0
TRX,0,0,0,0.24772558217132,0,0.183723843664466,0,0,0,0.235903513845415,0,0.112256788813873,0,0.111317887581705,0,0,0,0,0,0.0378353511585537
XEM,0,0,0,0,0,0,0.194634345268676,0.166505088666399,0.318156298772987,0,0,0,0.141167956190641,0,0,0,0,0,0,0
ETC,0,0,0,0.0244841957840906,0,0.201163087334253,0,0,0.259705490634087,0.103606453370112,0,0,0.0597009319511375,0.060200043227691,0,0,0,0,0,0
BV010082.Index,0,-0.0440027413780115,-0.0111471455421782,0.0114316022014624,0,0.0087041177887729,-0.00725745644413981,0,0,0,0,0.0415403606144715,-0.0148162440029798,0,0,0,0,0,0,-0.0394748420217539
CVIX.Index,0,0,0,0,0,-0.0477050324740911,0.0392693621825086,0,0,0,-0.0619063769790535,0.0866897668044387,0,0,-0.0297144052097951,0,0,0,0,0.0201632976214581
DXY.Curncy,0,0,0.0138467203364808,-0.00687642583935281,-0.0180739438471122,0.0127800627657146,0,-0.0259811556394205,0,0,-0.00854422755222135,0.0336859709613457,-0.0130581796483156,-0.00453685037749864,0.00704439153197469,0,0,0,0,0.00829942347832862
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139844621389523,0,0,0,0,0,0,-0.0732368077879963
VIX.Index,0.0990676720773914,0,0,-0.222080040317887,0,0,0,0,0,0,0.149893042996409,0,0,0.162066778459483,-0.0979389757157451,0,0,0,-5.23927946843153,0
