,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LINK,XLM,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,2.16840434497101e-19,0.0744725504465861,0,0,0.135030910649808,0,0,0.157484657352279,0.131157292556721,0.00735129809650099,0,0,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.00666770122070272,0.195744258323632,0,0,0,0.262727928077098,0.00224940577862957,0,0,0.077504583570004,0,0,0,0,0,0
XRP,0,0,0.29571361182712,0,0,0.107110916087434,0,0,0,0.134517961957794,0,0,0,0,0,0,0,0,0,0
BCH,0,-0.00352155238597648,0.173765823367881,0,0,0.356257069186194,0,0.0587917090809983,0,0.0954953456047578,0.013420559181976,0,0,0,0,0,0,0,0,0
BSV,0,-0.0054283470838334,0.273207309700947,0,0.495962358480316,0,0,0,0.0038211981227398,0.0262186195423888,0,0,0,0,0,0,0,0,0,0
LTC,0,-0.00133397186135851,0,0,0,0.175540719635396,0,0,0.0103246528563211,0.18145239569924,0,0,0,0.247806997018636,0,0,0,0,0,0
EOS,0,-0.00187050882725142,0.0436226904833551,0,0.364782887758855,0.110699158735333,0,0,0.0443307852452433,0.159277567004588,0,0,0,0,0,0,0,0,0,0
BNB,0,-0.00436259845574205,0.358318549475527,0,0.146592787404061,0.0287386450420181,0,0,0,0.193461495449683,0,0,0,0.0513794903906588,0,0,0,0,0,0
XTZ,0,-0.00178014173654564,0,0,0,0.0626392139736453,0,0,0.084328761854869,0,0,0.411706570840872,0,0,0,0,0,0,0,0
TAGZ5,0,0.00262954709577356,0.142986221840108,0,0.0661979598302257,0.127526964333291,0,0,0,0.055680517153314,0,0,0,0,0,0,0,0,0,0
LINK,0,-0.00319489375039633,0,0,0,0.0465719513017165,0,0,0,0.715487245209792,0,0,0,0,0,0,0,0,0,0
XLM,0,-0.000205422702861073,0,0,0.0677828806280018,0.133029890832553,0,0,0.160895727848258,0.157633503424274,0,0,0,0.0722578696346575,0,0,0,0,0,0
ADA,0,-0.00224798396221827,0.160707524474113,0,0,0.0821118847181293,0,0,0.134645883649041,0.298524812293522,0,0.0101460242806956,0,0,0,0,0,0,0,0
XMR,0,-0.00279616195647792,0.0322310098318867,0,0.0500103834881363,0.146531808931638,0,0,0.00960055980791576,0.152812205188144,0,0,0,0.237370267415146,0,0,0,0,0,0
BV010082.Index,0,0.00332177426413839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122789211198615,0,0,-0.105969307243301
CVIX.Index,0,-0.00751640048040996,0,-0.238194936356074,0,1.38777878078145e-17,0.548394622275347,0,-0.01922401588604,0,-0.0361676496344076,-0.0236488633408344,0,0,-0.339357276349211,0,0,0,-0.662026077185769,0.0550241893999651
DXY.Curncy,0,0.000113822092096601,0,-0.0822822818296725,0,0.0269427796432187,0,0,0,0,-0.000754450696436233,-0.00428881593516397,0.0389761244921114,0,0,0.00991796148433943,-0.0100927385876899,0,0,-0.00968287475028824
SPX.Index,0,0.00264110516099606,0,0,0,0,0,0,0,0,-0.0089930921036619,0,0,0,0,0,-0.0218638729733276,0,0,-0.258110305742781
VIX.Index,0,0.0264618596579021,0,0,0,-0.104259256992975,0,0,0,0,-0.031354619084843,0,0,0,0,0,0,0,-2.16861109067209,0
