,BTC,ETH,XRP,LINK,DOT,BCH,LTC,ADA,BSV,CRO,BNB,EOS,XTZ,XLM,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0973320692942969,0,0.0138332346683438,0,0,0,0,0.103549119419648,0,0,0.00575779098107734,0.0164092368963942,0,0,0,0,0,0,0
ETH,0,0,0,0.0200943209983331,0,0,0.0320428909286332,0,0.206377658354808,0,0.139171823671606,0,0.0808401443662903,0,0,0,0,0,0,0
XRP,0,0.0124123398100788,0,0,0,0,0.270743321666151,1.0842021724855e-19,0.200354333884351,0,0,0,0,0.0499470894948403,0,0,0,0,0,0
LINK,0,0,0,0,0.0515496010846266,0,0,0.306867069580435,0,0,0,0,0.314131763291906,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.00527815387254025,0,0,0.248153681650153,5.42101086242752e-20,0.314327779458273,0,0,0.0539575104755514,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.135040150147281,0,0.0530230154191041,0.0744426929942315,0,0,0.385978741230233,0,0,0,0,0,0,0,0
ADA,0,0.259631400822983,0,0.134652729278778,0,0,0.0589725288238599,0,0.0952429192304171,0,0,0,0.0675291981290752,0.045750578192273,0,0,0,0,0,0.0529156417428527
BSV,0,0.046044927611936,0,0.036825775930152,0,0.319825313945789,0,0.0667453093414571,0,0,0,0.221222401283259,0,0,0,0,0,0,0,0
CRO,0.147237101966667,0.00664147884205497,0,0,-0.024129093603415,0,0,0,0.133866777326878,0,0.0495164508524946,0.0756153492928595,0,0,0.0735042030438861,0,0,0,0,0
BNB,0,0.110153884238702,0.0777485587986086,0,0,0,0.155999943919558,0.0605213697050529,0.0582350936506341,0,0,0,0.0846928498062129,0.00974422335146906,0,0,0,0,0,0
EOS,0,0,0,0.0473305571202435,0,0.247329922990781,0,0.00905645088363144,0.230280457814249,0,0,0,0.00748312257118416,0.11243807343841,0,0,0,0,0,0
XTZ,0,0,0,0.323864781193318,0,0,0,0.152218331735578,0,0,0,0,0,0,0.132808411210743,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.227259630391207,0,0,0,0.0196876803425636,0.154291419505284,0,0.0664038999791338,0,0,0,0,0
ATOM,0,0,0,0.144127129698288,0,0,0,0.0513512242238817,0,0,0,0,0.273281164672896,0.220245972599955,0,0,0,0,0,-0.0567627370001791
BV010082.Index,0,0,0,0.00210045390747051,0.00638639136226357,0,0,0.0237202909102763,0,0.0204703887495025,0,0,0,-0.0417603256505915,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0706948042557868
DXY.Curncy,-0.0436891778010859,-0.012254171628547,0,0,0,0,0,0.00213357175996159,-0.0119022910038562,0,0,0.0209882403558335,0.000218282579226878,0,0.00435709283993132,0,-0.00798431403504991,0,0,0
SPX.Index,0,0,0,0,1.46574230551747e-05,0,0,0,0,0,0,0,0.000278758966214908,0,0,0,0,0,0,-0.136606250863387
VIX.Index,-0.327357797461731,0,0,-0.0728978430653989,0.0397594729003281,0,0,-0.00890499422469508,0.334142479888703,0,0,0,0.046592226291193,0,0,0,-0.125719799298566,0,-2.99625426103483,0
