,BTC,ETH,XRP,BCH,LTC,XEM,ETC,DASH,MIOTA,XMR,NEO,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.110909072578054,0.0689329798680373,0,0,0,0,0.0309963790486358,0.0334595554468872,0,0,0.122705766830932,0,0,0,0,0
ETH,0,0,0,0,0,0.0337071063488931,0,0.0684839264437107,0.0362994567626032,0.135198825730834,0.0388211413686996,0.0162589181932034,0.0247409906077411,0.0291411635524672,0.114050716660002,0,0,0,0,0
XRP,0,0,0,0,0,0.0302893965101916,0,0.138116322306776,0.110820342201641,0,0.0258837660961171,0.0372971859026235,0,0.000776909893852446,0.236355956039358,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,-4.33680868994202e-19,0.165645598510276,0,1.73472347597681e-18,0.0828671647351702,0.0769877511058576,0.0872596345378817,0,0,0.0567363996920005,0,0,0,0,0
XEM,0,0.010936803689905,0.096017569732487,0,0,0,0,0,0.0573286413740449,0.161250665837036,0.0284229420143548,0.118238245324231,0,0.078969995461913,0.00315056499626146,0,0,0,0,0
ETC,0,0.179569937494974,0,0,0.115545648901401,0,0,0,0,0.120681309875141,0,0.0107103592481926,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0.0541577437973482,0,0,0.0158033033014158,0.120395124523352,0.073956601154206,0.0538644116746131,0,0.112578832345426,0,0,0,0,0,0
MIOTA,0,0.229631851468621,0,0,0,0.0653248023044065,0.096101260893546,0,0,0,0.0594604307482321,0,0,0.183162394294067,0.0900202536870748,0,0,0,0,0
XMR,0,0,0,0,0.00500658118040869,0.0544757438343455,0,0.208429169436297,0,0,0,0.033714569948646,0,0.241152528646204,0.255025416394306,0,0,0,0,0
NEO,0,0.0242593231865736,0,0,1.0842021724855e-19,0.107679895191512,0,0.0655847717215079,0,0,0,0.0234327728556192,0.42858346148121,0.112001830865999,0.009656449946187,0,0,0,0,0
EOS,0,0.121071254041485,0,0,0,0.00889803762738013,0,0,0.156483145754262,0,0.0300586823050584,0,0.142184474928613,0.0907337729242029,0.0736536347268622,0,0,0,0,0
ZEC,0,0.142493538294443,0,0,0,0,0,0,0.067519762972112,0.211675106906086,0.0265529183661052,0.0115825460386382,0,0.0994179863421357,0,0,0,0,0,0
XLM,0,0,0,0,0,0.208147376513731,0,0,0.0295074171782713,0.48520181923831,0.0494479685953262,0.0519810189966901,0,0,0,0,0,0,0,0
DOGE,0,0,0.124270786692262,0,0.0240703694837625,0.192779775625893,0.0119664550249086,0,0.0899979910717472,0.193399118982947,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0.0238503112295652,0,0.0165416451692576,0,0,-0.0327314061702898,0,0,0,-0.00686868341676308,0,0.0184514345944975,0,0.0102724305461577,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0240986615105911,0.00963771852506786,0,0,0,-0.00796326993505086,-0.0053071906551243,0,0,0,0,0.00169482614917465,0.00880729621472138,-0.0127404242933106,-0.00596592508332782,0,0,0,0,-0.0112423109865674
SPX.Index,0,0,0,0.000828328512947533,0,0,-0.00242700378141652,0,-0.00133667909062302,0,0,0,0,0,0,0,0,0,0,-0.0519415214279045
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
