,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.12838484877817,0,0.216570599083901,0.362633975406599,0.0380094934073554,0,0,0,0,0,0
XRP,0.327537313082751,0,0.0523673737718259,0.237156449269068,0,0.0124010844967035,0,0,0,0,0,0,0
LTC,0.791600875692277,0,0,-0.00888326772989565,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0145588571298111
XLM,0.309330632075986,0.3798156765808,0,0,6.93889390390723e-18,0.0209008158630421,-0.0888429930449927,0.0862963346354382,0,0,0,0,-0.199574956297538
DOGE,0.0351629205959406,0,0.184777076028442,0,0,0.342456211946757,0.0237700205715043,0,0,0,0,0,0
DASH,0.60491625725714,0,0.146178961037655,0,0,0,0,0.0462118212856705,0,0,0,0,0
XMR,0.905925618359539,0,0.137106571723389,-0.0682166902817532,0,0,0,0,0,0,0,0,0
DGB,0.704193057807209,-0.336724099010851,0,0.181274819921113,0,0.17037311707251,0.0383655341106099,0,0,0,0,0,0.21100638431773
BV010082.Index,0,0,0,0.0250368413213977,-0.0665304756137158,0,0.0142900398646372,-0.0115066999716836,0,-0.0373531729047313,0,0,-0.0843983909935431
CVIX.Index,0,0,0.0244472624044692,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,-0.00325334361872343,0,0,0,0,0,0,0,0,-0.0200127715116775
SPX.Index,0,0,0,0,0,0,0,-0.00668352815045872,0,0,0,0,-0.0689761671985461
VIX.Index,0,0.0774192327522075,0.107936517390243,-0.20643912158677,0,0.0243507182850166,-0.142017077576312,0,0,0,0,-4.50544629192998,0
