,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.140896801323268,0.0141324797551723,0,0,0.0100943356747826,0.0775940563167464,0.111068482506011,-3.46944695195361e-18,0.0404767601128792,0,0,0,0,0,0,0,0
ETH,0,0,0,0.130345433902952,0.0814758326059295,0,0,0,0.157315091755981,0,0.141515811424364,0,0,0.0177447335680364,0.0622059769607769,0,0,0,0,0
XRP,0,0,0,0.125180695980341,0.0901551640692147,0,0,0,0,0,0.158611941384886,0,0,0,0.232565540925056,0,0,0,0,0
BCH,0,0,0,0,0.420757173668967,0,0,0,0.0731962931006867,0,0,0,0,0.0701857860240855,0.114571317674616,0,0,0,0,0
EOS,0,0,0,0.215415543922119,0,0,0,0.303095003621932,0.217658569655077,0,0.202496993530425,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.21215408466584,0.134064766004415,0,0,0,0.00969266187337271,0,0,0,0,0.00547766160564909,0.139462708977767,0,0,0,0,0
XLM,0,0,0,0.229883888827793,0.141347383703186,0,0,0.14817574952417,0.0718579441538025,0,0.0217574622301801,0,0,0,0.05322069036129,0,0,0,0,0
ADA,0,0,0,0.222919914075588,0.113328411819716,0,0,0,0.098670486337279,0,0.150003445909966,0,0,0.00497982642103629,0.0738466379863007,0,0,0,0,0
MIOTA,0,0,0,0,0.206270316086733,0,0.310646598209136,0,0,0.470031107358042,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.152242957971574,0,0,0,0.0598918348546406,0.121733787903394,0,0.114553792398098,0,0,0,0.315944561693173,0,0,0,0,0
TRX,0,0.076137320866656,0,0.171330556007466,0.227313697056354,0,0.191275327699005,0,0.0446657753697198,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.142617696390401,0.170397292011925,0,0,0.134858961883603,0,0.122603221896719,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0628550108775963,0,0,0,0,0.0318714635186596,0,0,0,0,0.0613447486644948,0.334775226811693,0,0,0,0,-0.0400070251998788
ETC,0,0,0,0.394631552479328,0,0,0,0,0.142774408649218,0,0,0,0,0,0.141937680626173,0,0,0,0,0
XEM,0,0.0963414044975976,0,0.0645832994527983,0.03707493497293,0,0.269075448119114,0,0,0.275772730466782,0.0817966387453408,0,0,0.0937658256268874,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,-0.0245036872805564,0,0,0,0,0.0126020791279592,0,0,0,0,0,0,0,-0.110619233448591
CVIX.Index,0,0,0.178587892104272,0,0.0211327253042545,0,-0.00751293017967035,0,-3.46944695195361e-18,0.0255154613596743,0,0,-0.235207625383795,-0.0185815463047255,0,0,0,0,0,0.0324006824024343
DXY.Curncy,0,-0.00473038000738646,0,0,0.0200925310823557,0,-2.16840434497101e-19,0,0,-0.0171848727363844,0,0,0,0.0101112334928349,0,-0.00570771286392834,0.0244046320988952,0,0,0.00862967651886692
SPX.Index,0,0,0,0.00361180288895567,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.00898573456329499,0,0,0,0,0,0,-0.0558599770089118
VIX.Index,0,0,0,-0.422615528324668,-0.273397238877017,0,-0.129423606836902,0,0.155317403479287,0.410370800076739,0.198212666687622,0,0,0,0,-0.755912300065406,0,0,0,0
