,BTC,ETH,XRP,EOS,LTC,BCH,XLM,BNB,TRX,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.143115873699081,0,0.0890117363789824,0.00221142611113135,0.106778591450458,0,0,0,0,0.0300893715074304,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.329285287077499,0,0.170584135390266,0,0,0,0,0,0,0,0,0.0188509711554282,0,0,0,0,0
XRP,0,0,0,0.113160654723427,0.0738074444974025,0.180619177565931,0,0,0,0,0.172106513938932,0,0,0,0,0,0,0,0,0
EOS,0,0.148877272231603,0,0,0.0587713759677836,0.205193495761487,0,0.0292170086262392,0,0,0.296321215232074,0,0,0,0,0,0,0,0,0
LTC,0,0.0566429939577588,0,0.110036791354174,0,0.300084655684961,0,0,0,0,0.288587652168958,0,0,0,0,0,0,0,0,0
BCH,0,0.157484555312724,0,0.355266052845136,0.0941932098933701,0,0,0,0,0.200293305940123,0,0,0,0,0,0,0,0,0,0
XLM,0,0.0839050055748812,0,0,0.0118402359368075,0.219359515823579,0,0,0,0,0.229743907179023,0,0.0488669045927996,0,0,0,0,0,0,0
BNB,0,0,0,0.0828359893643218,0.332076267263893,0,0,0,0.254890471070069,0,0.0242288020975472,0,0,0,0,0,0,0,0,0.0915559137840046
TRX,0,0,0,0.0776564140864572,0,0.219944728459177,0.21908069935652,0,0,0,0,0,0,0,0.000293501183217023,0,0,0,0,0
BSV,0,0.0185984665773474,0,0.00411427862841156,0,0.401193804197221,0,0,0,0,0.172799057703622,0,0,0,0.0375995970322443,0,0,0,0,0
ADA,0,0.157615728166218,0,0.192355766375052,0.152791532251507,0.181237487904703,0,0,0.0120215522964133,0,0,0,0.0525030818239192,0.0653853768277795,0,0,0,0,0,0
XMR,0,0.311734060989646,0,0.176578130310868,0.0121150911910842,0.0778384966084556,0,0.0401806451541716,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0
MIOTA,0,0.092095783288907,0,0.288851737897053,0,0.172471485158453,0,0,0,0.0501478394890696,0.151161501524113,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.236983646729775,0.00560695483597222,0.0376933904007529,0,0,0,0.0197524858342263,0.17035087191061,0,0.12129264003815,0,0.0370811861795118,0,0,0,0,0
MKR,0,0.257993676034873,0,0.281989889464528,0,0,0,0,0,0.176530688776768,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,-0.0663214787371772,0,0,0,0.0505373368074716,0,0,0,0,0.0277587478707028,0,0,0,0,0,-0.0269081580050787
CVIX.Index,0,0,0,0,0,0,0,-0.0336121771872201,0,0,0,-0.0480498325753539,-0.0429079812127873,0,0,0,0,0,0,-0.059840870415437
DXY.Curncy,0,0,0.00936799876528965,0,0,0,0,0.0014901855568264,-0.0254996048487611,0.00501613256938884,0,0,0.00655980212617642,0.00758156601416224,0,0.0340600595373987,0.0231099061054177,0,0,0.00776235512260936
SPX.Index,0,0,0,0,-0.0137930103425771,0,0,0,0.00519517660562323,0,0.00700930506232396,0,0,0,0,0.0500365625782859,-0.0174559500786523,0,0,-0.0791894539735923
VIX.Index,0,0,0,0,-0.167564049873284,0,0.362546401476355,0,0,-0.296402158201545,0,0.0514907742824745,0,0,-0.11465886016635,0,-0.548983372100527,0,-3.72068446766279,0
