,BTC,XRP,ETH,EOS,BCH,LTC,TRX,XLM,BSV,ADA,BNB,XMR,MIOTA,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.030453744588655,0.0883268802169403,0,0,0,0,0,0,0.155498114203536,0.0030730157980673,0.0621397422677351,0.106152763382356,0,0,0,0,0
XRP,0,0,0,0.0247363899126078,0.0612249236285359,0,0,0,0,0.149717683276392,0,0.0285431710213506,0.0462854954438643,0,0.163176481990946,0,0,0,0,0
ETH,0,0,0,0.238501935975529,0.113155429558688,0,0,0,0,0,0,0,0,0.0073932808127018,0.180817891725112,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.415502808661455,0,0,0,0.132926162829183,0.0736302677918545,0,0,0,0,0
BCH,0,0,0,0.37977641616077,0,0,0.0756681989272502,0,0.359088683223961,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.116089200606375,0.227858943512518,0,0,0,0,0.052581666768293,0,0,0,0,0.0400383313243385,0.251125583580578,0,0,0,0,0
TRX,0,0,0,0,0.131536058859495,0,0,0,0,0,0.0179379057390609,0,0.0319141562919826,0,0.416288409229455,0,0,0,0,0
XLM,0,0,0,0.278240888590927,0.117733248537165,0,0,0,0,0,0,0,0,0.101309000413976,0.0867673060021042,0,0,0,0,0
BSV,0,0,0.0710001336278887,0,0.616675556776303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219891900614781
ADA,0,0,0.11240088515825,0.290248841844033,0.0767066495222514,0.0107249152897228,0,0,0.0250812300279944,0,0,0,0.0261212498480539,0,0.216671381872512,0,0,0,0,0
BNB,0,0,0,0.18829617845339,0,0,0.166888530968871,0,0,0,0,0,0,0,0.272288584026722,0,0,0,0,0
XMR,0,0,0,0.0441990896066684,0.140515368545108,0,0,0,0.0368725253513359,0,0,0,0,0.28286914911927,0.20642121622596,0,0,0,0,0
MIOTA,0,0,0.115472090293003,0.138258432829457,0.0167187986338653,0,0,0,0.0465792752599833,0.0103527476634255,0,0.0152125532985448,0,0.31735029122937,0,0,0,0,0,0
DASH,0,0,0,0.214906959191437,0.130526634119037,0,0,0,0,0,0,0.121115609579969,0,0,0.106229843249399,0,0,0,0,0
NEO,0,0,0.374867609967416,0.251467923890624,0.00000000000000000173472347597681,0.065619979128285,0,0,0,0,0,0.00778527567902334,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00203001572604064,0,0,0,0,0,0.000101803000013956,0,0,0,0,0,0,0,0,-0.0820130091143134
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111577413050699
VIX.INDEX,0,0,0,0,0.00000111530338481908,0,0.00000382577367218922,0,0,0,0,0,0,0,0,0,0,0,-1.74872258414043,0
