,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00549696356299091,0,0.0668712781603137,0.0219917333654753,0.00995232479152046,0.030887665221405,0.00601634370415155,0,-0.0185570051102727,0.00479171985639873,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.00228750100199182,0,0,0,0,0.199771536100688,-0.0209761354352573,0,0,0,0,0,0
LTC,0.315322916357504,0,-0.000316968848645079,0,0.0471084273787692,-0.00147706181614339,0,-0.00708667225810726,-0.00968395943351175,-0.0177357144200856,0.00553860747503932,0,0,0.00171634917864025,0,0,-0.00346794053151003
ETC,0,0,0,0,0,-0.0113684384870168,0,-0.134727336373558,0,0,0.00287611713789781,0,0,0,0,0,0
XMR,0,0,0,0,-0.0721880772351242,0,0,0,-0.385692326064341,0,-0.102776995910137,0,0,0,0,0,-0.11039917392509
DASH,0,0,0,0,0,0,0,0.0292721070989345,0,0.0658577862528214,-0.0362656331115914,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0.0252797447014167,0,0,0,0,0,0
DOGE,0,0,0,0,0,0,0,0,0,0,0.0201004952491862,0,0,0,0,0,0
XLM,0,0,0.484763988248089,0,0,0,0,0,0,0,-0.0144096030678813,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0.177444369904901,0,0.193745075404101,0,-0.0304169810425799,-0.0751660813684415,0,0.111842721297397,0,0,0,0,0,0,0,0,-0.0395499976379034
BV010082.INDEX,0,0,-0.0996372147676953,0,0,0,0,0,0,0,0.0113564626787124,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0.000000157751487959859,0,0,0,0,0,0.0771331037467129
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382571796507681
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0633810909543876
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
