,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,XMR,DASH,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.182449588622576,0,0.0467753468600009,0.00464753675574457,0,0,0.044175418221832,0,0.0289761400103667,0.0306459727952671,0.0374762788377097,0,0,0,0,0,0,0,0
ETH,0,0,0,0.122932885236252,0.0377688586291435,0,0,0.166783029046236,0.0457457460018891,0.0762372686947861,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0748443854070547,0.117868623399234,0,0,0.136972969035355,0.0843587541831704,0.101215419788379,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.142240620800992,0,0,0.0722606966450327,0,0.181876567456777,0.0999699150611936,0,0,0,0.105750392565967,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.397030997982415,0.232516621638239,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.224545093507659,0.0780162775915316,0,0,0.0183651643169461,0.0629054331217868,0.0779296409322097,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.143687443006146,0,0,0.147351902320079,0.0805255717605074,0,0.130377762470531,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.168427145338655,0.127394218017051,0,0.149135024253871,0,0.0919320535773732,0.0786544400337934,-0.00000000000000000173472347597681,0,0,0.00141662704699398,0,0,0,0,0,0
TRX,0,0,0,0,0.196317540339122,0,0.184298220048201,0.254181875969469,0,0,0.0693775495178452,0,0,0,0,0,0,0,0,0
MIOTA,0,0.171709928354255,0,0.156046418650143,0,0,0.0832182890783917,0.174792396586241,0,0,0.230190852642556,0,0,0,0.0287673161788175,0,0,0,0,0
NEO,0,0,0,0.0730737451753511,0.127023470893446,0,0,0.0800135431846497,0.0768327983012861,0.24530387818321,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.154211350804612,0.159758349589631,0,0,0.0545688019089333,0.0238256804966437,0.0316817186451213,0,0,0,0.0124775093787139,0,0,0,0,0,0
DASH,0,0,0,0.304802482238111,0,0,0.0661161122580867,0,0,0.0460690641105161,0.0187206609217075,0,0,0,0.0782643509135795,0,0,0,0,0
BNB,0,0,0,0,0.0495948729872566,0,0,0.191560196837603,0,0.0876043376945764,0,0,0,0,0.195146127288853,0,0,0,0,0
ETC,0,0,0,0.17426380648419,0,0,0,0,0.141849571440037,0.172115965397896,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0203667795067391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0440099648458015
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460367362587408
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
