,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XMR,XEM,ETC,MIOTA,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.390910345390284,0,0.0417292534876458,0,0,0,0,0.0285147172798104,0,0,0.0112259241534046,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0588087580652755,0.040319421174854,0.0666039062451912,0.0736638489066367,0.0687589174988546,0.0688045568357596,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.194538580608074,0.0615096137769314,0,0,0.180876330672858,0.017369386956356,0,0.000000000000000000867361737988404,0,0,0,0,0,0,0
XRP,0,0,0,0,0.101351869082812,0,0.0631180640768964,0,0.0246524482130754,0,0.0692503331665639,0.00989234953955499,0,0,0.0531186922660474,0,0,0,0,0
LTC,0.0751684717223681,0.0494729659135134,0,0.0806906540436053,0,0,0.118450791198259,0.0273495840344213,0.125728792732177,0.0950178517120708,0,0.00889482413560022,0,0,0,0,0,0,0,0
DASH,0,0,0.0101036825320518,0,0.0800569944929953,0,0,0,0.0471642931532986,0,0.163805926191438,0,0.0924801869195824,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.133845569819822,0.028002887300358,0.0313152937225673,0.0514963065695425,0,0,0.179059461321014,0,0,0,0,0
XMR,0,0,0,0,0.108815353325088,0,0.051056860442798,0,0,0.0459291206527747,0.0841749331727459,0,0.139462198288951,0,0.00372746813946481,0,0,0,0,0
XEM,0,0,0,0,0,0,0.205438556387685,0.181024794731776,0,0,0.105231016505995,0,0,0,0.0385433460101575,0,0,0,0,0
ETC,0,0.164501518474854,0.134162616901001,0,0.136407761179883,0,0.0178748193335222,0,0,0,0.0265888258290685,0,0,0,0.00249197182509967,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0725741686962199,0.178963469227886,0,0.114049216147046,0.204568462879396,0,0,0,0,0.0325508909053946,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.258131367170697,0.177362161318756,0,0.135413071584335,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.346321533679436,0.0847935291662933,0.00968122644142558,0.149587518504205,0,0.114839801875369,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.279926303007974,0,0.166339925350304,0,0.246634368157956,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.0265761825495192,0,0,0.0317027230737619,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00081641112884613,0,-0.000463190854909953,0,0,0.0000286225767831752,0,0,0,0,0,0,0,-0.0187166182051858
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
