,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.130633760611413,0,0.000000000000000000433680868994202,0,0.0271150806834529,0.0646263439540238,0,0,0,0.0218042641061485,0.054520868648615,0.0654500078115206,0,0,0,0,0
ETH,0,0,0,0,0,0.108594629814134,0.112788735554977,0,0.170378963172928,0,0,0,0,0.0119457821321497,0.0792695597475919,0,0,0,0,0
XRP,0,0,0,0,0.0450598634465442,0,0,0.1336305739052,0.0406206417443998,0,0.120233304201425,0,0,0.157938269543445,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0350506565620967,0,0,0.100564239467008,0.0190607223275834,0.0720050813577495,0.347262380201234,0.0340518251169597,0,0,0,0,0,0,0
ADA,0,0,0.0018434724549285,0,0,0,0,0.331242001335572,0.0535711920196847,0,0.0973614855981441,0,0,0.0515267859448779,0,0,0,0,0,0
LTC,0.109758916583692,0,0,0.16543300478266,0,0,0,0,0,0.0189251952550567,0.13197190568326,0.0560963718607302,0.0585567331325951,0.0193871949624529,0.0116841873391913,0,0,0,0,0
NEO,0,0.0346275516611508,0,0.0651667894645473,0.113437761376099,0,0,0.0998739644574115,0,0,0.0195639621992426,0,0.229193742089365,0,0,0,0,0,0,0
XLM,0,0,0.0981711718497811,0,0.308665771670963,0.0247544822327481,0,0,0.0151847608267274,0,0.0294588561744303,0,0,0,0.0775108971294157,0,0,0,0,0
EOS,0,0,0.144855826019199,0.0860014078116849,0,0,0,0,0,0,0.0507252913209721,0,0.255006428963008,0.0677057253441556,0.101081864961848,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0149917597770782,0,0,0,0,0.141128397849431,0,0,0,0.363499553013904,0,0,0,0,0
XEM,0,0,0.0261020414820744,0.110047838293165,0.120928213555763,0.103776893685552,0,0.293736299163776,0.0561538074676415,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.257848659226179,0.00695862534395489,0.0477253845928813,0,0,0,0,0.000000000000000000216840434497101,0,0.0192903535066784,0.0897008417781956,0.0500921535600894,0,0,0,0,0
XMR,0,0,0,0.0846604449015791,0.0342357866028108,0,0.058022429439593,0.00615193340785015,0.031747340657847,0,0,0.157354984512758,0,0,0.191708626314952,0,0,0,0,0
TRX,0,0,0.00970743482114867,0.184029485915745,0,0.199863883528444,0,0.164426991224544,0.0859294640639206,0,0,0.088292264441317,0,0,0,0,0,0,0,0
ETC,0,0,0,0.178709680372297,0.0258072448278561,0,0,0,0,0,0.0662981233555218,0.114065233270016,0.0137702436924333,0.071490935991165,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.000891238267326328,0,0,0,0,0.00687079186637717,0,0,0,0,0.000603177219993571,0,0,0,0,0,-0.0284773110360824
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00268463924194255,0,0,0,0,-0.000213514897448384,0,0,0,0,0,0.00234758509344096,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.00000000491059402371649,0,0,0,-0.000000022002629067777,0.0000000156806378110737,0,0,0,0,0,-0.0303689800245212
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
