,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DGB,ZEC,DOGE,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.00633861157138329,0,0.103818232786401,0,0,0,0,0,0.046317392952633,0,0,0,0,0
ETH,0,0,0,0,0.0493363060856038,0,0.12092446970587,0,0,-0.0281308937968508,0.0948065939895589,0,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.11604462356778,0,0,0,0.454412246458495,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.23995291533651,0,0,0,0,-0.0000000000000000000271050543121376,0,-0.0313038453258034,0,0.175954970381788,0,0,0,0,0,0,0
ETC,0,0.194705674638799,-0.0858655428843955,0,0,0,0,0,0,-0.015866804272142,0,0,0,0.311841213098231,0,0,0,0,0
LTC,0,-0.109886095171345,0,0,0,0,0.0122871298370998,0.346834965705176,0.0208155249200952,-0.0612132004826208,0,0.0925187690638379,0,0.183359612665861,0,0,0,0,0.0356727357555783
DASH,0,0.0675665893270536,0,0,0.017487232604065,0.0338060951840925,0,0.1987193836264,-0.00000000000000000010842021724855,0,0,0,0,0.108971276790035,0,0,0,0,0
XMR,0,0,0,0.120357721774834,0,0.0091197519023395,0.067233905865434,0,0.109012884220511,0,0,0,0,0.0403488257077077,0,0,0,0,0
XLM,0,0,0.471855272016448,0,0,0,0,0.146800447097216,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,0,-0.0263593122168887,-0.285482152425354,0,0.363175110991014,0.114451985761154,0,0,0.631175034242455,0,-0.0603426548854967,0,0,0,0,0
ZEC,0,0.253994382473425,0.0135495214795785,-0.0000000000000000000542101086242752,0,0,0,0,0.00508966016165091,0,0,0.060029277768072,0,0.0450211619359868,0,0,0,0,0
DOGE,0,0,0,0.157292873551344,0,0.259256837151335,0,0,0.0874812904753017,0.100675276729474,0,0,0,0.0501202445424409,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0.147455942324615,0.0419180598607225,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,-0.00176302408774387,0,0.00263838149736753,0,0,0,0.0260482405496796,0,0,0,0,-0.0588795564769394
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.0000779377892926216,0.000397218646666827,0,0,0,0,0,0,0,0,-0.0220994001208966
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
