,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0128886641518699,0,0,0.161955222988623,0.0468237650221324,0.0682640212981888,0,0.140830695062336,0,0,0.0215148709154172,0,0,0,0,0,0
ETH,0,0,0,0,0.0927561310740238,0,0.0110901200299122,0,0.0875943416640502,0,0,0,0,0.0644797388084708,0,0,0,0,0,0
XRP,0,0,0,0,0.18523692668076,0,0.0709706051376311,0,0,0.213416610263525,0,0,0,0.123739779504138,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.173429116744959,0.0149865467068082,0.01472802100585,0,0.237386091919513,0,0,0.0923007849608289,0,0,0,0,0,0
LTC,0,0,0,0.0238002390621118,0,0,0.0399670733639053,0.00691679617675947,0.044932434773653,0.0287966556652678,0.645902798203998,0,0,0.0280662207425673,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.147576772197946,0.00630951054863857,0.0791343085491945,0,0,0,0.158222923707734,0,0,0,0,0,0,0
XEM,0,0.204970501541232,0,0.0474558637195998,0.0787038128500283,0,0,0,0.0739135694235438,0,0,0,0,0.168145958611116,0,0,0,0,0,0
NEO,0.360320945446088,0,0,0,0.168366715944049,0,0.0453833936636134,0,0,0,0,0,0,0.155741757929307,0.172718640838085,0,0,0,0,-0.0686430819381865
MIOTA,0,0.140861226612268,0,0.0150536272229193,0,0.251955206452368,0.132070289212441,0.101032713056509,0,0,0,0,0.0915574838638808,0,0.0962253744170999,0,0,0,0,0
XMR,0,0,0.060236168737366,0.00323914174693454,0.000000000000000000433680868994202,0,0,0,0,0,0,0,0.235906918144251,0.104928365484384,0,0,0,0,0,0
ETC,0,0,0,0,0.326406526999005,0,0,0,0,0,0,0,0.017551120796441,0.0305120987998804,0.022099765429746,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.122321591095046,0.0967830682561356,0,0,0.0148917470164674,0.135286430638651,0,0,0.178151050911036,0.163148837106904,0,0,0,0,0
XLM,0,0.22673819585951,0.381629639346826,0,0,0,0.00610101048455481,0,0,0.0870366391951249,0.263207298063546,0,0.165849149262858,0,0,0,0,0,0,0
EOS,0,0,0,0,0.104766987624142,0,0.0800194506816758,0.0458307073344962,0.0295166633930884,0,0,0,0.0238612553111011,0.0553793915940671,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00771479497391904,0,0,0,0,0,0.00930950176669141,-0.0119330072893193,0,0,0,0.00876898947608212,0,0,0,0,-0.0352125310597395
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,-0.0044087657330418,0,0,0,0,0,0,0,0,0.0010389177884646,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.000000585644978751247,0,0,-0.00000106336525152719,0,0,0,0,0,0,0,0,0,-0.0379320100701322
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
